titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
DeVI: Physics-based Dexterous Human-Object Interaction via Synthetic Video Imitation,"Recent advances in video generative models enable the synthesis of realistic human-object interaction videos across a wide range of scenarios and object categories, including complex dexterous manipulations that are difficult to capture with motion capture systems. While the rich interaction knowledge embedded in these synthetic videos holds strong potential for motion planning in dexterous robotic manipulation, their limited physical fidelity and purely 2D nature make them difficult to use directly as imitation targets in physics-based character control. We present DeVI (Dexterous Video Imitation), a novel framework that leverages text-conditioned synthetic videos to enable physically plausible dexterous agent control for interacting with unseen target objects. To overcome the imprecision of generative 2D cues, we introduce a hybrid tracking reward that integrates 3D human tracking with robust 2D object tracking. Unlike methods relying on high-quality 3D kinematic demonstrations, DeVI requires only the generated video, enabling zero-shot generalization across diverse objects and interaction types. Extensive experiments demonstrate that DeVI outperforms existing approaches that imitate 3D human-object interaction demonstrations, particularly in modeling dexterous hand-object interactions. We further validate the effectiveness of DeVI in multi-object scenes and text-driven action diversity, showcasing the advantage of using video as an HOI-aware motion planner.",['cs.CV'],http://arxiv.org/abs/2604.20841v1,https://arxiv.org/pdf/2604.20841v1,22/04/2026-17:59:55,"['Hyeonwoo Kim', 'Jeonghwan Kim', 'Kyungwon Cho', 'Hanbyul Joo']",cs.CV
Beyond Hagedorn: A Harmonic Approach to $T\bar{T}$-deformation,"We apply harmonic analysis to study the $T\bar{T}$-deformed torus partition function. We first express the CFT partition functions in terms of Maass waveforms, including the Eisenstein series and cusp forms. These basis functions turn out to deform in a very simple way under the $T\bar{T}$-deformation. The spectral decomposition provides a numerically stable and efficient method to compute the partition function at finite values of the deformation parameter $λ$, allowing us to clearly resolve the analytic structure of the partition function as a function of $λ$. The resulting deformed partition function exhibits a Hagedorn singularity. Building on harmonic analysis approach, we propose a natural analytic continuation beyond the Hagedorn singularity, which enables us to compute the full partition function for any value of $λ$.","['hep-th', 'math-ph']",http://arxiv.org/abs/2604.20839v1,https://arxiv.org/pdf/2604.20839v1,22/04/2026-17:59:09,"['Jie Gu', 'Jue Hou', 'Yunfeng Jiang']",hep-th
High-Girth Regular Quantum LDPC Codes from Affine-Coset Structures,"We construct a quantum low-density parity-check code family from a length-512 Calderbank-Shor-Steane base matrix pair. The base pair is $(3,8)$-regular, both Tanner graphs have girth 8 , and the base code has parameters $[[512,174,8]]$. The construction uses affine cosets of six 3-dimensional subspaces of $\mathbb{F}_2^9$ as check supports, and then applies circulant permutation matrix (CPM) lifts. The main decoding experiment uses the CPM-lifted code with lift factor $P=32$, which has parameters $[[16384, 4142, \leq 40]]$, under the code-capacity depolarizing model. A belief-propagation decoder with post-processing achieved frame error rate about $10^{-8}$ at $p=$ 0.085 , and one observed logical residual of weight 40 gives a decoder-derived upper bound $d \leq 40$.",['quant-ph'],http://arxiv.org/abs/2604.20838v1,https://arxiv.org/pdf/2604.20838v1,22/04/2026-17:59:08,"['Koki Okada', 'Kenta Kasai']",quant-ph
Laser electro-optic frequency comb in lithium niobate nanophotonics,"Optical frequency combs have revolutionized precision science and technology, yet their nanophotonic implementations have failed to simultaneously achieve high efficiency, power, and coherence. Optically driven microcombs provide broad and stable spectra but low usable power, whereas active comb generators, including mode-locked lasers, can be efficient yet offer less control over coherence. We introduce the laser electro-optic (LEO) frequency comb, a comb-generation mechanism in which coherent continuous-wave injection drives a phase-modulated laser cavity above threshold into a distinct operating regime. Unlike other coherently driven integrated comb sources, the LEO comb generates comb powers that exceed the injected continuous-wave power by an order of magnitude. We realize the LEO comb in a hybrid lithium niobate/III-V nanophotonic circuit and demonstrate milliwatt-level power per comb line, 1.76-ps pulses, a 4.7-nm background-free spectrum, and linewidths as narrow as 19.6 kHz. By unifying high efficiency, power, and coherence, this architecture establishes a definitive route to chip-scale frequency comb sources that deliver on the promise of scalable, high-performance coherent optical technologies.",['physics.optics'],http://arxiv.org/abs/2604.20837v1,https://arxiv.org/pdf/2604.20837v1,22/04/2026-17:59:03,"['Benjamin K. Gutierrez', 'Yingchu Xu', 'Nicolas Englebert', 'Rithvik Ramesh', 'Maximilian Shen', 'Deven Tseng', 'Adelynn Tang', 'Ryoto Sekine', 'Mahmood Bagheri', 'Auro M. Perego', 'Alireza Marandi']",physics.optics
Unconventional Quantum Criticality in Long-Range Spin-1 Chains: Insights from Entanglement Entropy and Bipartite Fluctuations,"We study the ground-state phase diagram of a spin-1 Heisenberg chain with staggered long-range (LR) interactions decaying as $\propto r^{-α}$ using a quantum Monte Carlo approach based on the split-spin representation. This formulation enables efficient large-scale simulations by mapping the spin-1 model onto spin-$1/2$ degrees of freedom with local projection constraints. We resolve the continuous quantum phase transition between the gapped Haldane phase at large $α$ (short-range regime) and a gapless antiferromagnetically ordered Néel phase at small $α$ (LR regime), where the continuous SU(2) symmetry is broken. From finite-size scaling and crossing point analyses, we determine the critical point to be at $α_c = 2.48(2)$ and extract the associated critical exponents, which indicate unconventional criticality. In particular, the transition is found to be nonconformal, characterized by a dynamic exponent $z \neq 1$. We further analyze the scaling of entanglement entropy and bipartite fluctuations across the transition, and determine the corresponding universal scalings in both phases and at criticality.","['cond-mat.str-el', 'quant-ph']",http://arxiv.org/abs/2604.20831v1,https://arxiv.org/pdf/2604.20831v1,22/04/2026-17:57:08,"['Justin Tim-Lok Chau', 'Jiarui Zhao', 'Nicolas Laflorencie', 'Zi Yang Meng']",cond-mat.str-el
Network exploration by random walks: A large deviation perspective,"We study exploration properties of a random walk on a network. For a fully connected network we find that the problem can be mapped to the well known coupon collector problem, thus allowing us to estimate form of $P(S,t)$: the distribution of number of distinct nodes $S$ visited by the random walk upto time $t$. From a practical point of view, however, both the fully connected network and hops taking place after fixed intervals are an idealization. We solve this problem by introducing the formalism of continuous time random walks wherein the random walk spends a random amount of time a node before hopping to its neighboring node. The formalism allows us to study the large deviation limit of $P(S,t)$ under very mild conditions that the distribution of waiting times $ψ(τ)$ exhibits analyticity at small times. Furthermore, we find that at small times, the properties of $P(S,t)$ are largely independent of the network topology, and are governed solely by the waiting time characteristics.",['physics.soc-ph'],http://arxiv.org/abs/2604.20829v1,https://arxiv.org/pdf/2604.20829v1,22/04/2026-17:56:26,"['Sarvesh K. Upadhyay', 'Trifce Sandev', 'Sanjay Kumar', 'R. K. Singh']",physics.soc-ph
Arrow of Time as an indicator of Measurement-Induced Phase Transitions,"Measurement-induced phase transitions (MIPTs) in monitored quantum systems are typically diagnosed using entanglement-based measures. Here, we develop a complementary thermodynamic perspective based on the arrow of time (AoT), which arises from the intrinsic irreversibility of the quantum measurements driving these transitions. We study the AoT - defined as the logarithmic ratio of forward and backward trajectory probabilities - across a family of models exhibiting MIPTs. We find that, like entanglement entropy, the AoT is a nonlinear functional of the averaged density matrix; however, in contrast to entanglement, it is associated with a local operator. To determine whether the AoT exhibits critical behavior, we formulate and exactly solve a model of a random quantum circuit with non-projective measurements. This allows us to analytically demonstrate that the AoT displays nonanalytic behavior and identify its critical exponent. Our results establish the AoT as a novel diagnostic for phase transitions in monitored quantum systems.","['cond-mat.stat-mech', 'quant-ph']",http://arxiv.org/abs/2604.20828v1,https://arxiv.org/pdf/2604.20828v1,22/04/2026-17:56:25,"['Nitay Hurvitz', 'Alon Kochol', 'Victor Fleurov', 'Eran Sela']",cond-mat.stat-mech
Spatial deformation in a Bayesian spatiotemporal model for incomplete matrix-variate responses,"In this paper, we propose a Bayesian matrix-variate spatiotemporal modeling framework for jointly analyzing multiple response variables observed at spatial locations over time. The approach relaxes the standard assumption of spatial isotropy by incorporating a deformation-based mechanism, allowing the covariance structure to capture directional effects and nonstationary spatial dependence. Temporal dynamics are modeled through dynamic linear models, enabling coherent uncertainty propagation within a state-space formulation. Missing observations are handled via a data augmentation strategy that preserves the joint structure of the multivariate responses. The proposed methodology is evaluated through simulation studies and an application to air quality data. Results indicate that accounting for spatial deformation leads to substantial gains in predictive performance in anisotropic settings, while cross-variable dependence plays a secondary role in improving overall fit. The framework is computationally tractable for moderate numbers of spatial locations and responses, and provides a flexible basis for modeling multivariate spatiotemporal processes under incomplete data.",['stat.ME'],http://arxiv.org/abs/2511.18201v2,https://arxiv.org/pdf/2511.18201v2,22/11/2025-22:05:59,"['Rodrigo de Souza Bulhões', 'Marina Silva Paez', 'Dani Gamerman']",stat.ME
Quantum phase transitions and entanglement entropy in a non-Hermitian Jaynes-Cummings model,"In this paper, we describe some interesting properties of a non-Hermitian Jaynes-Cummings model. For this particular model, it is known that the Hilbert space can be described by infinitely-many two-dimensional invariant (closed) subspaces, together with the global ground state. We expose the appearance of exceptional points on such two-dimensional subspaces, together with quantum phase transitions marking the transition from real to complex eigenvalues. We also compute the spin-oscillator entanglement entropy on each invariant subspace to show that the two phases can be distinguished by their distinct entanglement-entropy profiles.","['quant-ph', 'math-ph']",http://arxiv.org/abs/2506.23356v3,https://arxiv.org/pdf/2506.23356v3,29/06/2025-18:24:20,"['Gargi Das', 'Aritra Ghosh', 'Bhabani Prasad Mandal']",quant-ph
Autonomous Emergence of Hamiltonian in Deep Generative Models,"The unprecedented predictive success of deep generative models in complex many-body systems, such as AlphaFold3, raises an epistemological question: do these networks merely memorize data distributions via high-dimensional interpolation, or do they autonomously deduce the underlying physical laws? To address this, we introduce a rigorous algebraic framework to extract the implicit physical interactions learned by generative models. By establishing an exact equivalence between the zero-noise limit of a Riemannian diffusion score field and the thermodynamic restoring force, we utilize the trained neural network as a direct force estimator. Applying this framework to a sequence-dependent, frustrated 1D $O(3)$ spin glass, we probe the latent representations of an $O(3)$-equivariant attention architecture trained solely on thermal equilibrium snapshots. Without incorporating any energetic priors, an overdetermined linear inversion successfully recovers the microscopic Hamiltonian parameters of the spin system. The inferred Hamiltonian parameters exhibit a $99.7\%$ cosine similarity with the ground-truth interaction parameters. Furthermore, these sparse local parameters alone are sufficient to explain $87\%$ of the variance in the continuous force field predicted by the network. Our results provide quantitative, falsifiable evidence that deep generative architectures do not merely perform statistical pattern matching, but autonomously discover and internalize the underlying physical rules.","['cond-mat.dis-nn', 'cond-mat.stat-mech']",http://arxiv.org/abs/2604.20821v1,https://arxiv.org/pdf/2604.20821v1,22/04/2026-17:46:35,"['Wenjie Xi', 'Wei-Qiang Chen']",cond-mat.dis-nn
