titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
NTIRE 2026 3D Restoration and Reconstruction in Real-world Adverse Conditions: RealX3D Challenge Results,"This paper presents a comprehensive review of the NTIRE 2026 3D Restoration and Reconstruction (3DRR) Challenge, detailing the proposed methods and results. The challenge seeks to identify robust reconstruction pipelines that are robust under real-world adverse conditions, specifically extreme low-light and smoke-degraded environments, as captured by our RealX3D benchmark. A total of 279 participants registered for the competition, of whom 33 teams submitted valid results. We thoroughly evaluate the submitted approaches against state-of-the-art baselines, revealing significant progress in 3D reconstruction under adverse conditions. Our analysis highlights shared design principles among top-performing methods and provides insights into effective strategies for handling 3D scene degradation.",['cs.CV'],http://arxiv.org/abs/2604.04135v2,https://arxiv.org/pdf/2604.04135v2,05/04/2026-14:38:15,"['Shuhong Liu', 'Chenyu Bao', 'Ziteng Cui', 'Xuangeng Chu', 'Bin Ren', 'Lin Gu', 'Xiang Chen', 'Mingrui Li', 'Long Ma', 'Marcos V. Conde', 'Radu Timofte', 'Yun Liu', 'Ryo Umagami', 'Tomohiro Hashimoto', 'Zijian Hu', 'Yuan Gan', 'Tianhan Xu', 'Yusuke Kurose', 'Tatsuya Harada', 'Junwei Yuan', 'Gengjia Chang', 'Xining Ge', 'Mache You', 'Qida Cao', 'Zeliang Li', 'Xinyuan Hu', 'Hongde Gu', 'Changyue Shi', 'Jiajun Ding', 'Zhou Yu', 'Jun Yu', 'Seungsang Oh', 'Fei Wang', 'Donggun Kim', 'Zhiliang Wu', 'Seho Ahn', 'Xinye Zheng', 'Kun Li', 'Yanyan Wei', 'Weisi Lin', 'Dizhe Zhang', 'Yuchao Chen', 'Meixi Song', 'Hanqing Wang', 'Haoran Feng', 'Lu Qi', 'Jiaao Shan', 'Yang Gu', 'Jiacheng Liu', 'Shiyu Liu', 'Kui Jiang', 'Junjun Jiang', 'Runyu Zhu', 'Sixun Dong', 'Qingxia Ye', 'Zhiqiang Zhang', 'Zhihua Xu', 'Zhiwei Wang', 'Phan The Son', 'Zhimiao Shi', 'Zixuan Guo', 'Xueming Fu', 'Lixia Han', 'Changhe Liu', 'Zhenyu Zhao', 'Manabu Tsukada', 'Zheng Zhang', 'Zihan Zhai', 'Tingting Li', 'Ziyang Zheng', 'Yuhao Liu', 'Dingju Wang', 'Jeongbin You', 'Younghyuk Kim', 'Il-Youp Kwak', 'Mingzhe Lyu', 'Junbo Yang', 'Wenhan Yang', 'Hongsen Zhang', 'Jinqiang Cui', 'Hong Zhang', 'Haojie Guo', 'Hantang Li', 'Qiang Zhu', 'Bowen He', 'Xiandong Meng', 'Debin Zhao', 'Xiaopeng Fan', 'Wei Zhou', 'Linzhe Jiang', 'Linfeng Li', 'Louzhe Xu', 'Qi Xu', 'Hang Song', 'Chenkun Guo', 'Weizhi Nie', 'Yufei Li', 'Xingan Zhan', 'Zhanqi Shi', 'Dufeng Zhang', 'Boyuan Tian', 'Jingshuo Zeng', 'Gang He', 'Yubao Fu', 'Weijie Wang', 'Cunchuan Huang']",cs.CV
Three-Step Nav: A Hierarchical Global-Local Planner for Zero-Shot Vision-and-Language Navigation,"Breakthrough progress in vision-based navigation through unknown environments has been achieved by using multimodal large language models (MLLMs). These models can plan a sequence of motions by evaluating the current view at each time step against the task and goal given to the agent. However, current zero-shot Vision-and-Language Navigation (VLN) agents powered by MLLMs still tend to drift off course, halt prematurely, and achieve low overall success rates. We propose Three-Step Nav to counteract these failures with a three-view protocol: First, ""look forward"" to extract global landmarks and sketch a coarse plan. Then, ""look now"" to align the current visual observation with the next sub-goal for fine-grained guidance. Finally, ""look backward"" audits the entire trajectory to correct accumulated drift before stopping. Requiring no gradient updates or task-specific fine-tuning, our planner drops into existing VLN pipelines with minimal overhead. Three-Step Nav achieves state-of-the-art zero-shot performance on the R2R-CE and RxR-CE dataset. Our code is available at https://github.com/ZoeyZheng0/3-step-Nav.","['cs.CV', 'cs.RO']",http://arxiv.org/abs/2604.26946v1,https://arxiv.org/pdf/2604.26946v1,29/04/2026-17:55:05,"['Wanrong Zheng', 'Yunhao Ge', 'Laurent Itti']",cs.CV
ProcFunc: Function-Oriented Abstractions for Procedural 3D Generation in Python,"We introduce ProcFunc, a library for Blender-based procedural 3D generation in Python. ProcFunc provides a library of easy-to-use Python functions, which streamline creating, combining, analyzing, and executing procedural generation code. ProcFunc makes it easy to create large-scale diverse training data, by combinatorial compositions of semantic components. VLMs can use ProcFunc to edit procedural material and geometry code and can create new procedural code with significantly fewer coding errors. Finally, as an example use case, we use ProcFunc to develop a new procedural generator of indoor rooms, which includes a collection of new compositional procedural materials. We demonstrate the detail, runtime efficiency, and diversity of this room generator, as well as its use for 3D synthetic data generation. Please visit https://github.com/princeton-vl/procfunc for source code.",['cs.CV'],http://arxiv.org/abs/2604.26943v1,https://arxiv.org/pdf/2604.26943v1,29/04/2026-17:52:17,"['Alexander Raistrick', 'Karhan Kayan', 'Jack Nugent', 'David Yan', 'Lingjie Mei', 'Meenal Parakh', 'Hongyu Wen', 'Dylan Li', 'Yiming Zuo', 'Erich Liang', 'Jia Deng']",cs.CV
World2VLM: Distilling World Model Imagination into VLMs for Dynamic Spatial Reasoning,"Vision-language models (VLMs) have shown strong performance on static visual understanding, yet they still struggle with dynamic spatial reasoning that requires imagining how scenes evolve under egocentric motion. Recent efforts address this limitation either by scaling spatial supervision with synthetic data or by coupling VLMs with world models at inference time. However, the former often lacks explicit modeling of motion-conditioned state transitions, while the latter incurs substantial computational overhead. In this work, we propose World2VLM, a training framework that distills spatial imagination from a generative world model into a vision-language model. Given an initial observation and a parameterized camera trajectory, we use a view-consistent world model to synthesize geometrically aligned future views and derive structured supervision for both forward (action-to-outcome) and inverse (outcome-to-action) spatial reasoning. We post-train the VLM with a two-stage recipe on a compact dataset generated by this pipeline and evaluate it on multiple spatial reasoning benchmarks. World2VLM delivers consistent improvements over the base model across diverse benchmarks, including SAT-Real, SAT-Synthesized, VSI-Bench, and MindCube. It also outperforms the test-time world-model-coupled methods while eliminating the need for expensive inference-time generation. Our results suggest that world models can serve not only as inference-time tools, but also as effective training-time teachers, enabling VLMs to internalize spatial imagination in a scalable and efficient manner.",['cs.CV'],http://arxiv.org/abs/2604.26934v1,https://arxiv.org/pdf/2604.26934v1,29/04/2026-17:48:01,"['Wanyue Zhang', 'Wenxiang Wu', 'Wang Xu', 'Jiaxin Luo', 'Helu Zhi', 'Yibin Huang', 'Shuo Ren', 'Zitao Liu', 'Jiajun Zhang']",cs.CV
Color-Encoded Illumination for High-Speed Volumetric Scene Reconstruction,"The task of capturing and rendering 3D dynamic scenes from 2D images has become increasingly popular in recent years. However, most conventional cameras are bandwidth-limited to 30-60 FPS, restricting these methods to static or slowly evolving scenes. While overcoming bandwidth limitations is difficult for general scenes, recent years have seen a flurry of computational imaging methods that yield high-speed videos using conventional cameras for specific applications (e.g., motion capture and particle image velocimetry). However, most of these methods require modifications to a camera's optics or the addition of mechanically moving components, limiting them to a single-view high-speed capture. Consequently, these methods cannot be readily used to capture a 3D representation of rapid scene motion. In this paper, we propose a novel method to capture and reconstruct a volumetric representation of a high-speed scene using only unaugmented low-speed cameras. Instead of modifying the hardware or optics of each individual camera, we encode high-speed scene dynamics by illuminating the scene with a rapid, sequential color-coded sequence. This results in simultaneous multi-view capture of the scene, where high-speed temporal information is encoded in the spatial intensity and color variations of the captured images. To construct a high-speed volumetric representation of the dynamic scene, we develop a novel dynamic Gaussian Splatting-based approach that decodes the temporal information from the images. We evaluate our approach on simulated scenes and real-world experiments using a multi-camera imaging setup, showing first-of-a-kind high-speed volumetric scene reconstructions.",['cs.CV'],http://arxiv.org/abs/2604.26920v1,https://arxiv.org/pdf/2604.26920v1,29/04/2026-17:38:11,"['David Novikov', 'Eilon Vaknin', 'Narek Tumanyan', 'Mark Sheinin']",cs.CV
AnimateAnyMesh++: A Flexible 4D Foundation Model for High-Fidelity Text-Driven Mesh Animation,"Recent advances in 4D content generation have attracted increasing attention, yet creating high-quality animated 3D models remains challenging due to the complexity of modeling spatio-temporal distributions and the scarcity of 4D training data. We present AnimateAnyMesh++, a feed-forward framework for text-driven animation of arbitrary 3D meshes with substantial upgrades in data, architecture, and generative capability. First, we expand the DyMesh-XL dataset by mining dynamic content from Objaverse-XL, increasing the number of unique identities from 60K to 300K and substantially broadening category and motion diversity. Second, we redesign DyMeshVAE-Flex with power-law topology-aware attention and vertex-normal enhanced features, which significantly improves trajectory reconstruction, local geometry preservation, and mitigates trajectory-sticking artifacts. Third, we introduce architectural changes to both DyMeshVAE-Flex and the rectified-flow (RF) generator to support variable-length sequence training and generation, enabling longer animations while preserving reconstruction fidelity. Extensive experiments demonstrate that AnimateAnyMesh++ generates semantically accurate and temporally coherent mesh animations within seconds, surpassing prior approaches in quality and efficiency. The enlarged DyMesh-XL, the upgraded DyMeshVAE-Flex, and variable-length RF together deliver consistent gains across benchmarks and in-the-wild meshes. We will release code, models, and the expanded DyMesh-XL upon acceptance of this manuscript to facilitate research in 4D content creation.",['cs.CV'],http://arxiv.org/abs/2604.26917v1,https://arxiv.org/pdf/2604.26917v1,29/04/2026-17:27:40,"['Zijie Wu', 'Chaohui Yu', 'Fan Wang', 'Xiang Bai']",cs.CV
Graph-based Semantic Calibration Network for Unaligned UAV RGBT Image Semantic Segmentation and A Large-scale Benchmark,"Fine-grained RGBT image semantic segmentation is crucial for all-weather unmanned aerial vehicle (UAV) scene understanding. However, UAV RGBT semantic segmentation faces two coupled challenges: cross-modal spatial misalignment caused by sensor parallax and platform vibration, and severe semantic confusion among fine-grained ground objects under top-down aerial views. To address these issues, we propose a Graph-based Semantic Calibration Network (GSCNet) for unaligned UAV RGBT image semantic segmentation. Specifically, we design a Feature Decoupling and Alignment Module (FDAM) that decouples each modality into shared structural and private perceptual components and performs deformable alignment in the shared subspace, enabling robust spatial correction with reduced modality appearance interference. Moreover, we propose a Semantic Graph Calibration Module (SGCM) that explicitly encodes the hierarchical taxonomy and co-occurrence regularities among ground-object categories in UAV scenes into a structured category graph, and incorporates these priors into graph-attention reasoning to calibrate predictions of visually similar and rare categories.In addition, we construct the Unaligned RGB-Thermal Fine-grained (URTF) benchmark, to the best of our knowledge, the largest and most fine-grained benchmark for unaligned UAV RGBT image semantic segmentation, containing over 25,000 image pairs across 61 categories with realistic cross-modal misalignment. Extensive experiments on URTF demonstrate that GSCNet significantly outperforms state-of-the-art methods, with notable gains on fine-grained categories. The dataset is available at https://github.com/mmic-lcl/Datasets-and-benchmark-code.",['cs.CV'],http://arxiv.org/abs/2604.26893v1,https://arxiv.org/pdf/2604.26893v1,29/04/2026-17:01:38,"['Fangqiang Fan', 'Zhicheng Zhao', 'Xiaoliang Ma', 'Chenglong Li', 'Jin Tang']",cs.CV
SEAL: Semantic-aware Single-image Sticker Personalization with a Large-scale Sticker-tag Dataset,"Synthesizing a target concept from a single reference image is challenging in diffusion-based personalized text-to-image generation, particularly for sticker personalization where prompts often require explicit attribute edits. With only one reference, test-time fine-tuning (TTF) methods tend to overfit, producing \textit{visual entanglement}, where background artifacts are absorbed into the learned concept, and \textit{structural rigidity}, where the model memorizes reference-specific spatial configurations and loses contextual controllability. To address these issues, we introduce \textbf{SE}mantic-aware single-image sticker person\textbf{AL}ization (\textbf{SEAL}), a plug-and-play, architecture-agnostic adaptation module that integrates into existing personalization pipelines without modifying their U-Net-based diffusion backbones. SEAL applies three components during embedding adaptation: (1) a Semantic-guided Spatial Attention Loss, (2) a Split-merge Token Strategy, and (3) Structure-aware Layer Restriction. To support sticker-domain personalization with attribute-level control, we present StickerBench, a large-scale sticker image dataset with structured tags under a six-attribute schema (Appearance, Emotion, Action, Camera Composition, Style, Background). These annotations provide a consistent interface for varying context while keeping target identity fixed, enabling systematic evaluation of identity disentanglement and contextual controllability. Experiments show that SEAL consistently improves identity preservation while maintaining contextual controllability, highlighting the importance of explicit spatial and structural constraints during test-time adaptation. The code, StickerBench, and project page will be publicly released.",['cs.CV'],http://arxiv.org/abs/2604.26883v1,https://arxiv.org/pdf/2604.26883v1,29/04/2026-16:52:41,"['Changhyun Roh', 'Yonghyun Jeong', 'Jonghyun Lee', 'Chanho Eom', 'Jihyong Oh']",cs.CV
Uncertainty-Aware Pedestrian Attribute Recognition via Evidential Deep Learning,"We propose UAPAR, an Uncertainty-Aware Pedestrian Attribute Recognition framework. To the best of our knowledge, this is the first EDL-based uncertainty-aware framework for pedestrian attribute recognition (PAR). Unlike conventional deterministic methods, which fail to assess prediction reliability on low-quality samples, UAPAR effectively identifies unreliable predictions and thus enhances system robustness in complex real-world scenarios. To achieve this, UAPAR incorporates Evidential Deep Learning (EDL) into a CLIP-based architecture. Specifically, a Region-Aware Evidence Reasoning module employs cross-attention and spatial prior masks to capture fine-grained local features, which are further processed by an evidence head to estimate attribute-wise epistemic uncertainty. To further enhance training robustness, we develop an uncertainty-guided dual-stage curriculum learning strategy to alleviate the adverse effects of severe label noise during training. Extensive experiments on the PA100K, PETA, RAPv1, and RAPv2 datasets demonstrate that UAPAR achieves competitive or superior performance. Furthermore, qualitative results confirm that the proposed framework generates uncertainty estimates that are predictive of challenging or erroneous samples.",['cs.CV'],http://arxiv.org/abs/2604.26873v1,https://arxiv.org/pdf/2604.26873v1,29/04/2026-16:41:21,"['Zhuofan Lou', 'Shihang Zhang', 'Fangle Zhu', 'Shengjie Ye', 'Pingyu Wang']",cs.CV
KAYRA: A Microservice Architecture for AI-Assisted Karyotyping with Cloud and On-Premise Deployment,"We present KAYRA, an end-to-end karyotyping system that operates inside the operational constraints of a clinical cytogenetic laboratory. KAYRA is architected as a containerized microservice pipeline whose ML stack combines an EfficientNet-B5 + U-Net semantic segmenter, a Mask R-CNN (ResNet-50 + FPN) instance detector, and a ResNet-18 classifier, orchestrated through a cascaded ROI-narrowing strategy that focuses each downstream model on the chromosome-bearing region. The same container images are deployed both as a cloud service and as an on-premise installation, supporting clinical environments where patient-data egress is not permitted as well as those where it is. A pilot clinical evaluation against two commercial reference karyotyping systems on 459 chromosomes from 10 metaphase spreads shows segmentation accuracy of 98.91 % (vs. 78.21 % / 40.52 %), classification accuracy of 89.1 % (vs. 86.9 % / 54.5 %), and rotation accuracy of 89.76 % (vs. 94.55 % / 78.43 %). KAYRA improves over the older density-thresholding reference on all three axes (p < 0.0001 for segmentation and classification by Fisher's exact test on chromosome-level counts), and on segmentation also against the modern AI- supported reference (p < 0.0001); on classification the difference vs. the modern AI reference is not statistically significant at the present test-set size (p = 0.34). The system reaches TRL 6 maturity and integrates the human-in-the-loop expert-review workflow that diagnostic cytogenetic practice requires. The thesis of this paper is that a multi-model cytogenetic AI service can be packaged as a microservice architecture supporting flexible deployment - cloud-hosted or on-premise - while delivering strong empirical performance on a pilot clinical evaluation.","['cs.LG', 'cs.CV']",http://arxiv.org/abs/2604.26869v1,https://arxiv.org/pdf/2604.26869v1,29/04/2026-16:35:31,"['Attila Pintér', 'Javier Rico', 'Attila Répai', 'Jalal Al-Afandi', 'Adrienn Éva Borsy', 'András Kozma', 'Hajnalka Andrikovics', 'György Cserey']",cs.LG
