titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
"Hallucination, Abstention, and Recursive Inseparability","The impossibility of eliminating hallucination, understood here as incorrect definite answers, in sufficiently expressive yes-or-no formal domains is an immediate consequence of classical undecidability theorems. This note does not revisit that forced-answer obstruction as its main claim. Instead, it attempts to formally describe the corresponding limitation for abstaining systems. Abstention can trivially avoid hallucination if the system is allowed to abstain on every input; the substantive question is how large the domain of guaranteed correct non-abstaining answers can be. We formulate this question using separation in the arithmetical hierarchy. Given disjoint sets $A$ and $B$, any system that answers Yes on all queries indexed by $A$ and No on all queries indexed by $B$ induces a separator of $A$ from $B$. By combining this observation with the classical existence theorem of $Δ_{n}^{0}$-inseparable pairs of $Σ_{n}^{0}$-sets, we yield a computability-theoretic trade-off between avoiding hallucination by abstention and maintaining a large domain of guaranteed coverage.",['math.LO'],http://arxiv.org/abs/2604.28067v1,https://arxiv.org/pdf/2604.28067v1,30/04/2026-16:16:30,['Takuma Imamura'],math.LO
Topological Semantics for Common Inductive Knowledge,"Consider a community of scientists whose labs are each capable of conducting a different set of experiments. The scientists want to work together to confirm a new hypothesis, but to ensure blindness, their labs generally prohibit the scientists from communicating with each other. Further, each scientist can only make so many retractions to their lab before having to cease inquiry and suspend judgement forever. How might the scientists coordinate whether to affirm or suspend judgement on this hypothesis in light of their private experiments so that their labs are guaranteed to converge to the same conclusion and that this conclusion will not be a false positive? Call this problem 'inductive coordinated attack.' In this paper, we develop a logic for solving inductive coordinated attack by determining when and how a hypothesis can become what we call 'common inductive knowledge.' We begin by precisifying Lewis' account of common knowledge in Convention which describes the generation of higher-order expectations between agents as hinging upon agents' inductive standards and a shared witness. Our language has a rather rich syntax in order to capture equally rich notions central to Lewis' account; for instance, we speak of an agent 'having inductive reason to believe' a proposition and one proposition 'indicating' to an agent that another proposition holds. This syntax affords a novel topological semantics which, following Kelly 1996's approach in The Logic of Reliable Inquiry, takes as primitives agents' information bases. In particular, we endow each agent with a 'switching tolerance' meant to represent their personal inductive standards for learning. After establishing soundness of our proof system with respect to this semantics, we conclude by showing how our logic can be used to solve inductive coordinated attack.","['cs.LO', 'econ.TH', 'math.LO']",http://arxiv.org/abs/2602.06927v3,https://arxiv.org/pdf/2602.06927v3,06/02/2026-18:23:45,['Siddharth Namachivayam'],cs.LO
A Logic of Inability,"Coalition Logic is primarily concerned with what coalitions can achieve, whereas what coalitions cannot achieve -- their \emph{inability} -- has received comparatively little explicit attention.
  This asymmetry matters in artificial intelligence and safety-critical multi-agent systems, where one often needs to specify not merely what agents are instructed or disposed not to do, but what they are \emph{unable} to bring about.
  We develop a conservative extension of Coalition Logic with an explicit inability operator, interpreted as the negation of coalition ability.
  This operator is introduced as a conservative and formally tractable starting point for studying inability as a modal concept in its own right.
  We prove soundness, completeness, and conservativity over standard Coalition Logic, and analyse the resulting modal behaviour: anti-monotonicity with respect to coalition inclusion, contravariance with respect to goal strength, asymmetric interaction with conjunction and disjunction, failure of superadditivity, non-equivalence with opponent ability, and the connection between grand-coalition inability and systemic impossibility.
  Making this definable operator explicit reveals a systematic modal structure governing the limits of agency, and supports reasoning about constraints, negative capabilities, and impossibility in multi-agent systems.","['cs.LO', 'math.LO']",http://arxiv.org/abs/2604.27917v1,https://arxiv.org/pdf/2604.27917v1,30/04/2026-14:22:04,['Shanxia Wang'],cs.LO
Monotone infinitary operations on ordinals (extended version),"We define and study an $ ω$-ary operation on the class of the ordinals, which is strictly monotone in many significant cases (by an elementary argument, there is no fully strictly monotone infinitary operation on ordinals). We compare the operation with the finitary Hessenberg natural sum, which is the smallest finitary strictly monotone operation on each argument. We also compare it with other infinitary generalizations of Hessenberg sum.
  We provide order-theoretical characterizations of our operation, both as the rank of sequences in an appropriate well-founded order, and as a mixed (or shuffled) sum of the ordinals in the sequence. The latter means that such an infinitary sum is the largest realization as an order-preserving disjoint union of copies of the summands, under some boundedness restriction. The former characterization can be recast in terms of combinatorial games, leading to the problem whether the operation can be extended to the class of Conway surreal numbers.",['math.LO'],http://arxiv.org/abs/2505.00424v2,https://arxiv.org/pdf/2505.00424v2,01/05/2025-09:45:56,['Paolo Lipparini'],math.LO
Hypercontact semilattices,"Contact Boolean algebras are one of the main algebraic tools in region-based theory of space. T. Ivanova provided strong motivations for the study of merely semilattices with a contact relation. Another significant motivation for considering an even weaker underlying structure comes from event structures with binary conflict in the theory of concurrent systems in computer science.
  All the above-hinted notions deal with a binary contact relation. Several authors suggested the more general study of $n$-ary ``hypercontact'' relations and noticed that, in general, a hypercontact relation cannot be retrieved from just a binary contact relation. A similar evolution occurred in the study of the just mentioned event structures in computer science.
  In an effort to unify the above lines of research, in this paper we study join semilattices with a hypercontact relation. We provide representation theorems into Boolean algebras, with or without overlap hypercontact relation. With a single exception, our proofs are choice-free. We also present several examples and problems; in particular, we briefly discuss some connections with event structures and hypergraphs.","['math.LO', 'math.RA']",http://arxiv.org/abs/2308.04874v5,https://arxiv.org/pdf/2308.04874v5,09/08/2023-11:15:58,['Paolo Lipparini'],math.LO
VC-Density in Divisible Oriented Abelian Groups and Their Pairs,"We show that the VC-density in certain theories of oriented abelian groups is at most the size of parameter variables, which yields dp-minimality. We further prove that the VC-density of formulas in pairs of such models is bounded by twice the size of parameter variables. This uniform upper bound is shown to be sharp, and as a consequence, we show that such pairs have dp-rank 2.",['math.LO'],http://arxiv.org/abs/2604.27816v1,https://arxiv.org/pdf/2604.27816v1,30/04/2026-12:58:04,"['Ebru Nayir', 'Melissa Özsahakyan']",math.LO
The Nikodym and Grothendieck properties of Boolean algebras and rings related to ideals,"For an ideal $\mathcal{I}$ in a $σ$-complete Boolean algebra $\mathcal{A}$, we show that if the Boolean algebra $\mathcal{A}\langle\mathcal{I}\rangle$ generated by $\mathcal{I}$ does not have the Nikodym property, then it does not have the Grothendieck property either. The converse however does not hold -- we construct a family of $\mathfrak{c}$ many pairwise non-isomorphic Boolean subalgebras of the power set $\wp(ω)$ of the form $\wp(ω)\langle\mathcal{I}\rangle$ which, when thought of as subsets of the Cantor space $2^ω$, belong to the Borel class $\mathbb{F}_{σδ}$ and have the Nikodym property but not the Grothendieck property, and a family of $2^\mathfrak{c}$ many pairwise non-isomorphic non-analytic Boolean algebras of the form $\wp(ω)\langle\mathcal{I}\rangle$ with the Nikodym property but without the Grothendieck property.
  Extending a result of Hernández-Hernández and Hrušák, we show that for an analytic P-ideal $\mathcal{I}$ on $ω$ the following are equivalent: 1) $\mathcal{I}$ is totally bounded, 2) $\mathcal{I}$ has the Local-to-Global Boundedness Property for submeasures, 3) $\wp(ω)/\mathcal{I}$ contains a countable splitting family, 4) $\mbox{conv}\le_K\mathcal{I}$. Moreover, proving a conjecture of Drewnowski, Florencio, and Paúl, we present examples of analytic P-ideals on $ω$ with the Nikodym property but without the Local-to-Global Boundedness Property for submeasures (and so not totally bounded). Exploiting a construction of Alon, Drewnowski, and Łuczak, we also describe a family of $\mathfrak{c}$ many pairwise non-isomorphic ideals on $ω$, induced by sequences of Kneser hypergraphs, which all have the Nikodym property but not the Nested Partition Property -- this answers a question of Stuart.
  Finally, Tukey reducibility of a class of ideals without the Nikodym property is studied.","['math.LO', 'math.FA', 'math.GN']",http://arxiv.org/abs/2510.19744v2,https://arxiv.org/pdf/2510.19744v2,22/10/2025-16:31:33,"['Damian Sobota', 'Tomasz Żuchowski']",math.LO
Toward a Characterization of Simulation Between Arithmetic Theories,"We study when a sound arithmetic theory $\mathcal S{\supseteq}S^1_2$ with polynomial-time decidable axioms efficiently proves the bounded consistency statements $Con_{\mathcal S{+}φ}(n)$ for a true sentence $φ$. Equivalently, we ask when $\mathcal S$, viewed as a proof system, simulates $\mathcal S{+}φ$. The paper's two unconditional contributions constrain possible characterizations. First, for finitely axiomatized sequential $\mathcal S$, if $EA{\vdash}Con_{\mathcal S}{\rightarrow}Con_{\mathcal S{+}φ}$, then $\mathcal S$ interprets $\mathcal S{+}φ$, implying ${\mathcal S}{\vdash^{n^{O(1)}}}Con_{\mathcal S}(p(n)){\rightarrow}Con_{\mathcal S{+}φ}(n)$ for some polynomial $p$, and hence ${\mathcal S}{\vdash^{n^{O(1)}}}Con_{\mathcal S{+}φ}(n)$. Second, if $\mathcal S$ fails to simulate $\mathcal S{+}φ$ for some true $φ$, then for all sufficiently large $k$ it also fails for $φ_{BB}(k)$ asserting the exact value of the $k$-state Busy Beaver function. Informally, any argument showing that $\mathcal S$ fails to simulate some $\mathcal S{+}φ$ also yields unprovable $φ_{BB}(k)$ witnessing the same obstruction. These results suggest that relative consistency strength is a serious candidate for governing when simulation is possible, while leaving open whether it is the correct criterion.
  The paper's central conjectural proposal is that the above sufficient condition is also necessary: if $EA{\not\vdash}Con_{\mathcal S}{\rightarrow}Con_{\mathcal S{+}φ}$, then for every constant $c{>}0$, ${\mathcal S}{\not\vdash^{n^c}}Con_{\mathcal S{+}φ}(n)$. Under this proposal, hardness follows in canonical cases where $φ$ is $Con_{\mathcal S}$ or a Kolmogorov-randomness axiom. The latter yields further conjectural consequences and extensions.","['cs.CC', 'math.LO']",http://arxiv.org/abs/2604.27787v1,https://arxiv.org/pdf/2604.27787v1,30/04/2026-12:29:58,['Hunter Monroe'],cs.CC
Universally defining subrings in function fields,"We establish that all rings of $S$-integers are universally definable in function fields in one variable over certain ground fields including global and non-archimedean local fields. That is, we show that the complement of such a ring of $S$-integers is always a diophantine set. As a technical tool, we use a reciprocity exact sequence for quadratic Witt groups in function fields over almost arbitrary base fields (of any characteristic), which is new and of potentially independent interest.","['math.NT', 'math.LO']",http://arxiv.org/abs/2404.02749v2,https://arxiv.org/pdf/2404.02749v2,03/04/2024-13:48:18,"['Nicolas Daans', 'Philip Dittmann']",math.NT
A note on computable étale spaces,"An étale space over a topological space $Y$ is defined as a local homeomorphism from a topological space $X$ into $Y$. They often come up in topos theory because of the equivalence between sheaves and étale spaces over a space. In this note, we define computable étale spaces over a computable topological space $Y$ within the TTE framework of computable topology, and show they are naturally equivalent to computable functions from $Y$ to $\mathsf{ODS}$, the effective quasi-Polish category of overt-discrete quasi-Polish spaces. More generally, if $\cal C$ is a computable category (or groupoid), then there is an equivalence between computable functors from $\cal C$ to $\mathsf{ODS}$, and computable étale spaces equipped with a computable action by $\cal C$.","['math.LO', 'math.CT']",http://arxiv.org/abs/2604.27466v1,https://arxiv.org/pdf/2604.27466v1,30/04/2026-06:05:35,['Matthew de Brecht'],math.LO
