titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
FeatureFox: Sample-Efficient Panoptic Graph Segmentation for Machining Feature Recognition in B-Rep 3D-CAD Models,"Automatic feature recognition (AFR) on B-Rep 3D-CAD models is central to CAD/CAM automation, yet most learning-based methods are complex, data-hungry, and evaluate instance grouping and semantic labeling separately. We present FeatureFox, a panoptic AFR pipeline that outputs machining instances with semantic labels: a calibrated binary edge classifier on enriched edge attributes localizes feature boundaries, instances are recovered as connected components in a pruned face-adjacency graph, and a per-instance classifier predicts the machining class from aggregated subgraph attributes. We evaluate on MFInstSeg using Panoptic Quality (PQ), which jointly scores instance separation and semantic correctness. FeatureFox is substantially more sample- and compute-efficient than the deep baseline AAGNet, reaching $\mathrm{PQ}>0.9$ with $\sim250$ training parts versus $\sim5{,}000$ for AAGNet, and training on the full MFInstSeg set takes seconds on a GPU. On the full training set, AAGNet surpasses FeatureFox marginally in PQ, while FeatureFox remains slightly ahead in feature-level recognition and localization accuracy. Finally, leveraging its low data requirement, we train FeatureFox on $270$ manually labeled industrial CAD parts and show qualitative generalization to an unseen real industrial part, indicating practical real-world applicability.",['cs.CE'],http://arxiv.org/abs/2604.26770v1,https://arxiv.org/pdf/2604.26770v1,29/04/2026-15:02:38,"['Bertram Fuchs', 'Altay Kacan', 'Aaron Haag', 'Oliver Lohse']",cs.CE
MappingEvolve: LLM-Driven Code Evolution for Technology Mapping,"Technology mapping is a critical yet challenging stage in logic synthesis. While Large Language Models (LLMs) have been applied to generate optimization scripts, their potential for core algorithm enhancement remains untapped. We introduce MappingEvolve, an open-source framework that pioneers the use of LLMs to directly evolve technology mapping code. Our method abstracts the mapping process into distinct optimization operators and employs a hierarchical agent-based architecture, comprising a Planner, Evolver, and Evaluator, to guide the evolutionary search. This structured approach enables strategic and effective code modifications. Experiments show our method significantly outperforms direct evolution and strong baselines, achieving 10.04\% area reduction versus ABC and 7.93\% versus mockturtle, with 46.6\%--96.0\% $S_{overall}$ improvement on EPFL benchmarks, while explicitly navigating the area--delay trade-off. Our code and data are available at https://github.com/Flians/MappingEvolve.","['cs.CE', 'cs.AI']",http://arxiv.org/abs/2604.26591v1,https://arxiv.org/pdf/2604.26591v1,29/04/2026-12:17:48,"['Rongliang Fu', 'Yi Liu', 'Qiang Xu', 'Tsung-Yi Ho']",cs.CE
Fundamental Limitations of QAOA on Constrained Problems and a Route to Exponential Enhancement,"We study fundamental limitations of the generic Quantum Approximate Optimization Algorithm (QAOA) on constrained problems where valid solutions form a low dimensional manifold inside the Boolean hypercube, and we present a provable route to exponential improvements via constraint embedding. Focusing on permutation constrained objectives, we show that the standard generic QAOA ansatz, with a transverse field mixer and diagonal r local cost, faces an intrinsic feasibility bottleneck: even after angle optimization, circuits whose depth grows at most sublinearly with n cannot raise the total probability mass on the feasible manifold much above the uniform baseline suppressed by the size of the full Hilber space. Against this envelope we introduce a minimal constraint enhanced kernel (CE QAOA) that operates directly inside a product one hot subspace and mixes with a block local XY Hamiltonian. For permutation constrained problems, we prove an angle robust, depth matched exponential enhancement where the ratio between the feasible mass from CE QAOA and generic QAOA grows exponentially in $n^2$ for all depths up to a linear fraction of n, under a mild polynomial growth condition on the interaction hypergraph. Thanks to the problem algorithm co design in the kernel construction, the techniques and guarantees extend beyond permutations to a broad class of NP-Hard constrained optimization problems.","['quant-ph', 'cs.CC', 'cs.CE', 'cs.DM', 'math-ph']",http://arxiv.org/abs/2511.17259v3,https://arxiv.org/pdf/2511.17259v3,21/11/2025-14:04:01,"['Chinonso Onah', 'Kristel Michielsen']",quant-ph
Machine Spirits: Speculation and Adaptation of LLM Agents in Asset Markets,"As Large Language Models (LLMs) become increasingly integrated into financial systems, understanding their behavioural properties is crucial. Do LLMs conform to the rational expectations paradigm, do they exhibit human-like ""animal spirits"", or do they instead manifest distinct ""machine spirits""? We investigate these questions with a simulated financial market, exploring the behaviour of 15 LLMs spanning a range of sizes, capabilities, and providers. Our results show that LLMs exhibit a spectrum of economic behaviours, from stable coordination on the fundamental value to human-like speculative bubbles. These behaviours are generally inconsistent with the rational expectations hypothesis. We also consider an ecology of heterogeneous agents, a more realistic setting compared to markets with identical LLM agents. These mixed markets can produce outcomes which vary substantially across repeated simulations. Even the most advanced models fail to consistently stabilise the market, with price bubbles sometimes forming despite only a minority of agents naturally forming bubbles. Instead, advanced models in mixed markets adapt their forecasting strategies to the behaviour of other agents. This adaptation can allow them to successfully exploit less sophisticated counterparts and achieve higher profits, but can also contribute to increased market volatility. These findings suggest that the introduction of AI agents into financial markets fundamentally reshapes their ecology. In particular, heterogeneous populations of LLMs can generate endogenous instability, while individual-level adaptation may amplify, rather than mitigate, market volatility.","['q-fin.TR', 'cs.CE']",http://arxiv.org/abs/2604.18602v2,https://arxiv.org/pdf/2604.18602v2,09/04/2026-17:30:18,"['Maxime Saxena', 'Marco Pangallo', 'Cars Hommes', 'Fabio Caccioli', 'R. Maria del Rio-Chanona']",q-fin.TR
A Matrix-Free Galerkin Multigrid Solver and Failure-Mode Screen for Single-GPU 3D SIMP Linear Systems,"Large 3D SIMP studies require repeated elasticity solves for density-dependent operators whose finest matrices are expensive to assemble and whose conditioning degrades under high contrast. We study this linear-solver layer rather than claiming end-to-end optimization acceleration. The solver builds a matrix-free Galerkin geometric multigrid (GMG) hierarchy around a fused fine operator: the finest level remains matrix-free, the first coarse level is assembled by local Galerkin aggregation, and deeper levels use sparse Galerkin products. The practical default is FP32-GMG; BF16 is evaluated as a guarded mixed-precision variant and diagnostic stress test, not as the main speed mechanism. In a 27-case heterogeneous cantilever sweep, pass rates under a 200-iteration budget are 7/9, 4/9, and 1/9 at 64k, 216k, and 512k elements; converged-only mean iteration counts are about 112, 134, and 146. On uniform rho=0.5, p=3 solves, FP32-GMG gives 1.62x, 1.75x, and 3.12x wall-time ratios relative to the capped flat Jacobi-PCG baseline at the same sizes; that non-converged baseline reaches the 200-iteration cap in all timed trials. BF16-GMG is not faster than FP32-GMG. In 18 fixed-seed heterogeneous BF16 validation cases, 7/18 converge, matching the FP64 count, and 11 cases that pass the spectral screen still fail the 500-iteration cap; the screen is therefore diagnostic rather than a convergence certificate. The largest reported solve is a 1M-element uniform-modulus system solved in 1.50+/-0.58 s with an 8.66 GiB hierarchy-allocation delta during setup, not a peak-memory trace; this point is reported as uniform scaling, not heterogeneous robustness evidence. The contribution is therefore a bounded single-GPU solver result built on an inherited Level 0 matrix-free operator: a Galerkin GMG hierarchy, direct BF16 guard evidence, and an explicit failure-mode screen for structured 3D SIMP linear systems.","['cs.CE', 'math.NA']",http://arxiv.org/abs/2604.26441v1,https://arxiv.org/pdf/2604.26441v1,29/04/2026-08:52:21,"['Shaoliang Yang', 'Jun Wang', 'Yunsheng Wang']",cs.CE
Accelerating Sparse Linear Solvers with an Optical Laser Processing Unit,"Solving large, sparse linear systems is a fundamental workload in scientific computing and engineering simulations, often dominating runtime and energy consumption in high-performance computing (HPC) applications. In this work, we explore an alternative computing paradigm based on analog optical processing, implemented through the Laser Processing Unit (LPU). The LPU encodes linear systems into the dynamics of coupled lasers within an optical cavity, where the steady-state phases of the optical fields correspond to the solution of $Ax=b$. We present a mapping of general linear systems, both dense and sparse, onto the LPU architecture and evaluate its performance using representative matrices from the SuiteSparse collection. Using an LPU emulator, we benchmark convergence behavior and time-to-solution for sparse, multi-banded matrices against established Krylov subspace methods (CG, GMRES, BiCGSTAB, and others) executed on a modern GPU platform. Our results demonstrate that the LPU will achieve significantly lower time-to-solution for selected problem classes, highlighting the potential of optical analog computing for accelerating iterative linear solvers. These findings suggest that optical processors such as the LPU will be able to serve as accelerators for linear systems, in particular structured and/or repeatedly solved, offering advantages in latency, parallelism, and energy efficiency. We discuss current limitations, including scaling constraints and precision considerations, and outline directions toward hybrid optical-digital computing systems.","['cs.CE', 'cs.ET']",http://arxiv.org/abs/2604.26377v1,https://arxiv.org/pdf/2604.26377v1,29/04/2026-07:40:13,"['Dan Gluck', 'Yotam Mimran', 'Andrey Karenskih', 'Talya Vaknin', 'Omri Wolf', 'Ruti Ben-Shlomi', 'Johannes Gebert']",cs.CE
A Category-Theoretic Framework from Biological Mechanics to Engineered Stimulus-Response Systems,"Natural materials achieve adaptive behavior through hierarchical organization and coupled mechanisms across scales. Their translation into engineering, however, remains largely heuristic. What is missing is a formal translation framework that carries biological design logic into engineered realization while preserving physical consistency across levels of abstraction. Here we present a category theoretic compositional framework for verified nature-derived design. The framework defines a category of stimulus response dynamical systems with natural and artificial subcategories. It introduces a structure preserving implementation functor from biological mechanics to engineered systems. It also formalizes a machine agnostic specification layer that links behavioral intent to executable fabrication programs. We instantiate the framework on the hygromorphic pinecone hierarchy as a representative biological case. We implement the full pipeline in Grasshopper, where formal specifications are translated into modular parametric scripts that preserve the compositional structure of the model. The resulting designs are fabricated by fused filament fabrication, evaluated experimentally, and tested against model predictions derived from the pipeline. The current implementation generates four actuator classes spanning two stimulus types and two kinematic responses. One actuator arises purely through composition from previously validated components, without additional manual derivation. The results show that compositionality can function not just as a descriptive language, but as a generative and system level verifiable method for mechanical material design. More broadly, the work provides a concrete route for embedding formal multiscale reasoning within increasingly computational, generative, and physics-driven design workflows.","['cond-mat.soft', 'cond-mat.mtrl-sci', 'cs.CE', 'math.CT']",http://arxiv.org/abs/2604.26367v1,https://arxiv.org/pdf/2604.26367v1,29/04/2026-07:27:49,"['Lee Marom', 'Skylar Tibbits', 'Gioele Zardini', 'Markus J. Buehler']",cond-mat.soft
Fitting Large Nonlinear Mixed Effects Models Using Variational Expectation Maximization,"Nonlinear Mixed Effects models (NLME) models are widely used in pharmacometrics and related fields to analyze hierarchical and longitudinal data. However, as the number of parameters and random effects increases, traditional methods for maximizing the marginal likelihood become computationally expensive. This paper explores the Variational Expectation Maximization (VEM) algorithm, a scalable alternative for fitting NLME models. Originally introduced in the context of probabilistic graphical models and later popularized through variational autoencoders, VEM has not been extensively applied to NLME modeling. By leveraging flexible variational families and reverse-mode automatic differentiation, VEM can efficiently maximize the marginal likelihood, scaling to NLME models with over 15,000 population parameters. This work provides a detailed description of VEM, compares it to other NLME fitting algorithms, and highlights its scalability through computational experiments. Using the Pumas statistical software, we fit two test models: 1) a standard warfarin model, and 2) a DeepNLME Friberg model with 15,410 population parameters and 16 random effects. The warfarin model was fitted to completion to demonstrate the correctness of VEM, while the DeepNLME Friberg model was fitted for a limited number of iterations to measure the time per iteration and demonstrate VEM's scalability.","['stat.ME', 'cs.CE', 'cs.LG', 'cs.MS', 'stat.CO']",http://arxiv.org/abs/2604.26160v1,https://arxiv.org/pdf/2604.26160v1,28/04/2026-22:41:53,"['Mohamed Tarek', 'Pedro Afonso']",stat.ME
Operating-Layer Controls for Onchain Language-Model Agents Under Real Capital,"We study reliability in autonomous language-model agents that translate user mandates into validated tool actions under real capital. The setting is DX Terminal Pro, a 21-day deployment in which 3,505 user-funded agents traded real ETH in a bounded onchain market. Users configured vaults through structured controls and natural-language strategies, but only agents could choose normal buy/sell trades. The system produced 7.5M agent invocations, roughly 300K onchain actions, about $20M in volume, more than 5,000 ETH deployed, roughly 70B inference tokens, and 99.9% settlement success for policy-valid submitted transactions. Long-running agents accumulated thousands of sequential decisions, including 6,000+ prompt-state-action cycles for continuously active agents, yielding a large-scale trace from user mandate to rendered prompt, reasoning, validation, portfolio state, and settlement. Reliability did not come from the base model alone; it emerged from the operating layer around the model: prompt compilation, typed controls, policy validation, execution guards, memory design, and trace-level observability. Pre-launch testing exposed failures that text-only benchmarks rarely measure, including fabricated trading rules, fee paralysis, numeric anchoring, cadence trading, and misread tokenomics. Targeted harness changes reduced fabricated sell rules from 57% to 3%, reduced fee-led observations from 32.5% to below 10%, and increased capital deployment from 42.9% to 78.0% in an affected test population. We show that capital-managing agents should be evaluated across the full path from user mandate to prompt, validated action, and settlement.","['cs.AI', 'cs.CE', 'cs.MA']",http://arxiv.org/abs/2604.26091v1,https://arxiv.org/pdf/2604.26091v1,28/04/2026-20:10:33,"['T. J. Barton', 'Chris Constantakis', 'Patti Hauseman', 'Annie Mous', 'Alaska Hoffman', 'Brian Bergeron', 'Hunter Goodreau']",cs.AI
Mass conservation analysis of extrusion-based 3D printing simulations based on the level-set method,"Accurate numerical simulation of material extrusion additive manufacturing requires reliable tracking of evolving material interfaces while preserving mass conservation. Inaccurate mass conservation can lead to significant discrepancies between simulated and deposited strand geometries, undermining the predictive capability of the model. In this work, we investigate the mass conservation performance of the conservative level-set (CLS) method in extrusion-based 3D printing simulations. A systematic parametric study is conducted to quantify the influence of the interface thickness and reinitialization parameters on mass conservation, using the steady-state cross-sectional area of deposited strands as a quantitative metric. Simulated cross-sections are compared against reference values obtained from analytical mass balance relations. The results show that reducing both the interface thickness and the reinitialization parameter improves mass conservation accuracy, although diminishing returns and increased computational cost are observed beyond certain thresholds. In addition, appropriate tuning of the interface thickness can relax mesh refinement requirements while maintaining acceptable accuracy. The proposed parameter selection strategy is validated across a range of printing conditions, materials, and nozzle geometries, including multilayer deposition of viscoplastic fluids. The simulations show reasonable agreement with experimentally validated data from the literature, confirming that careful CLS parameter tuning enables accurate and computationally efficient prediction of strand geometry in extrusion-based 3D printing.",['cs.CE'],http://arxiv.org/abs/2508.20617v3,https://arxiv.org/pdf/2508.20617v3,28/08/2025-10:03:42,"['Carlos J. G. Rojas', 'Md. Tusher Mollah', 'C. A. Gómez-Pérez', 'Leyla Özkan']",cs.CE
Drivetrain simulation using variational autoencoders,"This work proposes variational autoencoders (VAEs) to predict a vehicle's jerk signals from torque demand in the context of limited real-world drivetrain datasets. We implement both unconditional and conditional VAEs, trained on experimental data from two variants of a fully electric SUV with differing torque and drivetrain configurations. The VAEs synthesize jerk signals that capture characteristics from multiple drivetrain scenarios by leveraging the learned latent space. A performance comparison with baseline physics-based and hybrid models confirms the effectiveness of the VAEs, without requiring detailed system parametrization. Unconditional VAEs generate realistic jerk signals without prior system knowledge, while conditional VAEs enable the generation of signals tailored to specific torque inputs. This approach reduces the dependence on costly and time-intensive real-world experiments and extensive manual modeling. The results support the integration of generative models such as VAEs into drivetrain simulation pipelines, both for data augmentation and for efficient exploration of complex operational scenarios, with the potential to streamline validation and accelerate vehicle development.","['cs.LG', 'cs.CE', 'eess.SP']",http://arxiv.org/abs/2501.17653v3,https://arxiv.org/pdf/2501.17653v3,29/01/2025-13:37:32,"['Pallavi Sharma', 'Jorge-Humberto Urrea-Quintero', 'Bogdan Bogdan', 'Adrian-Dumitru Ciotec', 'Laura Vasilie', 'Henning Wessels', 'Matteo Skull']",cs.LG
"The gradual transformation of inland areas -- human plowing, horse plowing and equity incentives","Many modern areas have not learned their lessons and often hope for the wisdom of later generations, resulting in them only possessing modern technology and difficult to iterate ancient civilizations. At present, there is no way to tell how we should learn from history and promote the gradual upgrading of civilization. Therefore, we must tell the history of civilization's progress and the means of governance, learn from experience to improve the comprehensive strength and survival ability of civilization, and achieve an optimal solution for the tempering brought by conflicts and the reduction of internal conflicts. Firstly, we must follow the footsteps of history and explore the reasons for the long-term stability of each country in conflict, including providing economic benefits to the people and means of suppressing them; then, use mathematical methods to demonstrate how we can achieve the optimal solution at the current stage. After analysis, we can conclude that the civilization transformed from human plowing to horse plowing can easily suppress the resistance of the people and provide them with the ability to resist; The selection of rulers should consider multiple institutional aspects, such as exams, elections, and drawing lots; Economic development follows a lognormal distribution and can be adjusted by population mean and standard deviation. Using a lognormal distribution with the maximum value to divide equity can adjust the wealth gap.","['physics.soc-ph', 'cs.CE', 'econ.GN']",http://arxiv.org/abs/2507.00067v4,https://arxiv.org/pdf/2507.00067v4,28/06/2025-10:07:44,"['Hongfa Zi', 'Zhen Liu']",physics.soc-ph
"A Deep Reinforcement Learning Approach to Automated Stock Trading, using xLSTM Networks","Traditional Long Short-Term Memory (LSTM) networks are effective for handling sequential data but have limitations such as gradient vanishing and difficulty in capturing long-term dependencies, which can impact their performance in dynamic and risky environments like stock trading. To address these limitations, this study explores the usage of the newly introduced Extended Long Short Term Memory (xLSTM) network in combination with a deep reinforcement learning (DRL) approach for automated stock trading. Our proposed method utilizes xLSTM networks in both actor and critic components, enabling effective handling of time series data and dynamic market environments. Proximal Policy Optimization (PPO), with its ability to balance exploration and exploitation, is employed to optimize the trading strategy. Experiments were conducted using financial data from major tech companies over a comprehensive timeline, demonstrating that the xLSTM-based model outperforms LSTM-based methods in key trading evaluation metrics, including cumulative return, average profitability per trade, maximum earning rate, maximum pullback, and Sharpe ratio. These findings mark the potential of xLSTM for enhancing DRL-based stock trading systems.","['cs.CE', 'cs.LG', 'q-fin.TR']",http://arxiv.org/abs/2503.09655v2,https://arxiv.org/pdf/2503.09655v2,12/03/2025-10:56:03,"['Faezeh Sarlakifar', 'Mohammadreza Mohammadzadeh Asl', 'Sajjad Rezvani Khaledi', 'Armin Salimi-Badr']",cs.CE
