titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
Outer-Crust Equations of State for Neutron Stars,"We construct and systematically assess four outer-crust equations of state based on relativistic nuclear mass models and a machine-learning mass table. Our aim is to quantify the sensitivity of the equilibrium composition and thermodynamic properties of the outer crust to the underlying nuclear input, and to evaluate how these differences propagate to neutron-star configurations that are particularly sensitive to crustal properties. Equilibrium sequences of nuclei were determined by minimizing the Gibbs free energy per baryon for cold, catalyzed matter in $β$-equilibrium. The resulting outer-crust equations of state were then employed in neutron-star structure calculations near the minimum-mass limit, where global observables are especially sensitive to the low-density equation of state. The four nuclear models predict different equilibrium sequences, last bound nuclei, and neutron-drip properties. These differences are confined to the deepest layers of the outer crust, beyond current experimental mass coverage. Nevertheless, they propagate only weakly to crust-dominated neutron-star configurations: the gravitational mass, radius, crustal thickness, and fractional moment of inertia differ by less than one percent among the models considered. Modern nuclear-mass models provide consistent outer-crust equations of state for neutron-star applications. Although the detailed composition near neutron drip remains model dependent, the corresponding uncertainties have only a minor impact on the global properties of crust-dominated neutron stars. Therefore, these outer-crust equations of state provide a robust low-density description for astrophysical modelling and for future extensions toward unified neutron-star equations of state.","['nucl-th', 'astro-ph.HE', 'astro-ph.SR']",http://arxiv.org/abs/2604.26952v1,https://arxiv.org/pdf/2604.26952v1,29/04/2026-17:59:31,"['P. S. Koliogiannis', 'N. Paar']",nucl-th
Turning the TIDE: Cross-Architecture Distillation for Diffusion Large Language Models,"Diffusion large language models (dLLMs) offer parallel decoding and bidirectional context, but state-of-the-art dLLMs require billions of parameters for competitive performance. While existing distillation methods for dLLMs reduce inference steps within a single architecture, none address cross-architecture knowledge transfer, in which the teacher and student differ in architecture, attention mechanism, and tokenizer. We present TIDE, the first framework for cross-architecture dLLM distillation, comprising three modular components: (1) TIDAL, which jointly modulates distillation strength across training progress and diffusion timestep to account for the teacher's noise-dependent reliability; (2) CompDemo, which enriches the teacher's context via complementary mask splitting to improve predictions under heavy masking; and (3) Reverse CALM, a cross-tokenizer objective that inverts chunk-level likelihood matching, yielding bounded gradients and dual-end noise filtering. Distilling 8B dense and 16B MoE teachers into a 0.6B student via two heterogeneous pipelines outperforms the baseline by an average of 1.53 points across eight benchmarks, yielding notable gains in code generation, where HumanEval scores reach 48.78 compared to 32.3 for the AR baseline.","['cs.CL', 'cs.AI', 'cs.LG']",http://arxiv.org/abs/2604.26951v1,https://arxiv.org/pdf/2604.26951v1,29/04/2026-17:59:01,"['Gongbo Zhang', 'Wen Wang', 'Ye Tian', 'Li Yuan']",cs.CL
Anomalous Transport and Explicit Symmetry Breaking in Holography,"We consider a holographic Einstein-Maxwell model in five dimensions with pure gauge and mixed gauge-gravitational Chern-Simons terms to study anomaly-induced transport in the presence of explicit symmetry breaking. We include the full backreaction of the scalar field and gauge fields on the metric and compute the anomalous transport coefficients using Kubo formulae involving charge and energy current correlators. Our findings reveal that, in the presence of explicit symmetry breaking, anomaly-induced transport phenomena can extend beyond anomalous currents and affect the non-anomalous sector as well. The transport coefficients exhibit a clear dependence on the symmetry-breaking mass parameter, highlighting the interplay between quantum anomalies and explicit symmetry breaking in holographic systems.",['hep-th'],http://arxiv.org/abs/2604.26949v1,https://arxiv.org/pdf/2604.26949v1,29/04/2026-17:57:37,"['Ashis Tamang', 'Nishal Rai', 'Karl Landsteiner', 'Eugenio Megias']",hep-th
Optimizing Dynamic Metasurface Antenna Configurations for Direction-of-Arrival and Polarization Estimation Using an Experimentally Calibrated Multiport-Network Model,"Sensing the direction of arrival and polarization of impinging signals is a key prerequisite for beamforming and interference mitigation in modern wireless communication systems. Dynamic metasurface antennas (DMAs) can multiplex direction- and polarization-dependent field information onto a single detector by sequentially switching between programmable configurations. This makes DMAs attractive for joint direction-of-arrival and polarization (DoA-P) estimation with a single radio-frequency chain. Experimental demonstrations have so far relied on random pre-measured configuration sequences because optimizing the configurations requires an accurate forward model of the fabricated DMA. Here, we use an experimentally calibrated model based on multiport-network theory (MNT) to optimize DMA configuration sequences for DoA-P estimation. Our experimentally calibrated MNT model predicts the dual-polarized far-field response of our 96-element DMA for arbitrary admissible configurations, enabling model-based optimization without additional radiation-pattern measurements. We optimize sequences using effective-rank-based surrogate objectives and compare them with random sequences as a function of the sequence length and the noise level. The optimized sequences yield the largest gains in the intermediate-SNR and intermediate-sequence-length regime, where the inverse problem is neither noise-limited nor already solved by random diversity. We also tackle a dual-source scenario involving a jammer and a desired transmitter. Our results illustrate some of the potential in the context of jamming-resilient communications that is unlocked by experimentally calibrated MNT models for fabricated DMAs.","['eess.SP', 'physics.app-ph']",http://arxiv.org/abs/2604.26948v1,https://arxiv.org/pdf/2604.26948v1,29/04/2026-17:57:32,"['Jean Tapie', 'Philipp del Hougne']",eess.SP
Large quantum dot energy level shifts in anomalous photon-assisted tunneling,"Orbital energy splittings are important quantum dot parameters for the operation of hole spin qubits. They are known to depend on the lateral confinement of the quantum dots. However, when changing top, plunger gate voltages, which are the typical control parameter for qubit applications, such energy splitting changes are typically negligible, both as measured in experiment and as assumed in effective theories. Here, we study the singlet-triplet (ST) splittings, which depend on the orbital splittings, of a double quantum dot (DQD) in a Ge/SiGe heterostructure using photon-assisted tunneling (PAT) and pulsed-gate spectroscopy. We find that the ST splittings have a surprising, strong dependence on the top gate voltages, leading to anomalous PAT measurements. We combine data from both measurements in a model that well describes the linear gate-voltage dependence of the ST splittings. Finally, we show that the ST splittings of the two dots exhibit similar linear gate-voltage dependences when the device is retuned such that their ratio is significantly different.","['cond-mat.mes-hall', 'quant-ph']",http://arxiv.org/abs/2604.26947v1,https://arxiv.org/pdf/2604.26947v1,29/04/2026-17:55:44,"['Jared Benson', 'C. E. Sturner', 'A. R. Huffman', 'Sanghyeok Park', 'Valentin John', 'Brighton X. Coe', 'Tyler J. Kovach', 'Stefan D. Oosterhout', 'Lucas E. A. Stehouwer', 'Francesco Borsoi', 'Giordano Scappucci', 'Menno Veldhorst', 'Benjamin D. Woods', 'Mark Friesen', 'M. A. Eriksson']",cond-mat.mes-hall
Three-Step Nav: A Hierarchical Global-Local Planner for Zero-Shot Vision-and-Language Navigation,"Breakthrough progress in vision-based navigation through unknown environments has been achieved by using multimodal large language models (MLLMs). These models can plan a sequence of motions by evaluating the current view at each time step against the task and goal given to the agent. However, current zero-shot Vision-and-Language Navigation (VLN) agents powered by MLLMs still tend to drift off course, halt prematurely, and achieve low overall success rates. We propose Three-Step Nav to counteract these failures with a three-view protocol: First, ""look forward"" to extract global landmarks and sketch a coarse plan. Then, ""look now"" to align the current visual observation with the next sub-goal for fine-grained guidance. Finally, ""look backward"" audits the entire trajectory to correct accumulated drift before stopping. Requiring no gradient updates or task-specific fine-tuning, our planner drops into existing VLN pipelines with minimal overhead. Three-Step Nav achieves state-of-the-art zero-shot performance on the R2R-CE and RxR-CE dataset. Our code is available at https://github.com/ZoeyZheng0/3-step-Nav.","['cs.CV', 'cs.RO']",http://arxiv.org/abs/2604.26946v1,https://arxiv.org/pdf/2604.26946v1,29/04/2026-17:55:05,"['Wanrong Zheng', 'Yunhao Ge', 'Laurent Itti']",cs.CV
Select to Think: Unlocking SLM Potential with Local Sufficiency,"Small language models (SLMs) offer computational efficiency for scalable deployment, yet they often fall short of the reasoning power exhibited by their larger counterparts (LLMs). To mitigate this gap, current approaches invoke an LLM to generate tokens at points of reasoning divergence, but these external calls introduce substantial latency and costs. Alternatively, standard distillation is often hindered by the capacity limitation, as SLMs struggle to accurately mimic the LLM's complex generative distribution. We address this dilemma by identifying local sufficiency: at divergence points, the LLM's preferred token consistently resides within the SLM's top-K next-token predictions, even when failing to emerge as the SLM top-1 choice. We therefore propose SELECT TO THINK (S2T), which reframes the LLM's role from open-ended generation to selection among the SLM's proposals, simplifying the supervision signal to discrete candidate rankings. Leveraging this, we introduce S2T-LOCAL, which distills the selection logic into the SLM, empowering it to perform autonomous re-ranking without inference-time LLM dependency. Empirically, we demonstrate that a 1.5B SLM's top-8 candidates capture the 32B LLM's choice with 95% hit rate. Translating this potential into performance, S2T-LOCAL improves greedy decoding by 24.1% on average across benchmarks, effectively matching the efficacy of 8-path self-consistency while operating with single-trajectory efficiency.",['cs.CL'],http://arxiv.org/abs/2604.26940v1,https://arxiv.org/pdf/2604.26940v1,29/04/2026-17:51:39,"['Wenxuan Ye', 'Yangyang Zhang', 'Xueli An', 'Georg Carle', 'Yunpu Ma']",cs.CL
"Degree-dependent and distance-dependent contact rates interpolate between explosive, exponential and polynomial epidemic growth","It is a fundamental question in epidemiology to estimate, model and predict the growth rate of a pandemic. Analogously, analysing the diffusion of innovation, (fake) news, memes, and rumours is of key importance in the social sciences. The resulting epidemic growth curves can be classified according to their growth rates. These have been found to range from exponential to both faster super-exponential curves and slower subexponential or polynomial curves. Previous research has lacked a unified explanatory framework capable of accommodating super-exponential, (stretched) exponential, and polynomial growth patterns within the same contact network. In this paper we propose a simple agent-based network model that can capture all these phases. We provide such a framework by modelling how transmission rates depend on spatial distance and on individuals' numbers of contacts. By comparing the growth rate of spreading processes with or without degree-dependent and/or distance-dependent contact rates through data-driven and synthetic simulations on real and modelled networks with underlying geometry, we find evidence that even a 'sublinear presence' of these causes may cause a significant slow down of the growth rate on the same underlying network. We find that the growth rate is governed by a combination of three factors: geometry, the prevalence of weak ties, and superspreaders. We confirm our results with rigorous proofs in a theoretical model, using a spatial multiscale-argument in long-range heterogeneous first passage percolation. Our results give a plausible explanation of why the consecutive waves of a single pandemic can differ in their growth even if their spreading mechanisms are similar.","['math.PR', 'cs.SI', 'q-bio.PE']",http://arxiv.org/abs/2604.26939v1,https://arxiv.org/pdf/2604.26939v1,29/04/2026-17:51:23,"['Zylan Benjert', 'Júlia Komjáthy', 'Johannes Lengler', 'John Lapinskas', 'Ulysse Schaller']",math.PR
Meta-learning-enhanced implicit full waveform inversion,"Implicit full waveform inversion (IFWI) introduces implicit neural representations to parameterize the subsurface velocity model as a continuous function of spatial coordinates, which alleviates the dependence on the initial model and improves inversion flexibility. However, IFWI still requires a large number of iterative updates for each new exploration area, leading to slow convergence, high computational cost, and a lack of mechanisms to share prior knowledge across different geological settings, thereby limiting its efficiency and generalization capability. To further accelerate convergence and enhance cross-area generalization, we propose a meta-learning-based implicit full waveform inversion method, referred to as Meta-learning-enhanced implicit full waveform inversion (Meta-IFWI). In this framework, the subsurface velocity model is represented using an implicit neural network with periodic activation functions (SIREN), while a meta-learning strategy is employed to pretrain a single network on multiple velocity inversion tasks. Through this process, the network learns shared inversion priors and rapid adaptation strategies across different geological scenarios. For a new inversion task, the pretrained Meta-IFWI model can be efficiently adapted to the observed seismic data with only a few gradient updates, significantly reducing the number of iterations required for inversion. Numerical experiments conducted on in-distribution models, including layered synthetic models and the Overthrust model, as well as out-of-distribution complex models such as Marmousi 2, demonstrate that, compared with conventional IFWI, the proposed Meta-IFWI achieves improved inversion accuracy while substantially accelerating convergence and reducing computational cost. Moreover, Meta-IFWI exhibits enhanced robustness and stronger cross-area generalization capability.",['physics.geo-ph'],http://arxiv.org/abs/2604.26938v1,https://arxiv.org/pdf/2604.26938v1,29/04/2026-17:51:21,"['Huan Song', 'Shijun Cheng', 'Huanhuan Tang', 'Wei Ouyang', 'Weijian Mao']",physics.geo-ph
Adaptive Regularization within Trust Region Methods for Stochastic Nonconvex Optimization,"We propose a stochastic nonconvex optimization algorithm that achieves almost sure $\tilde{\mathcal{O}}(ε^{-1.5})$ iteration complexity for problems with smooth objective functions and gradients only observable with noise. The mean-zero stochastic noise is decision-dependent and has unbounded support with subexponential tail, allowing our framework to cover a broad class of problems. The improved almost sure iteration complexity is achieved with a new variant of the adaptive sampling trust-region optimization (ASTRO) augmented with an adaptively regularized local model, which we term Reg-ASTRO. Adaptive sampling ensures that the estimation precision is aligned with a measure of stationarity, so that iterates closer to stationarity trigger higher accuracy requirement for sampling. A key analytical challenge arises because the trust-region radius and regularization are coupled and not determined prior to gradient estimation at each iteration. We further establish an almost sure $\tilde{\mathcal{O}}(ε^{-4.5})$ sample complexity for Reg-ASTRO, which improves to $\tilde{\mathcal{O}}(ε^{-3.5})$ under stronger regularity conditions and use of common random numbers, substantially outperforming first-order methods in theory and numerical experiments.",['math.OC'],http://arxiv.org/abs/2604.15457v2,https://arxiv.org/pdf/2604.15457v2,16/04/2026-18:17:25,"['Yunsoo Ha', 'Sara Shashaani', 'Quoc Tran-dinh']",math.OC
