titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
A Generalisation of Goursat's Algorithm for Integration in Finite Terms,"We give a self-contained, modern exposition of Édouard Goursat's 1887 theorem on pseudo-elliptic integrals -- those integrals of the form $\int F(t)\,\d t/\sqrt{R(t)}$ with $R$ a cubic or quartic polynomial that, despite living on a genus-$1$ algebraic curve, admit elementary antiderivatives. After reviewing integration in finite terms and Liouville's theorem, we present Goursat's two main theorems with proofs phrased in the language of Möbius automorphisms of the underlying hyperelliptic curve. We then develop a cube-root analog: for integrals of the form $\int F(t)\,\d t/\sqrt[3]{R(t)}$ with $R$ cubic, an order-$3$ Möbius substitution cyclically permuting the roots of $R$ induces an eigendecomposition into three pieces. Two of the three eigenpieces (eigenvalues $1$ and $ω^2$, where $ω= e^{2πi/3}$) descend through a chain of substitutions to genus-$0$ curves and yield elementary antiderivatives; the middle eigenpiece (eigenvalue $ω$) descends only to the genus-$1$ curve $y^3 = x(x-K)$ and is generically transcendental.",['cs.SC'],http://arxiv.org/abs/2604.27806v1,https://arxiv.org/pdf/2604.27806v1,30/04/2026-12:50:01,['Sam Blake'],cs.SC
Fractions of Recurrence Operators for Generalized Fourier Series in Classical Orthogonal Polynomials,"We consider series expansions in bases of classical orthogonal polynomials. When such a series solves a linear differential equation with polynomial coefficients, its coefficients satisfy a linear recurrence equation. We interpret this equation as the numerator of a fraction of linear recurrence operators. This interpretation lets us give a simple and unified view of previous algorithms computing these recurrences, with a noncommutative Euclidean algorithm as the algorithmic engine. Finally, we demonstrate the effectiveness of our approach on various examples.","['math.CA', 'cs.SC']",http://arxiv.org/abs/2604.26944v1,https://arxiv.org/pdf/2604.26944v1,29/04/2026-17:54:47,"['Alexandre Benoit', 'Nicolas Brisebarre', 'Bruno Salvy']",math.CA
AGEL-Comp: A Neuro-Symbolic Framework for Compositional Generalization in Interactive Agents,"Large Language Model (LLM)-based agents exhibit systemic failures in compositional generalization, limiting their robustness in interactive environments. This work introduces AGEL-Comp, a neuro-symbolic AI agent architecture designed to address this challenge by grounding actions of the agent. AGEL-Comp integrates three core innovations: (1) a dynamic Causal Program Graph (CPG) as a world model, representing procedural and causal knowledge as a directed hypergraph; (2) an Inductive Logic Programming (ILP) engine that synthesizes new Horn clauses from experiential feedback, grounding symbolic knowledge through interaction; and (3) a hybrid reasoning core where an LLM proposes a set of candidate sub-goals that are verified for logical consistency by a Neural Theorem Prover (NTP). Together, these components operationalize a deduction--abduction learning cycle: enabling the agent to deduce plans and abductively expand its symbolic world model, while a neural adaptation phase keeps its reasoning engine aligned with new knowledge. We propose an evaluation protocol within the \texttt{Retro Quest} simulation environment to probe for compositional generalization scenarios to evaluate our AGEL agent. Our findings clearly indicate the better performance of our AGEL model over pure LLM-based models. Our framework presents a principled path toward agents that build an explicit, interpretable, and compositionally structured understanding of their world.","['cs.AI', 'cs.LG', 'cs.LO', 'cs.MA', 'cs.SC']",http://arxiv.org/abs/2604.26522v1,https://arxiv.org/pdf/2604.26522v1,29/04/2026-10:42:02,"['Mahnoor Shahid', 'Hannes Rothe']",cs.AI
Factoring Linear Differential Operators in Positive Characteristic by means of Solving a Norm Equation,"The solutions of the equation $f^{(p-1)} + f^p = h^p$ in the unknown function $f $over an algebraic function field of characteristic $p$ are very closely linked to the structure and factorisations of linear differential operators with coefficients in function fields of characteristic $p$. However, while being able to solve this equation over general algebraic function fields is necessary even for operators with rational coefficients, no general resolution method has been developed. We present an algorithm for testing the existence of solutions in polynomial time in the ``size'' of h and an algorithm based on the computation of Riemann-Roch spaces and the selection of elements in the divisor class group, for computing solutions of size polynomial in the ``size'' of h in polynomial time in the size of h and linear in the characteristic $p$, and discuss its applications to the factorisation of linear differential operators in positive characteristic $p$.","['cs.SC', 'math.NT', 'math.OA']",http://arxiv.org/abs/2403.06542v3,https://arxiv.org/pdf/2403.06542v3,11/03/2024-09:36:54,['Raphaël Pagès'],cs.SC
Pseudo-Complex Quantifier Elimination,"We describe the design of a quantifier elimination framework for the complex numbers in the language of ordered rings supplemented with symbols for the imaginary unit, real parts, imaginary parts, and conjugates. Technically, we use a reduction to real quantifier elimination followed by a heuristic reinterpretation of the results within our complex framework. We present computational examples using a prototypical implementation of our approach in our Python-based open-source system Logic1.","['cs.SC', 'cs.LO']",http://arxiv.org/abs/2604.26400v1,https://arxiv.org/pdf/2604.26400v1,29/04/2026-08:10:17,"['Nicolas Faroß', 'Thomas Sturm']",cs.SC
Arboretum.hs: Symbolic manipulation for algebras of graphs,"We design the Arboretum$.$hs package for symbolic computations with algebras of trees and more general graphs in Haskell. Thanks to the declarative nature of functional programming, the package's implementation closely follows mathematical definitions, making the code intuitive and transparent for users working with algebraic and combinatorial structures. To assist with current mathematical research, Arboretum$.$hs supports experimentation by facilitating the introduction of new algebraic operations, as well as providing functionality for rendering trees and forests through LaTeX integration. Compared to recent imperative implementations in languages such as Julia or Python, Arboretum$.$hs offers greater flexibility for manipulating and extending tree-based structures. Its use of Haskell enables safe programming and strong compile-time guarantees, serving both as a practical computational tool and a foundation for further research in algebraic combinatorics, beyond the setting of trees usually considered in the implementation of Butcher series, which are a fundamental tool for the analysis of numerical integrators.","['cs.SC', 'math.CO', 'math.RA']",http://arxiv.org/abs/2604.25879v1,https://arxiv.org/pdf/2604.25879v1,28/04/2026-17:21:31,"['Eugen Bronasco', 'Jean-Luc Falcone', 'Gilles Vilmart']",cs.SC
Symbolic recovery of PDEs from measurement data,"Models based on partial differential equations (PDEs) are powerful for describing a wide range of complex phenomena in the natural sciences. Accurately identifying the PDE model, which represents the underlying physical law, is essential for a proper understanding of the problem. This reconstruction typically relies on indirect and noisy measurements of the system's state and, without specifically tailored methods, rarely yields symbolic expressions, thereby limiting interpretability. In this work, we address this limitation by considering neural network architectures based on rational functions for the symbolic representation of physical laws. These networks combine the approximation power of rational functions with the flexibility to represent arithmetic operations, and generalize ParFam and EQL-type architectures used in symbolic regression for physical law learning. We further establish regularity results for these symbolic networks. Our main contribution is a reconstruction result showing that, if there exists an admissible physical law that is expressible within the symbolic network architecture, then in the limit of noiseless and complete measurements, symbolic networks recover a physical law within the PDE model that is representable by the architecture. Moreover, the recovered law corresponds to a regularization-minimizing parameterization, promoting interpretability and sparsity in case of $L^1$-regularization. Under an additional identifiability condition, the unique true physical law is recovered. These reconstruction and regularity results are derived at the continuous level prior to discretization due to a formulation in function space. Empirical results using the ParFam architecture are consistent with the theoretical findings and suggest the feasibility of reconstructing interpretable physical laws in practice.","['cs.LG', 'cs.SC', 'math.OC']",http://arxiv.org/abs/2602.15603v2,https://arxiv.org/pdf/2602.15603v2,17/02/2026-14:20:36,"['Erion Morina', 'Philipp Scholl', 'Martin Holler']",cs.LG
Equivalence Checking of Quantum Circuits via Path-Sum and Weighted Model Counting,"Equivalence checking of quantum circuits is a central verification task in quantum computing, ensuring the correctness of circuit optimizations, hardware mappings, and compilation pipelines. Among the primary symbolic methods for this purpose, the path-sum formalism provides a compact representation with powerful reduction rules that yield a canonical form for the classically simulable Clifford fragment, but confluence fails beyond the Clifford fragment. We introduce a new weighted model counting (WMC) encoding for path-sums and combine it with the existing path-sum reductions to obtain a verifier that is both complete and efficient. Our method applies reductions whenever possible and invokes the WMC-based decision procedure on the residual path-sum, yielding a complete semantic check up to a global phase. We implement the approach and evaluate it on standard benchmarks. Results show that the hybrid method outperforms either component in isolation and competes with state-of-the-art tools.",['cs.SC'],http://arxiv.org/abs/2604.24504v1,https://arxiv.org/pdf/2604.24504v1,27/04/2026-14:07:27,"['Wei-Jia Huang', 'Christophe Chareton', 'Yu-Fang Chen', 'Kai-Min Chung', 'Min-Hsiu Hsieh', 'Alfons Laarman', 'Jingyi Mei']",cs.SC
Certified geometric robustness -- Super-DeepG,"Safety-critical applications are required to perform as expected in normal operations. Image processing functions are often required to be insensitive to small geometric perturbations such as rotation, scaling, shearing or translation. This paper addresses the formal verification of neural networks against geometric perturbations on their image dataset. Our method Super-DeepG improves the reasoning used in linear relaxation techniques and Lipschitz optimization, and provides an implementation that leverages GPU hardware. By doing so, Super-DeepG achieves both precision and computational efficiency of robustness certification, to an extent that outperforms prior work. Super-DeepG is shared as an open-source tool on GitHub.","['cs.AI', 'cs.LG', 'cs.SC']",http://arxiv.org/abs/2604.24379v1,https://arxiv.org/pdf/2604.24379v1,27/04/2026-12:10:06,"['Noémie Cohen', 'Mélanie Ducoffe', 'Christophe Gabreau', 'Claire Pagetti', 'Xavier Pucel']",cs.AI
Quantum Knowledge Graph: Modeling Context-Dependent Triplet Validity,"Knowledge graphs (KGs) are increasingly used to support large lan guage model (LLM) reasoning, but standard triplet-based KGs treat each relation as globally valid. In many settings, whether a relation should count as evidence depends on the context. We therefore formulate triplet validity as a triplet-specific function of context and refer to this formulation as a Quantum Knowledge Graph (QKG). We instantiate QKG in medicine using a diabetes-centered PrimeKG subgraph, whose 68,651 context-sensitive relations are further annotated with patient-group-specific constraints. We evaluate it in a reasoner--validator pipeline for medical question answering on a KG-grounded subset of MedReason containing 2,788 questions. With Haiku-4.5 as both the Reasoner and the Validator, KG-backed validation significantly improves over a no-validator baseline ($+0.61$ pp), and QKG with context matching yields the largest gain, outperforming both KG validation without context matching ($+0.79$ pp) and the no-validator baseline ($+1.40$ pp; paired McNemar, all $p<0.05$). Under a stronger validator (Qwen-3.6-Plus), the raw QKG gain over the no-validator baseline grows from $+1.40$ pp to $+5.96$ pp; the context-matching gap is non-significant ($p=0.73$) on the raw set but becomes borderline significant ($p=0.05$) after adjustment for knowledge leakage and suspicious questions, consistent with a benchmark-gold ceiling rather than a QKG limitation. Taken together, the results support the view that the value of a KG in LLM-based clinical reasoning lies not merely in storing medically related facts, but in representing whether those facts are applicable to the specific patient context. For reproducibility and further research, we release the curated QKG datasets and source code.\footnote{https://github.com/HKAI-Sci/QKG}","['cs.CL', 'cs.AI', 'cs.SC']",http://arxiv.org/abs/2604.23972v1,https://arxiv.org/pdf/2604.23972v1,27/04/2026-02:35:10,"['Yao Wang', 'Zixu Geng', 'Jun Yan']",cs.CL
