titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
Direct imaging elucidates ionic memory in two-dimensional nanochannels,"Nanofluidic memristors promise brain-inspired information processing with ions, yet their microscopic origin remains debated. So far, ionic memory has been attributed to ion-specific interactions, dynamic wetting, chemical reactions or mechanical deformations, yet typically without direct experimental evidence. Here, by combining operando interferometric imaging with electrokinetic measurements, we directly visualize voltage-induced blistering of the confining walls of two-dimensional (2D) nanochannels, as key origin of memristive hysteresis. We identify two distinct classes of blisters: unidirectional, driven by electrostatic forces on surface charges, and bidirectional, arising from osmotic pressure due to concentration polarization. This mechanistic framework explains device evolution and device-to-device variability, and reframes stochastic blistering as a functional design element. Our results constitute a direct proof of electromechanical coupling as a robust pathway to ionic memory in 2D nanochannels and open routes toward high-performance ionic memristors and electrically actuated nanofluidic valves.","['cond-mat.mes-hall', 'cond-mat.soft']",http://arxiv.org/abs/2509.11637v2,https://arxiv.org/pdf/2509.11637v2,15/09/2025-07:10:31,"['Kalluvadi Veetil Saurav', 'Nathan Ronceray', 'Baptiste Coquinot', 'Agustin D. Pizarro', 'Ashok Keerthi', 'Theo Emmerich', 'Aleksandra Radenovic', 'Boya Radha']",cond-mat.mes-hall
Robust Deepfake Detection: Mitigating Spatial Attention Drift via Calibrated Complementary Ensembles,"Current deepfake detection models achieve state-of-the-art performance on pristine academic datasets but suffer severe spatial attention drift under real-world compound degradations, such as blurring and severe lossy compression. To address this vulnerability, we propose a foundation-driven forensic framework that integrates an extreme compound degradation engine with a structurally constrained, multi-stream architecture. During training, our degradation pipeline systematically destroys high-frequency artifacts, optimizing the DINOv2-Giant backbone to extract invariant geometric and semantic priors. We then process images through three specialized pathways: a Global Texture stream, a Localized Facial stream, and a Hybrid Semantic Fusion stream incorporating CLIP. Through analyzing spatial attribution via Score-CAM and feature stability using Cosine Similarity, we quantitatively demonstrate that these streams extract non-redundant, complementary feature representations and stabilize attention entropy. By aggregating these predictions via a calibrated, discretized voting mechanism, our ensemble successfully suppresses background attention drift while acting as a robust geometric anchor. Our approach yields highly stable zero-shot generalization, achieving Fourth Place in the NTIRE 2026 Robust Deepfake Detection Challenge at CVPR. Code is available at https://github.com/khoalephanminh/ntire26-deepfake-challenge.",['cs.CV'],http://arxiv.org/abs/2604.25889v1,https://arxiv.org/pdf/2604.25889v1,28/04/2026-17:32:48,"['Minh-Khoa Le-Phan', 'Minh-Hoang Le', 'Trong-Le Do', 'Minh-Triet Tran']",cs.CV
MarkIt: Training-Free Visual Markers for Precise Video Temporal Grounding,"Video temporal grounding (VTG) aims to localize the start and end timestamps of the event described by a given query within an untrimmed video. Despite the strong open-world video understanding and recognition ability of video language large models (Vid-LLMs), outputting precise temporal grounding information remains challenging, since explicit temporal cues are scarce in untrimmed videos, and query-relevant entities are hard to track consistently across the video timeline. In this paper, we present \MarkIt{}, a training-free framework that transforms an input video into a query-conditioned marked video, which empowers Vid-LLMs to generate more reliable temporal localization predictions. The core component of \MarkIt{} is an annotation-free query-to-mask grounding bridge (Q2M-Bridge). Given a natural-language query, it automatically derives a compact set of canonical subject tags through linguistic parsing and normalization, then maps these tags to query-conditioned instance masks using text-conditioned open-vocabulary segmentation. The bridge also embeds lightweight semantic instance markers and a persistent frame index into each frame, effectively transforming long-range temporal reasoning into explicit visual cues for Vid-LLMs. \MarkIt{} adopts an inference-time plug-and-play design, needs no modifications to Vid-LLM weights, and is fully compatible with supervised fine-tuning. Experiments conducted on multiple mainstream moment retrieval and highlight detection benchmarks demonstrate that \MarkIt {} achieves state-of-the-art results, delivering consistent temporal grounding improvements across a wide range of existing models.",['cs.MM'],http://arxiv.org/abs/2604.25886v1,https://arxiv.org/pdf/2604.25886v1,28/04/2026-17:29:19,"['Pengcheng Fang', 'Yuxia Chen', 'Xiaohao Cai']",cs.MM
QCalEval: Benchmarking Vision-Language Models for Quantum Calibration Plot Understanding,"Quantum computing calibration depends on interpreting experimental data, and calibration plots provide the most universal human-readable representation for this task, yet no systematic evaluation exists of how well vision-language models (VLMs) interpret them. We introduce QCalEval, the first VLM benchmark for quantum calibration plots: 243 samples across 87 scenario types from 22 experiment families, spanning superconducting qubits and neutral atoms, evaluated on six question types in both zero-shot and in-context learning settings. The best general-purpose zero-shot model reaches a mean score of 72.3, and many open-weight models degrade under multi-image in-context learning, whereas frontier closed models improve substantially. A supervised fine-tuning ablation at the 9-billion-parameter scale shows that SFT improves zero-shot performance but cannot close the multimodal in-context learning gap. As a reference case study, we release NVIDIA Ising Calibration 1, an open-weight model based on Qwen3.5-35B-A3B that reaches 74.7 zero-shot average score.","['quant-ph', 'cs.CV']",http://arxiv.org/abs/2604.25884v1,https://arxiv.org/pdf/2604.25884v1,28/04/2026-17:28:33,"['Shuxiang Cao', 'Zijian Zhang', 'Abhishek Agarwal', 'Grace Bratrud', 'Niyaz R. Beysengulov', 'Daniel C. Cole', 'Alejandro Gómez Frieiro', 'Elena O. Glen', 'Hao Hsu', 'Gang Huang', 'Raymond Jow', 'Greshma Shaji', 'Tom Lubowe', 'Ligeng Zhu', 'Luis Mantilla Calderón', 'Nicola Pancotti', 'Joel Pendleton', 'Brandon Severin', 'Charles Etienne Staub', 'Sara Sussman', 'Antti Vepsäläinen', 'Neel Rajeshbhai Vora', 'Yilun Xu', 'Varinia Bernales', 'Daniel Bowring', 'Elica Kyoseva', 'Ivan Rungger', 'Giulia Semeghini', 'Sam Stanwyck', 'Timothy Costa', 'Alán Aspuru-Guzik', 'Krysta Svore']",quant-ph
Two-dimensional shelving spectroscopy of ultraviolet ground state transitions in dysprosium,"The open inner-shell electronic structure of lanthanides with large magnetic moments gives rise to a rich spectrum of transitions available for laser cooling, trapping, and coherent control. Despite this, the large number of ultraviolet (UV) transitions below 400nm have so far been rarely utilized in dipolar atom experiments. Here, we investigate multiple UV ground state transitions in dysprosium. Several of these UV excited states have the largest decay strengths to the ultralong-lived, low-lying first excited state which are comparable to the most commonly used strongest transitions found in dipolar atoms. Using two-dimensional shelving spectroscopy which improves detection sensitivity and provides a straightforward way to determine the hyperfine-isotope structure and excited state total angular momentum $J$, we measure isotope shifts, hyperfine coefficients, and create King plots to determine their electronic nature. Such knowledge of these UV transitions which analogously exist in other magnetic atoms is important for optically populating the first excited state and can be used towards creating an optical clock, high resolution imaging in quantum gas microscopy, and probing lanthanide nuclei with enhanced Schiff moments in search of physics beyond the standard model.","['physics.atom-ph', 'cond-mat.quant-gas', 'quant-ph']",http://arxiv.org/abs/2604.07283v2,https://arxiv.org/pdf/2604.07283v2,08/04/2026-16:44:52,"['Kevin S. H. Ng', 'Paul Uerlings', 'Fiona Hellstern', 'Jens Hertkorn', 'Luis Weiß', 'Stephan Welte', 'Tilman Pfau', 'Ralf Klemt']",physics.atom-ph
Slice Agent: Identifying and Isolating Slices in Shared Open Radio Unit,"Network Slice as a Service (NSaaS) is a key enabler of Beyond Fifth Generation (5G) and Sixth Generation (6G) networks, supporting next-generation applications such as extended reality (XR), immersive services, and the tactile Internet. These networks must provide native support for slice-aware services across the entire Radio Access Network (RAN), including the Radio Unit (RU), Distributed Unit (DU), Central Unit (CU), and transport segments (fronthaul, midhaul, and backhaul). However, uplink slicing identification in shared Open-RUs (O-RUs) presents a fundamental challenge because the Open-DU (O-DU) handles scheduling, and the O-RU does not inherently know which uplink data belongs to which slice. In MultiPoint-to-MultiPoint (MP2MP) fronthaul scenarios, this limitation is further exacerbated by synchronization and timing constraints, which necessitate that the O-RU process control messages and the encapsulated data be delivered with ultra-low latency. To address this issue, we propose a slicing agent embedded in the O-RU that identifies slices and segregates uplink data into slice-specific enhanced Common Public Radio Interface (eCPRI) packets. Our design employs a pipeline architecture with dedicated paths for time-sensitive, flexible slicing, enabling slice isolation and prioritization. When implemented on an Field-Programmable Gate Array (FPGA), the agent processes each packet in 2 clock cycles, supporting up to 3822 slices per slot. Experimental results validate the approach, showing its feasibility, scalability, and high-performance capabilities for real-time, slice-aware uplink processing in Beyond 5G and 6G Open RAN deployments.",['cs.NI'],http://arxiv.org/abs/2604.25857v1,https://arxiv.org/pdf/2604.25857v1,28/04/2026-16:57:53,"['Felipe Arnholda', 'Flavio Rocha', 'Lucio Prade', 'Cristiano Bonato Both']",cs.NI
ADEMA: A Knowledge-State Orchestration Architecture for Long-Horizon Knowledge Synthesis with LLMAgents,"Long-horizon LLM tasks often fail not because a single answer is unattainable, but because knowledge states drift across rounds, intermediate commitments remain implicit, and interruption fractures the evolving evidence chain. This paper presents ADEMA as a knowledge-state orchestration architecture for long-horizon knowledge synthesis rather than as a generic multi-agent runtime. The architecture combines explicit epistemic bookkeeping, heterogeneous dual-evaluator governance, adaptive task-mode switching, reputation-shaped resource allocation, checkpoint-resumable persistence, segment-level memory condensation, artifact-first assembly, and final-validity checking with safe fallback. Evidence is drawn entirely from existing materials: a four-scenario showcase package, a fixed 60-run mechanism matrix, targeted micro-ablation and artifact-chain supplements, and a repaired protocol-level benchmark in which code-oriented evaluation is the clearest quality-sensitive mechanism block. Across the fixed matrix, removing checkpoint/resume produced the only invalid run, and it did so in the interruption-sensitive resume condition. By contrast, dual evaluation, segment synthesis, and dynamic governance are best interpreted as supporting control mechanisms that shape trajectory discipline, explicit artifact progression, and cost-quality behavior rather than as universal binary prerequisites for completion. The contribution is therefore a knowledge-state orchestration architecture in which explicit epistemic state transition, evidence-bearing artifact progression, and recoverable continuity are the primary design commitments.",['cs.AI'],http://arxiv.org/abs/2604.25849v1,https://arxiv.org/pdf/2604.25849v1,28/04/2026-16:54:48,"['Zhou Hanlin', 'Chan Huah Yong']",cs.AI
Model-agnostic information transfer and fusion for classification with label noise,"Label noise presents a fundamental challenge in modern machine learning, especially when large-scale datasets are generated via automated processes. An increasingly common and important data paradigm, particularly in domains like medical imaging, involves learning from a large dataset with coarse, noisy labels supplemented by a small, expert-verified, clean dataset. This setting constitutes a typical information transfer and fusion problem. However, the significant distribution shift between the noisy and clean data violates the core overall parametric similarity assumptions of existing statistical transfer learning methods, while their reliance on parametric models is ill-suited for complex data like images. To address these limitations, this paper develops a generic model-agnostic nonparametric framework for classification with label noise, which applies to a broad class of classifiers. Our approach leverages the small clean dataset to ``purify'' the large noisy one and carefully manages the remaining ambiguous samples. This framework is underpinned by a rigorous statistical theory. Its empirical performance is demonstrated through simulations and a real-world application to medical image analysis for pneumonia diagnosis.","['stat.ME', 'math.ST', 'stat.ML']",http://arxiv.org/abs/2604.25845v1,https://arxiv.org/pdf/2604.25845v1,28/04/2026-16:51:50,"['Zhu Guojun', 'Zhang Sanguo', 'Ren Mingyang']",stat.ME
Single-star optical turbulence profiling techniques for the SHIMM and other Shack-Hartmann instruments,"Atmospheric optical turbulence (OT) monitoring is crucial for site characterisation at astronomical observatories and optical communications ground stations. The Shack-Hartmann Image Motion Monitor (SHIMM) instrument implements a fast, infrared Shack-Hartmann sensor to measure a low-resolution OT profile continuously throughout the day and night. This work presents advances made in Shack-Hartman optical turbulence profiling techniques implemented on the SHIMM, including the derivation and validation of Z-tilt weighting functions, implementation of methods for correcting for non-zero exposure times, and for estimating the coherence time of optical turbulence using the profile coupled with the Fast Defocus method. These techniques were tested via end-to-end Monte Carlo simulations of the SHIMM instrument. All measurements of integrated OT parameters were found to be in strong agreement with the simulation inputs evidenced by correlation coefficients close to one, small RMS error and bias. The accuracy of a four-layer model was also investigated, which showed high correlation with simulation inputs for all layers even in daytime OT conditions. This study suggests a Cn^2 sensitivity limit in the region of 2x10^-15 m^(1/3) and displays evidence of a cross-talk effect between the strong ground layer and first atmospheric layer.",['astro-ph.IM'],http://arxiv.org/abs/2603.02817v2,https://arxiv.org/pdf/2603.02817v2,03/03/2026-10:12:31,"['Ryan Griffiths', 'Timothy Butterley', 'Richard Wilson', 'James Osborn']",astro-ph.IM
Action-Aware Generative Sequence Modeling for Short Video Recommendation,"With the rapid development of the Internet, users have increasingly higher expectations for the recommendation accuracy of online content consumption platforms. However, short videos often contain diverse segments, and users may not hold the same attitude toward all of them. Traditional binary-classification recommendation models, which treat a video as a single holistic entity, face limitations in accurately capturing such nuanced preferences. Considering that user consumption is a temporal process, this paper demonstrates that the timing of user actions can represent diverse intentions through statistical analysis and examination of action patterns. Based on this insight, we propose a novel modeling paradigm: Action-Aware Generative Sequence Network (A2Gen), which refines user actions along the temporal dimension and chains them into sequences for unified processing and prediction. First, we introduce the Context-aware Attention Module (CAM) to model action sequences enriched with item-specific contextual features. Building upon this, we develop the Hierarchical Sequence Encoder (HSE) to learn temporal action patterns from users' historical actions. Finally, through leveraging CAM, we design a module for action sequence generation: the Action-seq Autoregressive Generator (AAG). Extensive offline experiments on the Kuaishou's dataset and the Tmall public dataset demonstrate the superiority of our proposed model. Furthermore, through large-scale online A/B testing deployed on Kuaishou's platform, our model achieves significant improvements over baseline methods in multi-task prediction by leveraging sequential information. Specifically, it yields increases of 0.34% in user watch time, 8.1% in interaction rate, and 0.162% in overall user retention (LifeTime-7), leading to successful deployment across all traffic, serving over 400 million users every day.","['cs.AI', 'cs.IR']",http://arxiv.org/abs/2604.25834v1,https://arxiv.org/pdf/2604.25834v1,28/04/2026-16:41:04,"['Wenhao Li', 'Zihan Lin', 'Zhengxiao Guo', 'Jie Zhou', 'Shukai Liu', 'Yongqi Liu', 'Chuan Luo', 'Chaoyi Ma', 'Ruiming Tang', 'Han Li']",cs.AI
