titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
Computing Equilibrium beyond Unilateral Deviation,"Most familiar equilibrium concepts, such as Nash and correlated equilibrium, guarantee only that no single player can improve their utility by deviating unilaterally. They offer no guarantees against profitable coordinated deviations by coalitions. Although the literature proposes solution concepts that provide stability against multilateral deviations (\emph{e.g.}, strong Nash and coalition-proof equilibrium), these generally fail to exist. In this paper, we study an alternative solution concept that minimizes coalitional deviation incentives, rather than requiring them to vanish, and is therefore guaranteed to exist. Specifically, we focus on minimizing the average gain of a deviating coalition, and extend the framework to weighted-average and maximum-within-coalition gains. In contrast, the minimum-gain analogue is shown to be computationally intractable. For the average-gain and maximum-gain objectives, we prove a lower bound on the complexity of computing such an equilibrium and present an algorithm that matches this bound. Finally, we use our framework to solve the \emph{Exploitability Welfare Frontier} (EWF), the maximum attainable social welfare subject to a given exploitability (the maximum gain over all unilateral deviations).","['cs.GT', 'cs.AI', 'cs.CC', 'cs.LG', 'econ.TH']",http://arxiv.org/abs/2604.28186v1,https://arxiv.org/pdf/2604.28186v1,30/04/2026-17:59:07,"['Mingyang Liu', 'Gabriele Farina', 'Asuman Ozdaglar']",cs.GT
From Competition to Collaboration: Designing Sustainable Mechanisms Between LLMs and Online Forums,"While Generative AI (GenAI) systems draw users away from (Q&A) forums, they also depend on the very data those forums produce to improve their performance. Addressing this paradox, we propose a framework of sequential interaction, in which a GenAI system proposes questions to a forum that can publish some of them. Our framework captures several intricacies of such a collaboration, including non-monetary exchanges, asymmetric information, and incentive misalignment. We bring the framework to life through comprehensive, data-driven simulations using real Stack Exchange data and commonly used LLMs. We demonstrate the incentive misalignment empirically, yet show that players can achieve roughly half of the utility in an ideal full-information scenario. Our results highlight the potential for sustainable collaboration that preserves effective knowledge sharing between AI systems and human knowledge platforms.","['cs.AI', 'cs.GT']",http://arxiv.org/abs/2602.04572v2,https://arxiv.org/pdf/2602.04572v2,04/02/2026-13:58:39,"['Niv Fono', 'Yftah Ziser', 'Omer Ben-Porat']",cs.AI
NashPG: A Policy Gradient Method with Iteratively Refined Regularization for Finding Nash Equilibria,"Finding Nash equilibria in two-player zero-sum imperfect-information games remains a central challenge in multi-agent reinforcement learning. Recent multi-round regularization methods offer a promising direction, yet existing approaches either require full enumeration of the game tree or rely on non-policy-gradient inner solvers that underperform in practice, leaving a scalable policy-gradient-based solution open. In this paper, we propose a novel multi-round regularization procedure and show that it guarantees strictly monotonic reduction in Bregman divergence to Nash equilibria and eventual convergence to one in two-player zero-sum extensive-form games. Guided by this framework, we develop a practical algorithm, Nash Policy Gradient (NashPG), which places the regularization directly in the policy optimization objective and is implemented using standard policy gradient methods. Empirically, NashPG achieves comparable or lower exploitability than prior model-free methods on classic benchmark games and scales to large domains such as Battleship and No-Limit Texas Hold'em, where it attains higher average payoff in head-to-head play.","['cs.LG', 'cs.GT']",http://arxiv.org/abs/2510.18183v2,https://arxiv.org/pdf/2510.18183v2,21/10/2025-00:14:45,"['Eason Yu', 'Tzu Hao Liu', 'Clément L. Canonne', 'Yunke Wang', 'Chang Xu', 'Nguyen H. Tran', 'Stefano V. Albrecht']",cs.LG
Calibrating Attribution Proxies for Reward Allocation in Participatory Weather Sensing,"Large-scale IoT weather sensing networks require incentive mechanisms to sustain participation, yet determining how much value individual data contributions bring to the network remains an open problem. Existing approaches address data quality but not data valuation; in operational meteorology, adjoint-based methods derive value from the forecast model itself but require full data assimilation infrastructure. We propose to utilise differentiable AI weather models to fill this gap and characterise gradient-based attribution on gridded GFS analysis inputs as a candidate value signal, evaluating fidelity, calibration, cost, and gaming vulnerability across more than 400 configurations. Attribution captures near-optimal sensor placement utility with monotonically faithful payments, but can be inflated by adversarial inputs, with detection requiring external baseline data. These findings establish gradient attribution as a computationally validated signal for model-informed reward allocation in participatory weather sensing.","['cs.LG', 'cs.CY', 'cs.GT', 'physics.ao-ph']",http://arxiv.org/abs/2604.27944v1,https://arxiv.org/pdf/2604.27944v1,30/04/2026-14:42:24,"['Mark C. Ballandies', 'Michael T. C. Chiu', 'Claudio J. Tessone']",cs.LG
Can We Volunteer Out of the Peer Review Crisis?,"The volume of scientific manuscripts is growing faster than the capacity to evaluate them, yet the institutions that govern peer review have remained largely unchanged. The result is a widening mismatch: reviewer scarcity, noisier assessments, and declining confidence in editorial decisions. Every scientist wants better reviews, but review quality depends on the total burden, which no single author can shift. To isolate this tension, we provide a game-theoretic thought experiment: a voluntary lottery in which authors accept a chance of random pre-review rejection, reducing reviewer burden and improving the quality of surviving evaluations. We show that a Nash equilibrium emerges in which authors voluntarily enter the lottery. Scientists who care about the literature they read, not just the papers they publish, will opt in, raising the quality of published science for all.","['cs.GT', 'cs.MA']",http://arxiv.org/abs/2604.27900v1,https://arxiv.org/pdf/2604.27900v1,30/04/2026-14:10:33,"['Theo Tang', 'Toby Handfield', 'Julian Garcia']",cs.GT
Maximally Diverse Stable Matchings: Optimizing Arbitrary Institutional Objectives,"Stable matching theory is the foundation of centralized clearinghouses worldwide, from school choice programs to medical residency allocations. However, incorporating complex distributional goals-such as multi-dimensional diversity quotas or sibling co-assignment guarantees-often compromises stability or renders the problem computationally intractable. The existing literature typically addresses this tension by weakening stability to accommodate distributional constraints. In contrast, the reverse question remains largely unexplored: if we restrict attention to stable matchings, to what extent can such distributional objectives be achieved?
  In this paper, we resolve this tension by introducing a general, polynomial-time algorithmic framework to optimize arbitrary institutional (or even two-sided) objectives within the set of stable matchings. We prove that for any polynomial-time computable set functions $g_i$ evaluating the assigned students at institutions $i \in I$, a stable matching minimizing either the utilitarian objective $\sum_{i\in I} g_i$ or the egalitarian objective $\max_{i\in I} g_i$ can be found efficiently. Our approach leverages the structural properties of stable matchings, mapping arbitrary set functions to linear edge weights. We apply this theorem to efficiently solve major open practical problems: finding stable matchings that minimally violate overlapping diversity quotas (under both total and maximum violations) and maximizing the number of sibling families assigned to the same institution. Even when the distributional objective is prioritized, our algorithm helps to quantify the ``price of stability'', i.e., the gap between the maximally diverse matching and the maximally diverse stable matching.",['cs.GT'],http://arxiv.org/abs/2604.27823v1,https://arxiv.org/pdf/2604.27823v1,30/04/2026-13:08:40,"['Gergely Csáji', 'Zhaohong Sun']",cs.GT
Infinite lexicographic products of positional objectives,"This paper contributes to the study of positional determinacy of infinite duration games played on potentially infinite graphs with neutral transitions. Recently, [Ohlmann, TheoretiCS 2023] established that positionality of prefix-independent objectives is preserved by finite lexicographic products. We propose two different notions of infinite lexicographic products indexed by arbitrary ordinals, and extend Ohlmann's result by proving that they also preserve positionality. In the context of one-player positionality, this extends positional determinacy results of [Grädel and Walukiewicz, Logical Methods in Computer Science 2006] to edge-labelled games and arbitrarily many priorities for both Max-Parity and Min-Parity. Moreover, we show that the Max-Parity objectives over countable ordinals are complete for the infinite levels of the difference hierarchy over $Σ^0_2$ and that Min-Parity is complete for the class $Σ^0_3$. We obtain therefore positional languages that are complete for all those levels, as well as new insights about closure under unions and neutral letters.",['cs.GT'],http://arxiv.org/abs/2506.14544v2,https://arxiv.org/pdf/2506.14544v2,17/06/2025-14:04:10,"['Antonio Casares', 'Pierre Ohlmann', 'Michał Skrzypczak', 'Igor Walukiewicz']",cs.GT
Fisher Markets with Approximately Optimal Bundles and the Need for a PCP Theorem for PPAD,"We study the problem of computing a competitive equilibrium with approximately optimal bundles in Fisher markets with separable piecewise-linear concave (SPLC) utility functions, meaning that every buyer receives a $(1-δ)$-optimal bundle, instead of a perfectly optimal one. We establish the first intractability result for the problem by showing that it is PPAD-hard for some constant $δ> 0$, assuming the PCP-for-PPAD conjecture. This hardness result holds even if all buyers have identical budgets (competitive equilibrium with equal incomes), linear capped utilities, and even if we also allow $\varepsilon$-approximate clearing instead of perfect clearing, for any constant $\varepsilon < 1/9$. Importantly, we show that the PCP-for-PPAD conjecture is in fact required to show hardness for constant $δ$: showing PPAD-hardness for finding such approximate market equilibria in a broad class of markets encompassing those generated by our hardness result would prove the conjecture. This is the first natural problem where the conjecture is provably required to establish hardness for it.","['cs.GT', 'cs.CC']",http://arxiv.org/abs/2604.27276v1,https://arxiv.org/pdf/2604.27276v1,30/04/2026-00:18:45,"['Argyrios Deligkas', 'John Fearnley', 'Alexandros Hollender', 'Themistoklis Melissourgos']",cs.GT
Extreme Equilibria: The Benefits of Correlation,"Correlated equilibria arise naturally when agents communicate or rely on intermediaries such as recommendation systems. We study when a given Nash equilibrium can be improved within the set of correlated equilibria for general objectives. Our key insight is a detail-free criterion: any Nash equilibrium with three or more randomizing agents is generically improvable. We refine this insight to specific classes of games and objectives, including Pareto and utilitarian welfare, and provide constructive methods to obtain improvements. Our findings underscore the ubiquity of improvable Nash equilibria and the crucial role of correlation in enhancing strategic outcomes.","['econ.TH', 'cs.GT']",http://arxiv.org/abs/2604.27258v1,https://arxiv.org/pdf/2604.27258v1,29/04/2026-23:11:21,"['Kirill Rudov', 'Fedor Sandomirskiy', 'Leeat Yariv']",econ.TH
Truthful-in-Expectation Mechanisms for MMS Approximation,"We study fair allocation of indivisible goods among strategic agents with additive valuations. Motivated by impossibility results for deterministic truthful mechanisms, we focus on randomized mechanisms that are \emph{Truthful-in-Expectation (TIE)}. From a fairness perspective, we seek to guarantee every agent a large fraction of their \emph{Maximin Share (MMS)} ex-post. Among other results, Bu~and~Tao~[FOCS 2025] presented a TIE mechanism that guarantees $\frac{1}{n}$-MMS ex-post. First, we present an ordinal TIE mechanism that guarantees $\frac{1}{H_n + 2}$-MMS ex-post, where $H_n$ is the $n$-th harmonic number ($H_n \simeq \ln n$). This is nearly best possible for ordinal mechanisms, as even non-truthful ordinal allocation algorithms cannot obtain an approximation better than $\frac{1}{H_n}$. We then show that with just a small amount of additional cardinal information, the ex-post guarantee can be improved to $Ω(\frac{1}{\log\log n})$-MMS, at the cost of relaxing the incentive requirement to $(1-\varepsilon(n))$-TIE for negligible $\varepsilon(n)$. Finally, for two agents, we present a TIE mechanism that is $\frac{2}{3}$-MMS ex-post.
  All our mechanisms are ex-ante proportional (thus also providing ``Best-of-Both-Worlds'' results) and run in polynomial time. Moreover, all our results extend to the truncated proportional share (TPS), which is at least as large as the MMS. Our two-agent $\frac{2}{3}$-TPS result is best possible for the TPS.",['cs.GT'],http://arxiv.org/abs/2604.27211v1,https://arxiv.org/pdf/2604.27211v1,29/04/2026-21:30:32,"['Moshe Babaioff', 'Uriel Feige', 'Noam Manaker Morag']",cs.GT
