titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
On optimal dividend and capital injection strategies for Markov additive processes,"We study de Finetti's optimal dividend problem with capital injections under the assumption that the uncontrolled capital process behaves as the additive component of a Markov additive process. We assume that capital injections can be made at any time. In contrast, we mainly consider the case where dividends can be paid only at specified discrete times, and we establish the necessary and sufficient conditions for a strategy to be optimal. Additionally, we prove the optimality of certain Markov-modulated periodic-classical barrier strategies and treat the case in which dividends may be paid at arbitrary times via approximation. A key feature of this paper is our use of a significantly more general class of Markov additive processes than those considered in prior studies, which requires a different proof strategy.","['math.PR', 'math.OC']",http://arxiv.org/abs/2604.00190v2,https://arxiv.org/pdf/2604.00190v2,31/03/2026-19:45:30,['Kei Noba'],math.PR
Global Optimality for Constrained Exploration via Penalty Regularization,"Efficient exploration is a central problem in reinforcement learning and is often formalized as maximizing the entropy of the state-action occupancy measure. While unconstrained maximum-entropy exploration is relatively well understood, real-world exploration is often constrained by safety, resource, or imitation requirements. This constrained setting is particularly challenging because entropy maximization lacks additive structure, rendering Bellman-equation-based methods inapplicable. Moreover, scalable approaches require policy parameterization, inducing non-convexity in both the objective and the constraints. To our knowledge, the only prior model-free policy-gradient approach for this setting under general policy parameterization is due to Ying et al. (2025). Unfortunately, their guarantees are limited to weak regret and ergodic averages, which do not imply that the final output is a single deployable policy that is near-optimal and nearly feasible. In this work we take a different approach to this problem, and propose Policy Gradient Penalty (PGP) method, a single-loop policy-space method that enforces general convex occupancy-measure constraints via quadratic-penalty regularization. PGP constructs pseudo-rewards that yield gradient estimates of the penalized objective, subsequently exploiting the classical Policy Gradient Theorem. We further establish the regularity of the penalized objective, providing the smoothness properties needed to justify the convergence of PGP. Leveraging hidden convexity and strong duality, we then establish global last-iterate convergence guarantees, attaining an $ε$-optimal constrained entropy value with $ε$ bounded constraint violation despite policy-induced non-convexity. We validate PGP through ablations on a grid-world benchmark and further demonstrate scalability on two challenging continuous-control tasks.","['cs.LG', 'math.OC']",http://arxiv.org/abs/2604.28144v1,https://arxiv.org/pdf/2604.28144v1,30/04/2026-17:31:46,"['Florian Wolf', 'Ilyas Fatkhullin', 'Niao He']",cs.LG
A Scaled Gradient Modified Non-monotone Line Search Method for Constrained Optimization Problems,"In this paper, we propose a scaled gradient modified non-monotone line search method for solving constrained minimization problems, and explore several specific properties of this method, namely, its convergence analysis. We discuss the linear convergence rate of the sequence generated by the proposed algorithm to a solution of the constrained minimization problem where the objective function is strongly quasiconvex. We consider numerical examples of large-scale fractional programming and quadratic programming for the function of pseudo convex and strongly quasiconvex and compare the performance of the proposed algorithm with the existing ones for these examples.","['math.OC', 'math.FA']",http://arxiv.org/abs/2604.28110v1,https://arxiv.org/pdf/2604.28110v1,30/04/2026-16:58:26,"['Qamrul Hasan Ansari', 'Feeroz Babu', 'D. R. Sahu', 'Jen Chih Yao']",math.OC
Linearization-Based Feedback Stabilization of McKean-Vlasov PDEs,"We develop a feedback control framework for stabilizing the McKean-Vlasov PDE on the torus. Our goal is to steer the dynamics toward a prescribed stationary distribution or accelerate convergence to it using a time-dependent control potential. We reformulate the controlled PDE in a weighted, zero-mean space and apply the ground-state transform to obtain a Schrodinger-type operator. The resulting operator framework enables spectral analysis, verification of the infinite-dimensional Hautus test, and construction of a Riccati-based feedback law derived from the linearized dynamics, yielding local exponential stabilization with a chosen convergence rate. We rigorously prove local exponential stabilization via maximal regularity arguments and nonlinear estimates. Numerical experiments on well-studied models in one and two dimensions (the noisy Kuramoto model for synchronization, the O(2) spin model in a magnetic field, and the von Mises attractive interaction potential) showcase the effectiveness of our control strategy, demonstrating convergence acceleration and stabilization of unstable equilibria.","['math.OC', 'math-ph', 'math.NA']",http://arxiv.org/abs/2507.12411v3,https://arxiv.org/pdf/2507.12411v3,16/07/2025-16:59:49,"['Dante Kalise', 'Lucas M. Moschen', 'Grigorios A. Pavliotis']",math.OC
Quantitative contraction rates for Sinkhorn's algorithm: beyond bounded costs and compact marginals,"We show non-asymptotic exponential convergence of Sinkhorn iterates to the Schrödinger potentials, solutions of the quadratic Entropic Optimal Transport problem on $\mathbb{R}^ d$. Our results hold under mild assumptions on the marginal inputs: in particular, we only assume that they admit an asymptotically positive log-concavity profile, covering as special cases log-concave distributions and bounded smooth perturbations of quadratic potentials. Up to the authors' knowledge, these are the first results which establish exponential convergence of Sinkhorn's algorithm in a general setting without assuming bounded cost functions or compactly supported marginals.","['math.PR', 'math.OC']",http://arxiv.org/abs/2304.04451v4,https://arxiv.org/pdf/2304.04451v4,10/04/2023-08:35:44,"['Giovanni Conforti', 'Alain Durmus', 'Giacomo Greco']",math.PR
Frank-Wolfe Beyond 1/t Convergence,"We consider smooth convex minimization over compact convex sets, i.e., $\min_{x \in C} f(x)$ with the (vanilla) Frank-Wolfe algorithm. Well-known lower bounds establish a worst-case $Ω(1/t)$ primal-gap barrier in the general smooth convex case, and faster convergence usually requires favorable function properties such as Hölder error bounds or strong convexity. We present a new Local Dual Sharpness (LDS) condition, essentially a property of the feasible region and its LMO, under which the Frank-Wolfe algorithm converges in $o(1/t)$ for any smooth convex function, ruling out an $Ω(1/t)$ lower bound under LDS. The condition is a generalization (and localization) of uniform convexity of sets and it is satisfied by any uniformly convex set. To our knowledge, this is the first unconditional $o(1/t)$ convergence result for uniformly convex sets. Combining LDS with stronger function properties, e.g., a local variant of Hölder error bounds, allows us to quantify the actual rates.",['math.OC'],http://arxiv.org/abs/2604.28006v1,https://arxiv.org/pdf/2604.28006v1,30/04/2026-15:28:31,['Sebastian Pokutta'],math.OC
Chance constraints transcription and failure risk estimation for stochastic trajectory optimisation,"Stochastic trajectory optimisation under uncertainty requires robust constraint satisfaction through chance constraints. However, existing transcription methods remain limited to scalar constraints or highly specific structures while introducing substantial conservatism. This work presents two general-purpose transcription methods for multi-dimensional Gaussian chance constraints for trajectory optimisation problems under uncertainty. The spectral radius method extends existing methods to arbitrary multi-dimensional constraints with reduced conservatism. The refined first-order method achieves superior tightness with linear complexity. In addition, a d-th order risk estimation methodology provides conservative failure probability estimates with limited conservatism in high dimensions in quadratic complexity. Applied to an optimal control with uncertainties setting, the first-order transcription achieves near-optimal fuel consumption while maintaining the failure risk below the target. The spectral radius method incurs approximately 0.7 kg additional fuel consumption due to excessive conservatism and a 51% increase in computational time due to its cubic complexity. High-dimensional tests show that the proposed risk estimation method provides accurate risk estimates, while previously developed methods exhibit exponential growth in conservatism with respect to constraint dimension.",['math.OC'],http://arxiv.org/abs/2502.15949v3,https://arxiv.org/pdf/2502.15949v3,21/02/2025-21:26:08,"['Thomas Caleb', 'Roberto Armellin', 'Stéphanie Lizy-Destrez']",math.OC
A bang-bang solution with infinitely many switching points for a parabolic boundary control problem with terminal observation,"We study a parabolic boundary control problem with one spatial dimension, control constraints of box type, and an objective function that measures the $L^2$-distance to a desired terminal state. It is shown that, for a certain choice of the desired state, the considered problem possesses an optimal control that is chattering, i.e., of bang-bang type with infinitely many switching points and a positive objective function value. Whether such a solution is possible has been an open question in the literature. We are able to answer this question in the affirmative by means of Fourier analysis and an auxiliary result on the existence of power series with a certain structure and sign-changing behavior. The latter may also be of independent interest.",['math.OC'],http://arxiv.org/abs/2506.12768v2,https://arxiv.org/pdf/2506.12768v2,15/06/2025-08:33:34,['Constantin Christof'],math.OC
Taylor polynomial-based constrained solver for fuel-optimal low-thrust trajectory optimisation,"This paper presents differential algebra-based differential dynamic programming (DADDy), a publicly available C++ framework for constrained, fuel-optimal low-thrust trajectory optimisation. The method uses differential algebra (DA) for two purposes: automatic differentiation and high-order Taylor expansions of the dynamics. These expansions replace many expensive numerical propagations with polynomial evaluations, reducing computational effort while preserving solution quality. The framework combines two complementary modules. First, a differential dynamic programming (DDP)/iterative linear-quadratic regulator (iLQR) stage computes an almost-feasible trajectory from imperfect initial guesses. Second, a polynomial-accelerated Newton stage enforces full feasibility with fast local convergence. Equality and inequality constraints are handled through an augmented Lagrangian formulation, and a pseudo-Huber homotopy is used to improve robustness for fuel-optimal objectives. The solver is evaluated on benchmark transfers in Sun-centred, Earth-Moon, and Earth-centred dynamical environments. Across these cases, the most robust configuration (iLQRDyn) converged systematically and reduced run time by 70% (Sun-centred), 51-88% (Earth-Moon), and 41-55% (Earth-centred) relative to the corresponding baseline. When convergent, the DDP-based variants are faster still. Overall, the results show that DA-based acceleration can substantially improve practical efficiency while retaining robust convergence behaviour on the tested benchmark set.",['math.OC'],http://arxiv.org/abs/2502.00398v3,https://arxiv.org/pdf/2502.00398v3,01/02/2025-11:13:13,"['Thomas Caleb', 'Roberto Armellin', 'Spencer Boone', 'Stéphanie Lizy-Destrez']",math.OC
Data-Driven Continuous-Time Linear Quadratic Regulator via Closed-Loop and Reinforcement Learning Parameterizations,"This paper studies data-driven approaches to the continuous-time linear quadratic regulator (LQR) problem based on two existing parameterizations, namely a closed-loop (CL) parameterization from behavioral system theory and an integral reinforcement learning (IRL) parameterization. The CL parameterization characterizes the closed-loop system via a matrix that satisfies equality constraints. While this parameterization has been extensively studied for discrete-time systems, we adapt key results to the continuous-time setting and develop a policy iteration (PI) scheme, derive a data-driven continuous-time algebraic Riccati equation (CARE), and introduce an alternative convex problem formulation. The IRL parameterization utilizes off-policy data to perform policy evaluation, which is then used for PI or value iteration. Within the IRL framework, we derive a policy gradient flow and propose convex reformulations of the LQR problem. Finally, we provide a unified treatment of these parameterizations that enables a systematic understanding of existing approaches and clarifies their structural relationships.","['math.OC', 'eess.SY']",http://arxiv.org/abs/2604.27922v1,https://arxiv.org/pdf/2604.27922v1,30/04/2026-14:26:38,"['Armin Gießler', 'Felix Thömmes', 'Sören Hohmann']",math.OC
