titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
The complexity of finite smooth words over binary alphabets,"Smooth words over an alphabet of non-negative integers $\{a,b\}$ are infinite words that are infinitely derivable, the most famous example being the Oldenburger-Kolakoski word over $\{1,2\}$. The main way to study their language is to consider a finite version of smooth words that we call f-smooth words. In this paper we prove that the f-smooth words are exactly the factors of smooth words, and we make progress towards the conjecture of Sing that the complexity of f-smooth words over $\{a,b\}$ grows like $Θ\left(n^{\log(a+b)/\log((a+b)/2)}\right)$: we prove it over even alphabets, we prove the lower bound over any binary alphabet and we improve the known upper bound over odd alphabets.","['cs.FL', 'math.CO', 'math.DS']",http://arxiv.org/abs/2603.10733v3,https://arxiv.org/pdf/2603.10733v3,11/03/2026-13:06:44,"['Julien Cassaigne', 'Raphaël Henry']",cs.FL
Graph subshifts,"We propose a definition of graph subshifts of finite type that can be seen as extending both the notions of subshifts of finite type from classical symbolic dynamics and finitely presented groups from combinatorial group theory. These are sets of graphs that are defined by forbidding finitely many local patterns. In this paper, we focus on the question whether such local conditions can enforce a specific support graph, and thus relate the model to classical symbolic dynamics. We prove that the subshifts that contain only infinite graphs are either aperiodic, or feature no residual finiteness of their period group, yielding non-trivial examples as well as two natural undecidability theorems.","['cs.DM', 'cs.FL', 'math.GR']",http://arxiv.org/abs/2302.07249v2,https://arxiv.org/pdf/2302.07249v2,14/02/2023-18:45:30,"['Pablo Arrighi', 'Amélia Durbec', 'Pierre Guillon']",cs.DM
A Diagrammatic Axiomatisation of Behavioural Distance of Nondeterministic Processes,"Behavioural distances provide a quantitative approach to comparing the states of transition systems, moving beyond traditional Boolean notions of equivalence. In this paper, we develop a sound and complete axiomatisation of behavioural distance for nondeterministic processes using Milner's charts, a model that generalises finite-state automata by incorporating variable outputs. Charts provide a compelling setting for studying behavioural distances because they shift the focus from language equivalence to bisimilarity. Their axiomatic study lays the groundwork for quantitative analysis of more expressive models, such as weighted transition systems.
  To formalise this approach, we adopt string diagrams as our syntax of choice. String diagrams closely mirror the graphical structure of charts, while providing a rigorous formalism that supports inductive reasoning and compositional semantics. Unlike traditional algebraic syntaxes, which require additional mechanisms such as binders and substitution, string diagrams offer a variable-free representation where recursion naturally decomposes into simpler components. This makes them well-suited for reasoning about behavioural distances and aligns with broader efforts to axiomatise automata-theoretic equivalences through a unified diagrammatic framework.","['cs.LO', 'cs.FL', 'cs.PL']",http://arxiv.org/abs/2604.27268v1,https://arxiv.org/pdf/2604.27268v1,29/04/2026-23:48:07,"['Wojciech Różowski', 'Robin Piedeleu', 'Alexandra Silva', 'Fabio Zanasi']",cs.LO
Implementation of Polynomial NP-Complete Algorithms Based on the NP Verifier Simulation Framework,"While prior work established a verifier-based polynomial-time framework for NP, explicit deterministic machines for concrete NP-complete problems have remained elusive.
  In this paper, we construct fully specified deterministic Turing Machines (DTMs) for SAT and Subset-Sum within an improved NP verifier simulation framework.
  A key contribution of this work is the development of a functional implementation that bridges the gap between theoretical proofs and executable software.
  Our improved feasible-graph construction yields a theoretical reduction in the asymptotic polynomial degree, while enhanced edge extension mechanisms significantly improve practical execution speed.
  We show that these machines generate valid witnesses, extending the framework to deterministic FNP computation without increasing complexity.
  The complete Python implementation behaves in accordance with the predicted polynomial-time bounds, and the source code along with sample instances are available in a public online repository.","['cs.CC', 'cs.FL']",http://arxiv.org/abs/2602.10991v3,https://arxiv.org/pdf/2602.10991v3,11/02/2026-16:17:36,['Changryeol Lee'],cs.CC
Primitive Two-Dimensional Words and Iterated Pedal Triangles via Symbolic Coding,"The notion of a two-dimensional word arises naturally in the study of combinatorics on words, while the iterative construction of pedal triangles results in a rich dynamical system in the study of geometry. At first, these two classes of objects seem to be unrelated. However, it is known that for all $n \geq 1$, the number of primitive two-dimensional words of dimension $2 \times n$ over a binary alphabet agrees with the number of triangles whose first similar pedal triangle is their $n$th pedal triangle. We construct a finite four-symbol coding of the sorted pedal map and use the resulting branch itineraries to give a bijection between these two classes.","['math.DS', 'cs.FL', 'math.MG']",http://arxiv.org/abs/2604.26832v1,https://arxiv.org/pdf/2604.26832v1,29/04/2026-15:58:17,['Taylor J. Smith'],math.DS
"Runtime Verification: Monitoring, Knowledge, and Uncertainty (Lecture Notes)","Runtime verification is a lightweight verification technique that complements model checking by analyzing system executions at runtime rather than exploring a complete system model in advance. It is particularly useful for partially observable or black-box systems, where uncertainty can only be resolved through observation. These lecture notes present automata-theoretic, temporal-logical, and epistemic foundations of runtime verification. They cover specification formalisms, diagnosis, opacity, and monitorability, and explain how offline analysis can be used to construct monitors that operate online on observed executions. The notes also discuss timed extensions and the additional algorithmic and semantic challenges that arise in the real-time setting.","['cs.LO', 'cs.FL']",http://arxiv.org/abs/2604.26753v1,https://arxiv.org/pdf/2604.26753v1,29/04/2026-14:49:55,['Benedikt Bollig'],cs.LO
Finite-Horizon First-Order Rank Profiles of Regular Languages,"We introduce the finite-horizon first-order rank profile of a language $L \subseteq Σ^*$: the least quantifier rank needed by an $\mathrm{FO}[<]$ sentence to classify membership in $L$ correctly on all words of length at most $n$. The invariant measures quantifier depth only; formula size is deliberately not bounded.
  First, we prove a rank calculus that is independent of regularity. Every language satisfies $ρ_L(n) \le \lceil \log_2 n \rceil + 4$, via balanced first-order distance formulas and exact-word definitions. Moreover, $\sup_n ρ_L(n) < \infty$ holds exactly when $L$ is globally $\mathrm{FO}[<]$-definable, and the supremum equals the minimum quantifier rank of such a definition.
  Second, for regular languages we prove a sharp aperiodicity gap: if the syntactic monoid of $L$ is aperiodic, then $ρ_L(n) = O(1)$; otherwise $ρ_L(n) = \log_2 n + O_L(1)$. The lower bound extracts a nontrivial cyclic component from the syntactic monoid and combines it with an Ehrenfeucht-Fraisse power lemma for long repetitions of a fixed word. Thus, for full $\mathrm{FO}[<]$ quantifier rank, regular languages admit no intermediate finite-horizon growth between bounded and logarithmic rank.","['cs.FL', 'cs.LO']",http://arxiv.org/abs/2604.27024v1,https://arxiv.org/pdf/2604.27024v1,29/04/2026-13:27:26,"['Madina Bazarova', 'Faruk Alpay']",cs.FL
Unambiguisability and Register Minimisation of Min-Plus Models,"We study the unambiguisability problem for min-plus (tropical) weighted automata (WFAs), and the counter-minimisation problem for tropical Cost Register Automata (CRAs), which are expressively-equivalent to WFAs. Both problems ask whether the ""amount of nondeterminism"" in the model can be reduced. We show that WFA unambiguisability is decidable, thus resolving this long-standing open problem. Our proof is via reduction to WFA determinisability, which was recently shown to be decidable. On the negative side, we show that CRA counter minimisation is undecidable, even for a fixed number of registers (specifically, already for 7 registers).",['cs.FL'],http://arxiv.org/abs/2512.09484v2,https://arxiv.org/pdf/2512.09484v2,10/12/2025-10:02:16,"['Shaull Almagor', 'Guy Arbel', 'Sarai Sheinvald']",cs.FL
Automaton-based Characterisations of First Order Logic over Infinite Trees,"We study the expressive power of First-Order Logic (\FO) over (unordered) infinite trees, with the aim of identifying robust characterisations in terms of branching-time specification formalisms. While such correspondences are well understood in the linear-time setting, the branching-time case presents well-known structural challenges. To this end, we introduce two classes of hesitant tree automata and show that they capture precisely the expressive power of two branching-time temporal logics, namely \PolPCTL and \CTLsf, both of which have been previously shown to be equivalent to \FO over infinite trees. These results provide uniform automata-theoretic characterisations and yield a natural normal form for the latter in terms of a new fragment of \CTLs called \PolCTLs. As a consequence, we identify a fundamental limitation of \FO in this setting: along each branch, it can express only properties that are either safety or co-safety, thereby revealing a sharp expressive boundary for first-order definability over infinite trees.","['cs.LO', 'cs.FL']",http://arxiv.org/abs/2604.26364v1,https://arxiv.org/pdf/2604.26364v1,29/04/2026-07:20:00,"['Massimo Benerecetti', 'Dario Della Monica', 'Angelo Matteo', 'Fabio Mogavero', 'Gabriele Puppis']",cs.LO
Distributional Learning of Graph Languages Generated by Fixed-Interface Clause Systems,"Distributional learning provides a framework for studying the learnability of structured languages from positive data. In this paper, we extend this framework to graph languages generated by fixed-interface clause systems.
  We formulate fixed-interface graph pattern clause systems and define a learning model based on positive presentations and membership queries. We consider a bounded class of graph languages satisfying the finite context property under a bounded-degree assumption. The bounds are expressed by a parameter tuple $(Δ,m,s,t,w,d)$, which controls both the generated graph class and the structural complexity of the clause systems.
  We give an oracle-guided learning algorithm that constructs hypotheses from boundary representations induced by observed positive examples. The proof shows that target contexts eventually appear in the sample, target clauses are reconstructed over the corresponding predicate representatives, and spurious clauses are excluded by membership queries. Hence, for every fixed parameter tuple $(Δ,m,s,t,w,d)$, the target language is identifiable in the limit from positive data and membership queries.
  We also prove that the learner has polynomial-time update on $\mathcal{FICSL}^{\mathrm{FCP}}_Δ(m,s,t,w,d)$. Thus, the paper gives a parameterized reformulation of distributional learning for regular FGS-style graph languages in a fixed-interface setting.",['cs.FL'],http://arxiv.org/abs/2604.26333v1,https://arxiv.org/pdf/2604.26333v1,29/04/2026-06:32:34,"['Takayoshi Shoudai', 'Satoshi Matsumoto', 'Yusuke Suzuki', 'Tomoyuki Uchida']",cs.FL
