titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
SpeechParaling-Bench: A Comprehensive Benchmark for Paralinguistic-Aware Speech Generation,"Paralinguistic cues are essential for natural human-computer interaction, yet their evaluation in Large Audio-Language Models (LALMs) remains limited by coarse feature coverage and the inherent subjectivity of assessment. To address these challenges, we introduce SpeechParaling-Bench, a comprehensive benchmark for paralinguistic-aware speech generation. It expands existing coverage from fewer than 50 to over 100 fine-grained features, supported by more than 1,000 English-Chinese parallel speech queries, and is organized into three progressively challenging tasks: fine-grained control, intra-utterance variation, and context-aware adaptation. To enable reliable evaluation, we further develop a pairwise comparison pipeline, in which candidate responses are evaluated against a fixed baseline by an LALM-based judge. By framing evaluation as relative preference rather than absolute scoring, this approach mitigates subjectivity and yields more stable and scalable assessments without costly human annotation. Extensive experiments reveal substantial limitations in current LALMs. Even leading proprietary models struggle with comprehensive static control and dynamic modulation of paralinguistic features, while failure to correctly interpret paralinguistic cues accounts for 43.3% of errors in situational dialogue. These findings underscore the need for more robust paralinguistic modeling toward human-aligned voice assistants.","['cs.CL', 'cs.AI', 'cs.SD']",http://arxiv.org/abs/2604.20842v1,https://arxiv.org/pdf/2604.20842v1,22/04/2026-17:59:58,"['Ruohan Liu', 'Shukang Yin', 'Tao Wang', 'Dong Zhang', 'Weiji Zhuang', 'Shuhuai Ren', 'Ran He', 'Caifeng Shan', 'Chaoyou Fu']",cs.CL
DeVI: Physics-based Dexterous Human-Object Interaction via Synthetic Video Imitation,"Recent advances in video generative models enable the synthesis of realistic human-object interaction videos across a wide range of scenarios and object categories, including complex dexterous manipulations that are difficult to capture with motion capture systems. While the rich interaction knowledge embedded in these synthetic videos holds strong potential for motion planning in dexterous robotic manipulation, their limited physical fidelity and purely 2D nature make them difficult to use directly as imitation targets in physics-based character control. We present DeVI (Dexterous Video Imitation), a novel framework that leverages text-conditioned synthetic videos to enable physically plausible dexterous agent control for interacting with unseen target objects. To overcome the imprecision of generative 2D cues, we introduce a hybrid tracking reward that integrates 3D human tracking with robust 2D object tracking. Unlike methods relying on high-quality 3D kinematic demonstrations, DeVI requires only the generated video, enabling zero-shot generalization across diverse objects and interaction types. Extensive experiments demonstrate that DeVI outperforms existing approaches that imitate 3D human-object interaction demonstrations, particularly in modeling dexterous hand-object interactions. We further validate the effectiveness of DeVI in multi-object scenes and text-driven action diversity, showcasing the advantage of using video as an HOI-aware motion planner.",['cs.CV'],http://arxiv.org/abs/2604.20841v1,https://arxiv.org/pdf/2604.20841v1,22/04/2026-17:59:55,"['Hyeonwoo Kim', 'Jeonghwan Kim', 'Kyungwon Cho', 'Hanbyul Joo']",cs.CV
Breaking the Assistant Mold: Modeling Behavioral Variation in LLM Based Procedural Character Generation,"Procedural content generation has enabled vast virtual worlds through levels, maps, and quests, but large-scale character generation remains underexplored. We identify two alignment-induced biases in existing methods: a positive moral bias, where characters uniformly adopt agreeable stances (e.g. always saying lying is bad), and a helpful assistant bias, where characters invariably answer questions directly (e.g. never refusing or deflecting). While such tendencies suit instruction-following systems, they suppress dramatic tension and yield predictable characters, stemming from maximum likelihood training and assistant fine-tuning. To address this, we introduce PersonaWeaver, a framework that disentangles world-building (roles, demographics) from behavioral-building (moral stances, interactional styles), yielding characters with more diverse reactions and moral stances, as well as second-order diversity in stylistic markers like length, tone, and punctuation. Code: https://github.com/mqraitem/Persona-Weaver",['cs.CL'],http://arxiv.org/abs/2601.03396v2,https://arxiv.org/pdf/2601.03396v2,06/01/2026-20:18:01,"['Maan Qraitem', 'Kate Saenko', 'Bryan A. Plummer']",cs.CL
Laser electro-optic frequency comb in lithium niobate nanophotonics,"Optical frequency combs have revolutionized precision science and technology, yet their nanophotonic implementations have failed to simultaneously achieve high efficiency, power, and coherence. Optically driven microcombs provide broad and stable spectra but low usable power, whereas active comb generators, including mode-locked lasers, can be efficient yet offer less control over coherence. We introduce the laser electro-optic (LEO) frequency comb, a comb-generation mechanism in which coherent continuous-wave injection drives a phase-modulated laser cavity above threshold into a distinct operating regime. Unlike other coherently driven integrated comb sources, the LEO comb generates comb powers that exceed the injected continuous-wave power by an order of magnitude. We realize the LEO comb in a hybrid lithium niobate/III-V nanophotonic circuit and demonstrate milliwatt-level power per comb line, 1.76-ps pulses, a 4.7-nm background-free spectrum, and linewidths as narrow as 19.6 kHz. By unifying high efficiency, power, and coherence, this architecture establishes a definitive route to chip-scale frequency comb sources that deliver on the promise of scalable, high-performance coherent optical technologies.",['physics.optics'],http://arxiv.org/abs/2604.20837v1,https://arxiv.org/pdf/2604.20837v1,22/04/2026-17:59:03,"['Benjamin K. Gutierrez', 'Yingchu Xu', 'Nicolas Englebert', 'Rithvik Ramesh', 'Maximilian Shen', 'Deven Tseng', 'Adelynn Tang', 'Ryoto Sekine', 'Mahmood Bagheri', 'Auro M. Perego', 'Alireza Marandi']",physics.optics
Dynamic Construction of the Lovász Local Lemma,"This paper proves that a wide class of local search algorithms extend as is to the fully dynamic setting with an adaptive adversary, achieving an amortized $\tilde{O}(1)$ number of local-search steps per update.
  A breakthrough by Moser (2009) introduced the witness-tree and entropy compression techniques for analyzing local resampling processes for the Lovász Local Lemma. These methods have since been generalized and expanded to analyze a wide variety of local search algorithms that can efficiently find solutions to many important local constraint satisfaction problems. These algorithms either extend a partial valid assignment and backtrack by unassigning variables when constraints become violated, or they iteratively fix violated constraints by resampling their variables. These local resampling or backtracking procedures are incredibly flexible, practical, and simple to specify and implement. Yet, they can be shown to be extremely efficient on static instances, typically performing only (sub)-linear number of fixing steps. The main technical challenge lies in proving conditions that guarantee such rapid convergence.
  This paper extends these convergence results to fully dynamic settings, where an adaptive adversary may add or remove constraints. We prove that applying the same simple local search procedures to fix old or newly introduced violations leads to a total number of resampling steps near-linear in the number of adversarial updates.
  Our result is very general and yields several immediate corollaries. For example, letting $Δ$ denote the maximum degree, for a constant $ε$ and $Δ= \text{poly}(\log n)$, we can maintain a $(1+ε) Δ$-edge coloring in $\text{poly}(\log n)$ amortized update time against an adaptive adversary. The prior work for this regime has exponential running time in $\sqrt{\log n}$ [Christiansen, SODA '26].",['cs.DS'],http://arxiv.org/abs/2604.20836v1,https://arxiv.org/pdf/2604.20836v1,22/04/2026-17:58:40,"['Bernhard Haeupler', 'Slobodan Mitrović', 'Srikkanth Ramachandran', 'Wen-Horng Sheu', 'Robert Tarjan']",cs.DS
Parallel-SFT: Improving Zero-Shot Cross-Programming-Language Transfer for Code RL,"Modern language models demonstrate impressive coding capabilities in common programming languages (PLs), such as C++ and Python, but their performance in lower-resource PLs is often limited by training data availability. In principle, however, most programming skills are universal across PLs, so the capability acquired in one PL should transfer to others. In this work, we propose the task of zero-shot cross-programming-language transfer for code RL. We find that, for Llama-3.1, RL training for code generation in a source PL fails to improve, and sometimes even degrades, the performance on other target PLs. To address this, we hypothesize that effective RL transfer requires a generalizable SFT initialization before RL. We thus propose **Parallel-SFT**, an SFT strategy that incorporates ""parallel programs"" -- functionally equivalent code implemented in multiple PLs -- into the data mixture. We demonstrate that this improves transferability: when we subsequently perform RL on our Parallel-SFT model, we observe better generalization to unseen PLs. Analysis of the model internal representations reveals that Parallel-SFT leads to a more functionality-centric latent space, where equivalent programs across PLs are more tightly clustered, which we hypothesize to contribute to the improved transferability.",['cs.CL'],http://arxiv.org/abs/2604.20835v1,https://arxiv.org/pdf/2604.20835v1,22/04/2026-17:58:36,"['Zhaofeng Wu', 'Shiqi Wang', 'Boya Peng', 'Anuj Goyal', 'Melanie Kambadur', 'Sebastian Ruder', 'Yoon Kim', 'Chloe Bi']",cs.CL
AVISE: Framework for Evaluating the Security of AI Systems,"As artificial intelligence (AI) systems are increasingly deployed across critical domains, their security vulnerabilities pose growing risks of high-profile exploits and consequential system failures. Yet systematic approaches to evaluating AI security remain underdeveloped. In this paper, we introduce AVISE (AI Vulnerability Identification and Security Evaluation), a modular open-source framework for identifying vulnerabilities in and evaluating the security of AI systems and models. As a demonstration of the framework, we extend the theory-of-mind-based multi-turn Red Queen attack into an Adversarial Language Model (ALM) augmented attack and develop an automated Security Evaluation Test (SET) for discovering jailbreak vulnerabilities in language models. The SET comprises 25 test cases and an Evaluation Language Model (ELM) that determines whether each test case was able to jailbreak the target model, achieving 92% accuracy, an F1-score of 0.91, and a Matthews correlation coefficient of 0.83. We evaluate nine recently released language models of diverse sizes with the SET and find that all are vulnerable to the augmented Red Queen attack to varying degrees. AVISE provides researchers and industry practitioners with an extensible foundation for developing and deploying automated SETs, offering a concrete step toward more rigorous and reproducible AI security evaluation.","['cs.CR', 'cs.AI', 'cs.CL']",http://arxiv.org/abs/2604.20833v1,https://arxiv.org/pdf/2604.20833v1,22/04/2026-17:58:17,"['Mikko Lempinen', 'Joni Kemppainen', 'Niklas Raesalmi']",cs.CR
Solving Minimax Problems with Bilinear Objectives with ADMM,"We consider minimax (saddle-point) problems of the form max_{c \in C} min_{β\in S} g(c; β), where C and S are compact convex sets, and g is concave-convex. Applying the Alternating Direction Method of Multipliers (ADMM) requires evaluating a proximal operator that is, in general, as hard as the original problem. We show that when the outcome function g is bilinear, i.e. g(c; β) = c^T A β, the proximal operator reduces to a generalized projection onto the confidence region S. This reduction is exact -- it involves no approximation or linearization. The resulting ADMM algorithm alternates between (i) a generalized projection onto S and (ii) a Euclidean projection onto C. We describe the derivation, state the algorithm, and discuss convergence.","['math.OC', 'stat.ME']",http://arxiv.org/abs/2604.20832v1,https://arxiv.org/pdf/2604.20832v1,22/04/2026-17:57:27,['Bob Wilson'],math.OC
Network exploration by random walks: A large deviation perspective,"We study exploration properties of a random walk on a network. For a fully connected network we find that the problem can be mapped to the well known coupon collector problem, thus allowing us to estimate form of $P(S,t)$: the distribution of number of distinct nodes $S$ visited by the random walk upto time $t$. From a practical point of view, however, both the fully connected network and hops taking place after fixed intervals are an idealization. We solve this problem by introducing the formalism of continuous time random walks wherein the random walk spends a random amount of time a node before hopping to its neighboring node. The formalism allows us to study the large deviation limit of $P(S,t)$ under very mild conditions that the distribution of waiting times $ψ(τ)$ exhibits analyticity at small times. Furthermore, we find that at small times, the properties of $P(S,t)$ are largely independent of the network topology, and are governed solely by the waiting time characteristics.",['physics.soc-ph'],http://arxiv.org/abs/2604.20829v1,https://arxiv.org/pdf/2604.20829v1,22/04/2026-17:56:26,"['Sarvesh K. Upadhyay', 'Trifce Sandev', 'Sanjay Kumar', 'R. K. Singh']",physics.soc-ph
Failure of ambient closed-set large-deviation upper bounds in entropic optimal transport,"Large-deviation upper bounds on compact sets do not, in general, extend to arbitrary closed sets without additional tightness. We show that this obstruction already occurs in static entropic optimal transport. More precisely, we construct a fixed-cost model with continuous cost and nonatomic marginals for which the entropic minimisers converge in total variation to an optimal plan with noncompact support, the known compact-set upper bound remains valid, but the corresponding closed-set upper bound fails on a specific closed subset of the ambient space. For a fixed closed set, we identify the exact tail criterion for passing from compact to closed sets. We show that there does not exist a full large-deviation principle (LDP) on the ambient space at speed $1/\varepsilon$ with an arbitrary lower semicontinuous rate function.","['math.PR', 'math.OC']",http://arxiv.org/abs/2604.20827v1,https://arxiv.org/pdf/2604.20827v1,22/04/2026-17:53:23,['Maja Gwozdz'],math.PR
