titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
Solving Minimax Problems with Bilinear Objectives with ADMM,"We consider minimax (saddle-point) problems of the form max_{c \in C} min_{β\in S} g(c; β), where C and S are compact convex sets, and g is concave-convex. Applying the Alternating Direction Method of Multipliers (ADMM) requires evaluating a proximal operator that is, in general, as hard as the original problem. We show that when the outcome function g is bilinear, i.e. g(c; β) = c^T A β, the proximal operator reduces to a generalized projection onto the confidence region S. This reduction is exact -- it involves no approximation or linearization. The resulting ADMM algorithm alternates between (i) a generalized projection onto S and (ii) a Euclidean projection onto C. We describe the derivation, state the algorithm, and discuss convergence.","['math.OC', 'stat.ME']",http://arxiv.org/abs/2604.20832v1,https://arxiv.org/pdf/2604.20832v1,22/04/2026-17:57:27,['Bob Wilson'],math.OC
Unconventional Quantum Criticality in Long-Range Spin-1 Chains: Insights from Entanglement Entropy and Bipartite Fluctuations,"We study the ground-state phase diagram of a spin-1 Heisenberg chain with staggered long-range (LR) interactions decaying as $\propto r^{-α}$ using a quantum Monte Carlo approach based on the split-spin representation. This formulation enables efficient large-scale simulations by mapping the spin-1 model onto spin-$1/2$ degrees of freedom with local projection constraints. We resolve the continuous quantum phase transition between the gapped Haldane phase at large $α$ (short-range regime) and a gapless antiferromagnetically ordered Néel phase at small $α$ (LR regime), where the continuous SU(2) symmetry is broken. From finite-size scaling and crossing point analyses, we determine the critical point to be at $α_c = 2.48(2)$ and extract the associated critical exponents, which indicate unconventional criticality. In particular, the transition is found to be nonconformal, characterized by a dynamic exponent $z \neq 1$. We further analyze the scaling of entanglement entropy and bipartite fluctuations across the transition, and determine the corresponding universal scalings in both phases and at criticality.","['cond-mat.str-el', 'quant-ph']",http://arxiv.org/abs/2604.20831v1,https://arxiv.org/pdf/2604.20831v1,22/04/2026-17:57:08,"['Justin Tim-Lok Chau', 'Jiarui Zhao', 'Nicolas Laflorencie', 'Zi Yang Meng']",cond-mat.str-el
Network exploration by random walks: A large deviation perspective,"We study exploration properties of a random walk on a network. For a fully connected network we find that the problem can be mapped to the well known coupon collector problem, thus allowing us to estimate form of $P(S,t)$: the distribution of number of distinct nodes $S$ visited by the random walk upto time $t$. From a practical point of view, however, both the fully connected network and hops taking place after fixed intervals are an idealization. We solve this problem by introducing the formalism of continuous time random walks wherein the random walk spends a random amount of time a node before hopping to its neighboring node. The formalism allows us to study the large deviation limit of $P(S,t)$ under very mild conditions that the distribution of waiting times $ψ(τ)$ exhibits analyticity at small times. Furthermore, we find that at small times, the properties of $P(S,t)$ are largely independent of the network topology, and are governed solely by the waiting time characteristics.",['physics.soc-ph'],http://arxiv.org/abs/2604.20829v1,https://arxiv.org/pdf/2604.20829v1,22/04/2026-17:56:26,"['Sarvesh K. Upadhyay', 'Trifce Sandev', 'Sanjay Kumar', 'R. K. Singh']",physics.soc-ph
Quantum phase transitions and entanglement entropy in a non-Hermitian Jaynes-Cummings model,"In this paper, we describe some interesting properties of a non-Hermitian Jaynes-Cummings model. For this particular model, it is known that the Hilbert space can be described by infinitely-many two-dimensional invariant (closed) subspaces, together with the global ground state. We expose the appearance of exceptional points on such two-dimensional subspaces, together with quantum phase transitions marking the transition from real to complex eigenvalues. We also compute the spin-oscillator entanglement entropy on each invariant subspace to show that the two phases can be distinguished by their distinct entanglement-entropy profiles.","['quant-ph', 'math-ph']",http://arxiv.org/abs/2506.23356v3,https://arxiv.org/pdf/2506.23356v3,29/06/2025-18:24:20,"['Gargi Das', 'Aritra Ghosh', 'Bhabani Prasad Mandal']",quant-ph
ParetoSlider: Diffusion Models Post-Training for Continuous Reward Control,"Reinforcement Learning (RL) post-training has become the standard for aligning generative models with human preferences, yet most methods rely on a single scalar reward. When multiple criteria matter, the prevailing practice of ``early scalarization'' collapses rewards into a fixed weighted sum. This commits the model to a single trade-off point at training time, providing no inference-time control over inherently conflicting goals -- such as prompt adherence versus source fidelity in image editing. We introduce ParetoSlider, a multi-objective RL (MORL) framework that trains a single diffusion model to approximate the entire Pareto front. By training the model with continuously varying preference weights as a conditioning signal, we enable users to navigate optimal trade-offs at inference time without retraining or maintaining multiple checkpoints. We evaluate ParetoSlider across three state-of-the-art flow-matching backbones: SD3.5, FluxKontext, and LTX-2. Our single preference-conditioned model matches or exceeds the performance of baselines trained separately for fixed reward trade-offs, while uniquely providing fine-grained control over competing generative goals.","['cs.LG', 'cs.CV']",http://arxiv.org/abs/2604.20816v1,https://arxiv.org/pdf/2604.20816v1,22/04/2026-17:44:56,"['Shelly Golan', 'Michael Finkelson', 'Ariel Bereslavsky', 'Yotam Nitzan', 'Or Patashnik']",cs.LG
A dichotomy for hypergraph Zarankiewicz problems on axis-parallel boxes,"We study the Zarankiewicz problem for $r$-partite, $r$-uniform intersection hypergraphs arising from $r$ families of axis-parallel boxes in $\mathbb{R}^d$ with prescribed directions $F_1, \dots, F_r \subseteq \{1, \dots, d\}$. This extends the problems studied by Chan and Har-Peled on points and $d$-dimensional boxes in $\mathbb{R}^d$, corresponding to $(F_1,F_2)=(\varnothing,[d])$, as well as by Chan, Keller, and Smorodinsky on $r$ families of $d$-dimensional boxes, corresponding to $(F_1,\dots,F_r)=([d],\dots,[d])$.
  Our main result establishes a sharp dichotomy for the Zarankiewicz number in this setting: it is either $Θ_r(tn^{r-1})$ or at least $Ω\bigl( tn^{r-1} \cdot \frac{\log n}{\log\log n} \bigr)$, depending only on a simple set-theoretic condition on $(F_1,\dots,F_r)$, which we call $2$-coherence. Informally, $2$-coherence captures whether the configuration contains an underlying two-dimensional incidence structure, which is precisely what gives rise to the extra polylogarithmic factor. Our proof proceeds via a sequence of reductions and a geometric slicing argument that reduces the problem to planar incidence bounds.",['math.CO'],http://arxiv.org/abs/2604.20815v1,https://arxiv.org/pdf/2604.20815v1,22/04/2026-17:44:15,"['Ting-Wei Chao', 'Zichao Dong', 'Hong Liu', 'Xichao Shu', 'Shuaichao Wang']",math.CO
A Search for Rotation Measure Flare Candidates in Repeating Fast Radio Bursts,"Fast radio bursts (FRBs) are millisecond-duration extragalactic radio transients of unknown origin. Rotation measures (RMs) probe their local magneto-ionic environments and provide important clues to their nature. While RM variability has been observed in several repeating FRBs, it is typically gradual or stochastic. Recently, observations of FRB~20220529 revealed an abrupt RM excursion followed by rapid recovery on week-long timescales, termed an ``RM flare'', suggesting a potentially distinct form of RM variability associated with localized magnetized plasma. In this work, we perform a systematic search for RM flare candidates in repeating FRBs with multi-epoch RM measurements. Using a $3σ$ significance threshold, we identify two candidates with multiple observational epochs (FRB~20121102A and FRB~20201124A) and two additional single-epoch candidates (FRB~20180916B), in addition to the event in FRB~20220529A. Our results suggest that RM flares, if confirmed, may not be rare among repeating FRBs and point to highly dynamic magnetized environments local to the sources. Future high-cadence polarimetric observations, particularly following the discovery of RM excursions, will be essential for confirming these candidates and constraining their physical origin.",['astro-ph.HE'],http://arxiv.org/abs/2604.20814v1,https://arxiv.org/pdf/2604.20814v1,22/04/2026-17:44:04,['Ye Li'],astro-ph.HE
Survival of the Cheapest: Cost-Aware Hardware Adaptation for Adversarial Robustness,"Deploying adversarially robust machine learning systems requires continuous trade-offs between robustness, cost, and latency. We present an autonomic decision-support framework providing a quantitative foundation for adaptive hardware selection and hyper-parameter tuning in cloud-native deep learning. The framework applies accelerated failure time (AFT) models to quantify the effect of hardware choice, batch size, epochs, and validation accuracy on model survival time. This framework can be naturally integrated into an autonomic control loop (monitor--analyse--plan--execute, MAPE-K), where system metrics such as cost, robustness, and latency are continuously evaluated and used to adapt model configurations and hardware selection. Experiments across three GPU architectures confirm the framework is both sound and cost-effective: the Nvidia L4 yields a 20% increase in adversarial survival time while costing 75% less than the V100, demonstrating that expensive hardware does not necessarily improve robustness. The analysis further reveals that model inference latency is a stronger predictor of adversarial robustness than training time or hardware configuration.","['cs.CR', 'cs.CV', 'cs.LG', 'stat.AP']",http://arxiv.org/abs/2409.07609v2,https://arxiv.org/pdf/2409.07609v2,11/09/2024-20:43:59,"['Charles Meyers', 'Mohammad Reza Saleh Sedghpour', 'Tommy Löfstedt', 'Erik Elmroth']",cs.CR
PowerDAG: Reliable Agentic AI System for Automating Distribution Grid Analysis,"This paper introduces PowerDAG, an agentic AI system for automating complex distribution-grid analysis. We address the reliability challenges of state-of-the-art agentic systems in automating complex engineering workflows by introducing two innovative active mechanisms: adaptive retrieval, which uses a similarity-decay cutoff algorithm to dynamically select the most relevant annotated exemplars as context, and just-in-time (JIT) supervision, which actively intercepts and corrects tool-usage violations during execution. On a benchmark of unseen distribution grid analysis queries, PowerDAG achieves a 100% success rate with GPT-5.2 and 94.4--96.7% with smaller open-source models, outperforming base ReAct (41-88%), LangChain (30-90%), and CrewAI (9-41%) baselines by margins of 6-50 percentage points.",['eess.SY'],http://arxiv.org/abs/2603.17418v3,https://arxiv.org/pdf/2603.17418v3,18/03/2026-06:52:47,"['Emmanuel O. Badmus', 'Amritanshu Pandey']",eess.SY
Research on mode transition of micro-newton-level cusped field Hall thruster,"The micro-newton cusped field Hall thruster is an electric propulsion device that employs microwave-assisted ionization control. It serves as an actuator in drag-free control systems, ensuring control accuracy and stability by providing continuously adjustable thrust over a wide range. However, a mode transition occurring during the regulation process can lead to a sudden change in anode current, degrading control precision and stability. Therefore, it is necessary to investigate the underlying patterns of mode transition. This study examines the variations in internal plasma parameters and discharge characteristics of the thruster before and after microwave mode transition, primarily through probe diagnostics.Experimental results indicate that before the mode transition, the plasma luminous region is primarily concentrated within the electron cyclotron resonance (ECR) area, approximately 1-3 mm upstream of the anode. After the transition, the luminous region moves further upstream, and the plasma density near the anode exceeds the cutoff density, dropping sharply along the axial direction. The fundamental cause of the change in electron heating mechanism is the alteration in the propagation characteristics of fundamental waves due to this plasma density variation.When the plasma density rises to the cutoff density, the R wave and O wave, which drive ionization, are rapidly attenuated or reflected. At this point, the R-wave cannot reach the resonance layer, causing the dominant ECR ionization to become ineffective. The ionization mechanism shifts from being dominated by the R wave and O wave to being dominated primarily by the O wave. Consequently, the electron heating mechanism transitions from volume heating to surface wave heating......",['physics.plasm-ph'],http://arxiv.org/abs/2604.17903v2,https://arxiv.org/pdf/2604.17903v2,20/04/2026-07:29:21,"['Jiahao Wu', 'Ming Zeng', 'Hui Liu', 'Daren Yu']",physics.plasm-ph
