titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
Non-negative Rational Semantic Numeration Systems,"A new class of Semantic Numeration Systems, namely, positive rational Semantic Numeration Systems is introduced. For cardinal semantic operators, differences in the formation of carry (common carry) and remainders are defined. The properties of positive rational Semantic Numeration Systems as dynamical systems are formulated and illustrated through analytical and numerical examples. A first attempt at defining partial integer Semantic Numeration Systems is proposed.",['cs.LO'],http://arxiv.org/abs/2604.28171v1,https://arxiv.org/pdf/2604.28171v1,30/04/2026-17:53:25,['Alexander Chunikhin'],cs.LO
Pebble Games and Algebraic Proof Systems,"Analyzing refutations of the well known 0pebbling formulas Peb$(G)$ we prove some new strong connections between pebble games and algebraic proof system, showing that there is a parallelism between the reversible, black and black-white pebbling games on one side, and the three algebraic proof systems Nullstellensatz, Monomial Calculus and Polynomial Calculus on the other side. In particular we prove that for any DAG $G$ with a single sink, if there is a Monomial Calculus refutation for Peb$(G)$ having simultaneously degree $s$ and size $t$ then there is a black pebbling strategy on $G$ with space $s$ and time $t+s$. Also if there is a black pebbling strategy for $G$ with space $s$ and time $t$ it is possible to extract from it a MC refutation for Peb$(G)$ having simultaneously degree $s$ and size $ts$. These results are analogous to those proven in {deRezende et al.21} for the case of reversible pebbling and Nullstellensatz. Using them we prove degree separations between NS, MC and PC, as well as strong degree-size tradeoffs for MC.

We also notice that for any directed acyclic graph $G$ the space needed in a pebbling strategy on $G$, for the three versions of the game, reversible, black and black-white, exactly matches the variable space complexity of a refutation of the corresponding pebbling formula Peb$(G)$ in each of the algebraic proof systems NS, MC and PC. Using known pebbling bounds on graphs, this connection implies separations between the corresponding variable space measures.",['cs.LO'],http://arxiv.org/abs/2506.21149v3,https://arxiv.org/pdf/2506.21149v3,26/06/2025-11:10:45,"['Lisa-Marie Jaser', 'Jacobo Toran']",cs.LO
Splitting Argumentation Frameworks with Collective Attacks and Supports,"This work proposes novel splitting techniques for argumentation formalisms that incorporate supports between defeasible elements. We base our studies on bipolar set-based argumentation frameworks (BSAFs) which generalize argumentation frameworks with collective attacks (SETAFs), as well as bipolar argumentation frameworks (BAFs), by incorporating both collective attacks and supports. Notably, BSAFs establish a crucial link to structured argumentation as they naturally capture general (potentially non-flat) assumption-based argumentation. The increase in expressiveness calls for diverse forms of splitting. We consider splits over collective attacks (thereby generalizing the recently proposed splitting techniques for SETAFs), splits over collective supports, as well as splits over both collective attacks and supports. We establish suitable splitting schemata and prove their correctness for the most common argumentation semantics.","['cs.AI', 'cs.LO']",http://arxiv.org/abs/2604.28112v1,https://arxiv.org/pdf/2604.28112v1,30/04/2026-17:01:06,"['Matti Berthold', 'Lydia Blümel', 'Giovanni Buraglio', 'Anna Rapberger']",cs.AI
"Towards Neuro-symbolic Causal Rule Synthesis, Verification, and Evaluation Grounded in Legal and Safety Principles","Rule-based systems remain central in safety-critical domains but often struggle with scalability, brittleness, and goal misspecification. These limitations can lead to reward hacking and failures in formal verification, as AI systems tend to optimize for narrow objectives. In previous research, we developed a neuro-symbolic causal framework that integrates first-order logic abduction trees, structural causal models, and deep reinforcement learning within a MAPE-K loop to provide explainable adaptations under distribution shifts. In this paper, we extend that framework by introducing a meta-level layer designed to mitigate goal misspecification and support scalable rule maintenance. This layer consists of a Goal/Rule Synthesizer and a Rule Verification Engine, which iteratively refine a formal rule theory from high-level natural-language goals and principles provided by human experts. The synthesis pipeline employs large language models (LLMs) to: (1) decompose goals into candidate causes, (2) consolidate semantics to remove redundancies, (3) translate them into candidate first-order rules, and (4) compose necessary and sufficient causal sets. The verification pipeline then performs (1) syntax and schema validation, (2) logical consistency analysis, and (3) safety and invariant checks before integrating verified rules into the knowledge base. We evaluated our approach with a proof-of-concept implementation in two autonomous driving scenarios. Results indicate that, given human-specified goals and principles, the pipeline can successfully derive minimal necessary and sufficient rule sets and formalize them as logical constraints. These findings suggest that the pipeline supports incremental, modular, and traceable rule synthesis grounded in established legal and safety principles.","['cs.LO', 'cs.AI']",http://arxiv.org/abs/2604.28087v1,https://arxiv.org/pdf/2604.28087v1,30/04/2026-16:34:02,"['Zainab Rehan', 'Christian Medeiros Adriano', 'Sona Ghahremani', 'Holger Giese']",cs.LO
The Equational Theory of Relational Kleene Algebra with Graph Loop is PSPACE-Complete,"In this paper, we show that the equational theory of relational Kleene algebra with the \emph{graph loop} operator (a.k.a.~\emph{fixset}) is \textsc{PSpace}-complete. Here, the graph loop is the unary operator that restricts a binary relation to the identity relation. We further show that this \textsc{PSpace}-completeness still holds by extending the terms with top, tests, converse, and nominals, over relational models. Notably, for Kleene algebra with tests (KAT), while the equational theory of relational KAT with antidomain is \textsc{ExpTime}-complete, we show that the equational theory of relational KAT with domain is \textsc{PSpace}-complete, thereby resolving a problem left open in previous works.
  To this end, we introduce a novel automaton model on relational structures (graphs), called \emph{loop-automata}. Loop-automata extend nondeterministic finite automata with a transition type that tests whether the current vertex has a loop. Using this model, we can give a polynomial-time reduction from the equational theories above to the language inclusion problem for 2-way alternating automata.",['cs.LO'],http://arxiv.org/abs/2512.22930v2,https://arxiv.org/pdf/2512.22930v2,28/12/2025-13:48:20,['Yoshiki Nakamura'],cs.LO
On Higher-Order Probabilistic Verification via the Weighted Relational Model of Linear Logic,"The problem of determining whether a probabilistic program terminates almost surely (i.e.~with probability one) is undecidable, and actually $Π^0_2$-complete. For this reason, a growing literature has explored classes of programs for which this and related problems can be shown (semi-)decidable. In this work we consider the termination problem for the language of Probabilistic Higher-Order Recursion Schemes (PHORS). Using the weighted relational semantics of linear logic, we translate this problem into the computation of suitable generating functions associated with the program interpreted. This way, we establish the decidability of almost sure termination for a class of programs that extends Li et al.'s affine PHORS via a type discipline with bounded exponentials. To achieve this, we show that the generating functions for such programs are always algebraic, that is, solutions of polynomial equations, yielding an effective method to answer the termination problem.",['cs.LO'],http://arxiv.org/abs/2604.27986v1,https://arxiv.org/pdf/2604.27986v1,30/04/2026-15:14:55,"['Ugo Dal Lago', 'Guido Fiorillo', 'Paolo Pistone']",cs.LO
Attractor FCM,"In this paper an attractor FCM is created, tested, and analyzed. This FCM is neither a hebbian based nor agentic, nor a hybrid; it rather is a gradient descent based, physics constrained, Jacobian version of an FCM. Moreover, this model has several quirks; it uses residual memory, back propagation through time, and a fixed point anchor that is recursively implemented to update its weights. The residuals update the recursive part without losing the system memory. The model's anchor enables it to converge in a fixed point for which back propagation through time unrolls it and ensures that the error minimization is for an accurate gradient. Furthermore, a new learning algorithm is utilized. The Newton's method finds the system's fixed point attractor and then gradient descend is adaptively changing the landscape; an adaptive term is used to directly manipulate the weights through the attractor dynamics. As the adaptive term changes, the descent through the landscape is constantly adjusting according to sigmoid saturation, and that prevents premature convergence to a local minimum. Lastly, the updates are filtered by causal mask that informs the network about the physics, respecting the initial expert based opinions, for which model reduces the error to the target in an efficient way.","['cs.NE', 'cs.AI', 'cs.LG', 'cs.LO']",http://arxiv.org/abs/2604.27947v1,https://arxiv.org/pdf/2604.27947v1,30/04/2026-14:44:47,['Alexis Kafantaris'],cs.NE
Topological Semantics for Common Inductive Knowledge,"Consider a community of scientists whose labs are each capable of conducting a different set of experiments. The scientists want to work together to confirm a new hypothesis, but to ensure blindness, their labs generally prohibit the scientists from communicating with each other. Further, each scientist can only make so many retractions to their lab before having to cease inquiry and suspend judgement forever. How might the scientists coordinate whether to affirm or suspend judgement on this hypothesis in light of their private experiments so that their labs are guaranteed to converge to the same conclusion and that this conclusion will not be a false positive? Call this problem 'inductive coordinated attack.' In this paper, we develop a logic for solving inductive coordinated attack by determining when and how a hypothesis can become what we call 'common inductive knowledge.' We begin by precisifying Lewis' account of common knowledge in Convention which describes the generation of higher-order expectations between agents as hinging upon agents' inductive standards and a shared witness. Our language has a rather rich syntax in order to capture equally rich notions central to Lewis' account; for instance, we speak of an agent 'having inductive reason to believe' a proposition and one proposition 'indicating' to an agent that another proposition holds. This syntax affords a novel topological semantics which, following Kelly 1996's approach in The Logic of Reliable Inquiry, takes as primitives agents' information bases. In particular, we endow each agent with a 'switching tolerance' meant to represent their personal inductive standards for learning. After establishing soundness of our proof system with respect to this semantics, we conclude by showing how our logic can be used to solve inductive coordinated attack.","['cs.LO', 'econ.TH', 'math.LO']",http://arxiv.org/abs/2602.06927v3,https://arxiv.org/pdf/2602.06927v3,06/02/2026-18:23:45,['Siddharth Namachivayam'],cs.LO
Computing Witnesses Using the SCAN Algorithm,"Second-order quantifier elimination is the problem of finding, given a formula with second-order quantifiers, a logically equivalent first-order formula. While such formulas are not computable in general, there are practical algorithms and subclasses with applications throughout computational logic. One of the most prominent algorithms for second-order quantifier elimination is the saturation-based SCAN algorithm. In this paper we show how the SCAN algorithm on clause sets can be extended to solve a more general problem: namely, finding a witness for the second-order quantifiers that results in a logically equivalent first-order formula. In addition, we provide a prototype implementation of the proposed method.",['cs.LO'],http://arxiv.org/abs/2604.27939v1,https://arxiv.org/pdf/2604.27939v1,30/04/2026-14:37:24,"['Fabian Achammer', 'Stefan Hetzl', 'Renate A. Schmidt']",cs.LO
"A Graded Modal Dependent Type Theory with Erasure, Formalized","We present a graded modal type theory, a dependent type theory with grades that can be used to enforce various properties of the code. The theory has $Π$-types, weak and strong $Σ$-types, natural numbers, an empty type, and a universe, and we also extend the theory with weak and strong unit types and graded $Σ$-types. The theory is parameterized by a modality structure, a kind of partially ordered semiring, whose elements (grades) are used to track the usage of variables in terms and types. Different modalities are possible. We focus mainly on quantitative properties, in particular erasure: with the erasure modality one can mark function arguments as erasable.
  The theory is fully formalized in Agda. The formalization, which uses a syntactic Kripke logical relation at its core and is based on earlier work, establishes major meta-theoretic properties such as subject reduction, consistency, normalization, and decidability of definitional equality. We also prove a substitution theorem for grade assignment, and preservation of grades under reduction. Furthermore we study an extraction function that translates terms to an untyped $λ$-calculus and removes erasable content, in particular function arguments with the ""erasable"" grade. For a certain class of modalities we prove that extraction is sound, in the sense that programs of natural number type have the same value before and after extraction. Soundness of extraction holds also for open programs, as long as all variables in the context are erasable, the context is consistent, and erased matches are not allowed for weak $Σ$-types.","['cs.LO', 'cs.PL']",http://arxiv.org/abs/2603.29716v2,https://arxiv.org/pdf/2603.29716v2,31/03/2026-13:16:11,"['Andreas Abel', 'Nils Anders Danielsson', 'Oskar Eriksson']",cs.LO
