titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
Global Offshore Wind Infrastructure: Deployment and Operational Dynamics from Dense Sentinel-1 Time Series,"The offshore wind energy sector is expanding rapidly, increasing the need for independent, high-temporal-resolution monitoring of infrastructure deployment and operation at global scale. While Earth Observation based offshore wind infrastructure mapping has matured for spatial localization, existing open datasets lack temporally dense and semantically fine-grained information on construction and operational dynamics. We introduce a global Sentinel-1 synthetic aperture radar (SAR) time series data corpus that resolves deployment and operational phases of offshore wind infrastructure from 2016Q1 to 2025Q1. Building on an updated object detection workflow, we compile 15,606 time series at detected infrastructure locations, with overall 14,840,637 events as analysis-ready 1D SAR backscatter profiles, one profile per Sentinel-1 acquisition and location. To enable direct use and benchmarking, we release (i) the analysis ready 1D SAR profiles, (ii) event-level baseline semantic labels generated by a rule-based classifier, and (iii) an expert-annotated benchmark dataset of 553 time series with 328,657 event labels. The baseline classifier achieves a macro F1 score of 0.84 in event-wise evaluation and an area under the collapsed edit similarity-quality threshold curve (AUC) of 0.785, indicating temporal coherence. We demonstrate that the resulting corpus supports global-scale analyses of deployment dynamics, the identification of differences in regional deployment patterns, vessel interactions, and operational events, and provides a reference for developing and comparing time series classification methods for offshore wind infrastructure monitoring.","['cs.CV', 'cs.LG']",http://arxiv.org/abs/2604.20822v1,https://arxiv.org/pdf/2604.20822v1,22/04/2026-17:47:33,"['Thorsten Hoeser', 'Felix Bachofer', 'Claudia Kuenzer']",cs.CV
Magnetic uncertainty in variable geometry,"In this paper, we study Hardy-type uncertainty principles and unique continuation properties for linear covariant Schrodinger equations with variable coefficients in the presence of bounded electric and magnetic potentials. Under suitable smallness assumptions on the leading coefficients, we prove that any solution exhibiting super-quadratic exponential decay at two distinct times must vanish identically. Under an additional structural assumption on the coefficient matrix $G$, we further establish a Hardy-type result at the quadratic exponential scale. We also obtain an analogous uniqueness result for the heat equation with variable-coefficient magnetic perturbations.
  Our results unify and extend previous works in two directions: they recover the constant-coefficient covariant case treated by Barcelo-Fanelli-Gutierrez-Ruiz-Vilela when $G=I$, and the variable-coefficient non-magnetic case considered by Federico-Li-Yu when $A=0$. The proofs combine logarithmic convexity arguments with Carleman estimates adapted to variable-coefficient covariant Schrödinger and parabolic flows. Although our approach follows the general strategy introduced by Escauriaza-Kenig-Ponce-Vega, substantial new difficulties arise from the interaction between the variable metric and the magnetic structure, which requires new weight functions and refined commutator estimates.",['math.AP'],http://arxiv.org/abs/2604.20794v1,https://arxiv.org/pdf/2604.20794v1,22/04/2026-17:19:38,"['Luca Fanelli', 'Yilin Song', 'Ying Wang', 'Jiqiang Zheng', 'Ruihan Zhou']",math.AP
Physics-Conditioned Synthesis of Internal Ice-Layer Thickness for Incomplete Layer Traces,"Internal ice layers imaged by radar provide key evidence of snow accumulation and ice dynamics, but radar-derived layer boundary observations are often incomplete, with discontinuous traces and sometimes entirely missing layers, due to limited resolution, sensor noise, and signal loss. Existing graph-based models for ice stratigraphy generally assume sufficiently complete layer profiles and focus on predicting deeper-layer thickness from reliably traced shallow layers. In this work, we address the layer-completion problem itself by synthesizing complete ice-layer thickness annotations from incomplete radar-derived layer traces by conditioning on colocated physical features synchronized from physical climate models. The proposed network combines geometric learning to aggregate within-layer spatial context with a transformer-based temporal module that propagates information across layers to encourage coherent stratigraphy and consistent thickness evolution. To learn from incomplete supervision, we optimize a mask-aware robust regression objective that evaluates errors only at observed thickness values and normalizes by the number of valid entries, enabling stable training under varying sparsity without imputation and steering completions toward physically plausible values. The model preserves observed thickness where available and infers only missing regions, recovering fragmented segments and even fully absent layers while remaining consistent with measured traces. As an additional benefit, the synthesized thickness stacks provide effective pretraining supervision for a downstream deep-layer predictor, improving fine-tuned accuracy over training from scratch on the same fully traced data.",['cs.LG'],http://arxiv.org/abs/2604.20783v1,https://arxiv.org/pdf/2604.20783v1,22/04/2026-17:10:48,"['Zesheng Liu', 'Maryam Rahnemoonfar']",cs.LG
CVEs With a CVSS Score Greater Than or Equal to 9,"Critical vulnerabilities with Common Vulnerability Scoring System scores of 9.0 or higher pose severe risks to organisations' information systems. Timely detection and remediation are essential to minimise economic and reputational damage from cyberattacks. This paper provides a thorough analysis of the identification and resolution timelines of such critical vulnerabilities. A mixed-methods approach is employed, integrating quantitative data from global vulnerability databases analysing 245,456 Common Vulnerabilities and Exposures records spanning from 2009 to 2024, of which 12.8 % were critical, with qualitative case studies of notable incidents. This methodical combination of quantitative and qualitative data sources enables the identification of patterns and delay factors in vulnerability management. The findings indicate significant delays in public disclosure and patch deployment, influenced by industry-specific factors, resource availability and organisational processes. The paper concludes with a series of actionable recommendations to improve the efficiency of vulnerability responses. Despite faster disclosure, the remediation gap for critical vulnerabilities remains a systemic risk, driven by organisational inertia and system complexity.",['cs.CR'],http://arxiv.org/abs/2604.20765v1,https://arxiv.org/pdf/2604.20765v1,22/04/2026-16:50:25,"['Lena Sinterhauf', 'Andreas Aßmuth', 'Roland Kaltefleiter']",cs.CR
The Be star omicron Cas is indeed the primary of a triple system,"Analysis of radial velocities of two narrow absorption components in the Mg II 4481 A line demonstrated that the secondary of the Be star omicron Cas is indeed a close binary system composed of two B7 stars orbiting each other with a period of 11.6604 days. Orbital solutions and spectral disentangling lead to consistent system properties. The system is extremely important for the research of Be stars since its future interferometric observations with a~high spatial resolution could allow the mass and perhaps even the radius of a Be star to be derived without too many model assumptions, mainly on the dynamical grounds.",['astro-ph.SR'],http://arxiv.org/abs/2604.20747v1,https://arxiv.org/pdf/2604.20747v1,22/04/2026-16:38:57,"['Petr Harmanec', 'Stephenson Yang', 'Miroslav Slechta', 'Erika D. Grundstrom', 'Jose Ribeiro', 'Adam Harmanec']",astro-ph.SR
A direct algebraic proof for the non-positivity of Liouvillian spectral values in Markovian quantum dynamics,"Markovian open quantum systems are described by the Lindblad master equation $\partial_tρ=\mathcal{L}(ρ)$, where $ρ$ denotes the system's density operator and $\mathcal{L}$ the Liouville super-operator, which is also known as the Liouvillian. For systems with a finite-dimensional Hilbert space, it is a fundamental property of the Liouvillian that the real parts of all its eigenvalues are non-positive. Analogously, for infinite-dimensional Hilbert spaces, the Liouvillian as a map on trace-class operators only has spectral values with non-positive real parts. The usual arguments for these properties are indirect, using that $\mathcal{L}$ generates a quantum channel and that quantum channels are contractive. We provide a direct algebraic proof based on the Lindblad form of Liouvillians.","['quant-ph', 'cond-mat.stat-mech', 'math-ph']",http://arxiv.org/abs/2504.02256v2,https://arxiv.org/pdf/2504.02256v2,03/04/2025-03:54:25,"['Yikang Zhang', 'Thomas Barthel']",quant-ph
Kardashev's Conundrum: Statistical Falsification of the Standard Kardashev Model and the Kardashev--Sagan--Nakamoto Resolution,"We test the standard Kardashev one-percent exponential conjecture against six decades of global primary-energy production data (1965-2024; Our World in Data). Markov Chain Monte Carlo inference yields a posterior growth rate of r = 2.01 +/- 0.03% per year (95% credible interval [1.94%, 2.08%]), placing the Kardashev 1% value well outside the credible interval. A linear OLS model fits the data with remarkably low dispersion (R^2 = 0.987) and is preferred over the free-rate exponential by the Widely Applicable Information Criterion (ΔWAIC = 5.5). Year-over-year increments are non-Gaussian (Shapiro-Wilk W = 0.925, p = 0.0014; skewness = -0.664) with identifiable crisis outliers (2008, 2020), rejecting the independent-increment multiplicative structure with positive drift required by Kardashev's (1+x)^t geometric series. Extrapolation of the linear model to the solar luminosity yields a Type II civilisational timescale of approximately 1.6E15 years -- approximately 1E5 times both the age of the Universe and the main-sequence lifetime of the Sun -- a physical reductio we term Kardashev's Conundrum. No functional form fitted to P(t) alone can simultaneously satisfy statistical adequacy and physical coherence: the Kardashev variable is dimensionally incomplete. We propose the Kardashev-Sagan-Nakamoto (KSN) renormalisation B(t) = P(t)/H(t) [J/Hash, the KarNak unit], where H(t) is the annual Bitcoin hashrate. The renormalisation adds no free parameters, is motivated by the Landauer limit, and fulfils Sagan's information-richness requirement. Over 2009-2024, B(t) spans 14 orders of magnitude.","['astro-ph.IM', 'astro-ph.GA']",http://arxiv.org/abs/2604.17516v2,https://arxiv.org/pdf/2604.17516v2,19/04/2026-16:19:28,['Sebastian Gurovich'],astro-ph.IM
Photometric Identification of Unresolved Binary Stars in Nearby Open Star Clusters,"This paper introduces a new method to search for unresolved binary stars in open star clusters. The work aims at improving the approach introduced previously, which employs the (H-W2)-W1 versus W2-(BP-K) photometric diagram. This diagram, in tandem with the Gaia Color Magnitude Diagram (CMD) and using theoretical isochrones as reference sequences, is used to estimate the binary star fraction and the distribution of the component mass ratio $q$ in eight nearby open star clusters, including Pleiades, Alpha Per, and Praesepe, which we investigated in previous studies. In this study, to alleviate the uncertainties associated with the use of theoretical isochrones, we propose an empirical isochrones approach. We show that this is an effective approach to exploring a wider primary-mass interval, in particular for the region of low-mass sources.
  Box-and-whisker plots are used to present the distribution of the component mass ratio $q$. The mode of distribution turns out to be in the range $0.43-0.83$ and $0.38-0.63$ for Gaia and infrared-visible photometry, respectively. In addition, we update the algorithm to obtain the binary fraction, whose estimate lies in the range $0.16 - 0.36$ and $0.21 - 0.44$, depending on the adopted method, and show that in previous studies the binary fraction was overestimated. We do not find evidence that the variable spatial resolution of the employed catalogs (Gaia, 2MASS, and WISE) affects the precision of the binary fraction estimate.","['astro-ph.GA', 'astro-ph.SR']",http://arxiv.org/abs/2604.20722v1,https://arxiv.org/pdf/2604.20722v1,22/04/2026-16:07:28,"['Varvara O. Mikhnevich', 'Anastasiia Plotnikova', 'Giovanni Carraro', 'Anton F. Seleznev']",astro-ph.GA
Compact sub-10 ps Resolution Radio Frequency Photomultiplier Tube,"Experimental measurements of the radial spreading of photoelectrons emitted from a multi-alkali photocathode in a MCP-based photomultiplier tube have shown that, for photon wavelengths of 455 nm, 515 nm and 625 nm, the maximum initial energies of the emitted photoelectrons are approximately 0.3 eV, 0.2 eV and 0.1 eV respectively. Combining these experimental results with simulations performed using the SIMION simulation package, a compact radio-frequency photoelectron multiplier tube with a temporal resolution better than 10 ps is proposed. The device would be suitable for applications in several fields, particularly in medical optical instruments employing time-correlated single-photon counting.",['physics.ins-det'],http://arxiv.org/abs/2603.11887v3,https://arxiv.org/pdf/2603.11887v3,12/03/2026-13:01:43,"['Sergey Abrahamyan', 'Simon Zhamkochyan', 'Hasmik Rostomyan', 'Amur Margaryan', 'Hayk Elbakyan', 'Aram Kakoyan', 'Artashes Papyan', 'Anna Safaryan', 'John Annand', 'Kenneth Livingston', 'Rachel Montgomery', 'Patrick Achenbach', 'Josef Pochodzalla', 'Dimiter Balabanski', 'Satoshi Nakamura', 'Viatcheslav Sharyy', 'Dominique Yvon', 'Ani Aprahamian', 'Vanik Kakoyan']",physics.ins-det
Role of prompt cusps in driving the core collapse of SIDM halos,"Prompt cusps (PCs) form from the direct collapse of overdensities in the early Universe, reside at the center of every dark matter halo, and have density profiles steeper than $r^{-1}$ NFW cusps. Using a suite of high-resolution N-body simulations, we study the evolution of isolated halos in self-interacting dark matter (SIDM) with massive PCs embedded at their centers, a scenario that could be realized in certain SIDM models with light mediators that predict a small-scale suppression of the linear matter power spectrum. We track the evolution of three equally concentrated $10^7\,{\rm{M}}_\odot$ halos, hosting PCs of various total masses, and quantify how the presence of a PC affects the processes of core formation and collapse. Early in the core-formation phase, halos with more prominent PCs exhibit a delayed evolution by a factor of $\sim 2$ due to smaller velocity dispersion gradients in the inner region. During most of the core-collapse phase, the halo evolution becomes closely aligned in physical time, with appropriate rescaling of densities, radii, and velocity dispersions. The scale densities and radii preserve the virial mass of the original halos, but with increased concentration. Deviations occur at the late phase of core-collapse at the level of $\sim 5\%$ relative to the reference collapse track of an NFW halo. These deviations depend non-trivially on both the increased concentration incurred by the PCs, as well as the velocity dispersion (temperature) of the outer halo regions, which can inhibit or enhance the heat transfer process. Our simulations illustrate the complex interplay between the inner and outer halo profiles in determining the onset of core collapse and motivate future studies in the full cosmological context.","['astro-ph.GA', 'astro-ph.CO']",http://arxiv.org/abs/2512.00145v3,https://arxiv.org/pdf/2512.00145v3,28/11/2025-19:00:00,"['Vinh Tran', 'Daniel Gilman', 'M. Sten Delos', 'Xuejian Shen', 'Oliver Zier', 'Mark Vogelsberger', 'David Xu']",astro-ph.GA
