titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
Optimal Transmitter Placement in Realistic Urban Environments,"In a wireless network, the spatial location of the transmitters has a large impact on the achievable rate at each user location. The optimal placement of -- for example -- cellular base stations is a difficult non-convex problem, and is usually addressed with simplified propagation models and simplified heuristics that may account for specifics such as the site topology, building locations, and user density. We propose a mathematically rigorous framework for optimal transmitter placement that explicitly integrates detailed site-specific maps, spatial material properties, and realistic signal attenuation. We introduce a novel aggregated network quality functional which captures the essential trade-off between maximizing network coverage and minimizing cost, and establish the problem's sub-modularity under certain practical conditions. To solve the resulting resource-constrained optimization problem for sparse, discrete transmitter configurations, we propose the Interference-Aware Submodular Placement Algorithm (IA-SPA) and prove theoretical performance guarantees on its gap from optimality. IA-SPA is general and can incorporate existing BS locations and prohibited areas (e.g. a lake), making it useful for either clean-slate or incremental deployments. We show the utility of our approach using a ray tracing-based simulation framework applied to 3D maps of San Francisco and Florence, where we compare to known base station deployments by AT&T, T-Mobile and Iliad. We demonstrate that our proposed placement strategy achieves significant increases in mean data rate (about 2x) and edge rate ($2-8$x) compared to existing tower deployments, using the same number of transmitters.",['cs.IT'],http://arxiv.org/abs/2604.28153v1,https://arxiv.org/pdf/2604.28153v1,30/04/2026-17:40:22,"['Lukas Taus', 'Richard Tsai', 'Jeffrey G. Andrews']",cs.IT
Perfectly Private Over-the-Air Computation,"This paper studies a key research question: how to achieve perfect privacy in over-the-air computation (AirComp)? The problem is particularly intriguing due to a dilemma. Real-field operations can ensure invertibility but generally introduce statistical dependence, resulting in inevitable privacy leakage. In contrast, modulo operations can decorrelate the output from the original message, but suffer from the ill-posed invertibility when applied over non-prime groups (e.g., the real field). This raises a subtle yet fundamental question: Does perfect privacy intrinsically conflict with AirComp? We show that the answer is no. By carefully leveraging the interplay between real-field and modulo operations, perfect privacy and accurate computation can, in fact, be achieved simultaneously, enabling perfectly private aggregation.",['cs.IT'],http://arxiv.org/abs/2604.28080v1,https://arxiv.org/pdf/2604.28080v1,30/04/2026-16:26:44,"['Shudi Weng', 'Ming Xiao', 'Mikael Skoglund']",cs.IT
Exponential families from a single KL identity,"Exponential families encompass the distributions central to modern machine learning -- softmax, Gaussians, and Boltzmann distributions -- and underlie the theory of variational inference, entropy-regularized reinforcement learning, and RLHF. We isolate a simple identity for exponential families that expresses the KL difference $\mathrm{KL}(q \| p_{λ_2}) - \mathrm{KL}(q \| p_{λ_1})$ in terms of the log-partition function $A(λ)$ and the moment $μ_q$. Remarkably, this identity together with the single fact that $\mathrm{KL} \geq 0$ (with equality iff $p = q$) suffices, by direct substitution and rearrangement, to derive a cluster of results that are classically obtained by separate, heavier arguments: a generalized three-point identity for arbitrary reference distributions, Pythagorean theorems for I-projections and reverse I-projections, convexity of the log-partition function, identification of its Legendre dual in KL terms, the Gibbs variational principle, and the explicit optimizer in KL-regularized reward maximization, including the exponential tilting formula underlying entropy-regularized control and RLHF. Beyond these purely algebraic consequences, standard analytic arguments recover the gradient formula for the log-partition function, the Bregman representation of within-family KL divergence, and the surjectivity of the moment map. The note is self-contained.","['cs.LG', 'cs.IT']",http://arxiv.org/abs/2604.28036v1,https://arxiv.org/pdf/2604.28036v1,30/04/2026-15:48:03,['Marc Dymetman'],cs.LG
MIFair: A Mutual-Information Framework for Intersectionality and Multiclass Fairness,"Fairness in machine learning remains challenging due to its ethical complexity, the absence of a universal definition, and the need for context-specific bias metrics. Existing methods still struggle with intersectionality, multiclass settings, and limited flexibility and generality. To address these gaps, we introduce MIFair, a unified framework for bias assessment and mitigation based on mutual information. MIFair provides a flexible metric template and an in-processing mitigation method inspired by the Prejudice Remover, defining group fairness as statistical independence between prediction-derived variables and sensitive attributes. We further strengthen its information-theoretic foundation by establishing equivalences with widely used fairness notions such as independence and separation. MIFair naturally supports intersectionality, complex subgroup structures, and multiclass classification and employs regularization-based training to reduce bias according to the selected metric. Its key advantage is its versatility: it consolidates diverse fairness requirements into a single coherent framework, enabling consistent benchmarking and simplifying practical use. Experiments on real-world tabular and image datasets show that MIFair effectively reduces bias, including previously unaddressed multi-attribute scenarios, while maintaining strong predictive performance across the evaluated settings.","['cs.LG', 'cs.AI', 'cs.CY', 'cs.IT']",http://arxiv.org/abs/2604.28030v1,https://arxiv.org/pdf/2604.28030v1,30/04/2026-15:46:10,"['Jeanne Monnier', 'Thomas George', 'Frédéric Guyard', 'Christèle Tarnec', 'Marios Kountouris']",cs.LG
Diffusion-OAMP for Joint Image Compression and Wireless Transmission,"Joint image compression and wireless transmission remain relatively underexplored compared to generic image restoration, despite its importance in practical communication systems. We formulate this problem under an equivalent linear model, and propose Diffusion-OAMP, a training-free reconstruction framework that embeds a pre-trained diffusion model into the OAMP algorithm. In Diffusion-OAMP, the OAMP linear estimator produces pseudo-AWGN observations, while the diffusion model serves as a nonlinear estimator under an SNR-matching rule. This framework offers a way to incorporate multiple generative priors into OAMP. Experiments with varying compression ratios and noise levels show that Diffusion-OAMP performs favorably against classic methods in the evaluated settings.","['eess.IV', 'cs.IT', 'cs.LG']",http://arxiv.org/abs/2604.27952v1,https://arxiv.org/pdf/2604.27952v1,30/04/2026-14:49:31,"['Wentao Hou', 'Yimin Bai', 'Zelei Luo', 'Jiadong Hong', 'Lei Liu']",eess.IV
A New Representation of Binary Sequences by means of Boolean Functions,"Boolean functions and binary sequences are main tools used in cryptography. In this work, we introduce a new bijection between the set of Boolean functions and the set of binary sequences with period a power of two. We establish a connection between them which allows us to study some properties of Boolean functions through binary sequences and vice versa. Then, we define a new representation of sequences, based on Boolean functions and derived from the algebraic normal form, named reverse-ANF. Next, we study the relation between such a representation and other representations of Boolean functions as well as between such a representation and the binary sequences. Finally, we analyse the generalized self-shrinking sequences in terms of Boolean functions and some of their properties using the different representations.","['cs.CR', 'cs.IT']",http://arxiv.org/abs/2506.05374v3,https://arxiv.org/pdf/2506.05374v3,30/05/2025-10:28:45,"['S. D. Cardell', 'A. Fúster-Sabater', 'V. Requena', 'M. Beltrá']",cs.CR
Semidefinite and linear programming bounds for sum-rank-metric codes and non-existence results,"The sum-rank metric provides a unifying framework that generalizes both the celebrated Hamming and rank metrics, and has found applications in areas such as network coding, distributed storage, and space-time coding. A central problem is to determine the maximum size of a code with prescribed minimum distance. In this paper, we derive new sharp upper bounds on the size of a sum-rank-metric code using spectral and optimization techniques, including a semidefinite programming (SDP) bound that can outperform the best existing bounds based on computational experiments. Furthermore, we compare the Delsarte linear programming (LP) bound and a recent eigenvalue LP bound, and show equivalences between them, with particular emphasis on extremal regimes of the sum-rank metric. Finally, we show how to use the several SDP, LP and eigenvalue bounds to prove non-existence results for certain optimal and perfect sum-rank metric codes. Our results suggest that the combination of spectral and optimization methods effectively captures the hybrid nature of the sum-rank metric, providing new techniques that overcome the limitations of classical coding-theoretic approaches.","['cs.IT', 'math.CO']",http://arxiv.org/abs/2604.27909v1,https://arxiv.org/pdf/2604.27909v1,30/04/2026-14:17:22,"['Aida Abiad', 'Antonina P. Khramova', 'Sven C. Polak', 'Ferdinando Zullo']",cs.IT
Decoupled Descent: Exact Test Error Tracking Via Approximate Message Passing,"In modern parametric model training, full-batch gradient descent (and its variants) suffers due to progressively stronger biasing towards the exact realization of training data; this drives the systematic ``generalization gap'', where the train error becomes an unreliable proxy for test error. Existing approaches either argue this gap is benign through complex analysis or sacrifice data to a validation set. In contrast, we introduce decoupled descent (DD), a novel theory-based training algorithm that satisfies a train-test identity -- enforcing the train error to asymptotically track the test error for stylized Gaussian mixture models. Within this specific regime, leveraging approximate message passing theory, DD iteratively cancels the biases due to data reuse, rigorously demonstrating the feasibility of zero-cost validation and $100\%$ data utilization. Moreover, DD is governed by a low-dimensional state evolution recursion, rendering the dynamics of the algorithm transparent and tractable. We validate DD on XOR classification, yielding superior performance compared to GD; additionally, we implement noisy MNIST and non-linear probing of CIFAR-10, demonstrating that even when our stylized assumptions are relaxed, DD narrows the generalization gap compared to GD.","['math.ST', 'cs.IT', 'cs.LG', 'stat.ML']",http://arxiv.org/abs/2604.27883v1,https://arxiv.org/pdf/2604.27883v1,30/04/2026-14:01:23,['Max Lovig'],math.ST
Irreducible Ferrers diagrams in the Etzion-Silberstein conjecture,"The Etzion-Silberstein conjecture asserts that, for any finite field $\mathbb F$, Ferrers diagram $\mathcal D$, and integer $d$, there exists a linear matrix code supported on $\mathcal D$ with minimum rank distance $d$ that attains a natural upper bound on its dimension. Codes achieving this bound are called maximum Ferrers diagram (MFD) codes. While the conjecture has been established for several classes of diagrams (including rectangular, monotone, and MDS-constructible cases), it remains open in general. In this paper, we study the reducibility of Ferrers diagrams. For a fixed distance $d$, a diagram $\mathcal D$ is said to reduce to $\mathcal D'$ if an MFD code for $(\mathcal D,d)$ can be obtained from one for $(\mathcal D',d)$ via shortening or inclusion. Diagrams that are not reducible are called irreducible. We show that the conjecture holds for all diagrams if and only if it holds for irreducible ones, thereby reducing the problem to this fundamental class. Our main result provides a complete characterization of irreducible diagrams: for each $d$, they correspond exactly to the integer points of a polytope $\mathfrak{P}_d \subset \mathbb{R}^{2d-3}$. We prove that these polytopes are integral, enabling the use of Ehrhart-theoretic tools to study their structure. Finally, we formulate a new conjecture on puncturing and inclusion of maximum rank distance codes, and show that it arises as a special case of the Etzion-Silberstein conjecture.","['math.CO', 'cs.IT']",http://arxiv.org/abs/2604.27868v1,https://arxiv.org/pdf/2604.27868v1,30/04/2026-13:50:43,"['Hugo Beeloo-Sauerbier Couvée', 'Alessandro Neri']",math.CO
Multi-User Non-Linearly Separable Distributed Computing,"This paper considers an $N$-server distributed computing setting with $K$ users requesting functions that are arbitrary multivariable polynomial evaluations of $L$ real (potentially non-linear) basis subfunctions, where each function output is raised to a bounded power. Our aim is to seek efficient task allocation and data communication techniques that reduce computation and communication costs. To this end, we take a tensor-theoretic approach, in which we represent the requested non-linearly decomposable functions using a properly designed tensor $\bar{\mathcal{F}}$, whose sparse decomposition into a tensor $\bar{\mathcal{E}}$ and a matrix $\mathbf{D}$ directly defines the task assignment, connectivity, and communication patterns.
  We design a lossless achievable scheme that integrates fixed-support SVD-based tensor factorization with multi-dimensional tiling of $\bar{\mathcal{E}}$ and $\mathbf{D}$, followed by a bipartite graph matching-based recursive assignment of tiles. This step transforms an overlapping decomposition into a disjoint one and reduces the resulting sum rank of the tiles, thereby decreasing the number of required servers. Under mild dimensionality conditions, we derive an explicit zero-error characterization of the achievable system rate $K/N$. Numerical simulations demonstrate the computational and communication savings over existing state-of-the-art matrix factorization approaches across a wide range of system parameters.",['cs.IT'],http://arxiv.org/abs/2601.16171v2,https://arxiv.org/pdf/2601.16171v2,22/01/2026-18:16:19,"['Ali Khalesi', 'Ahmad Tanha', 'Derya Malak', 'Petros Elia']",cs.IT
