titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
Exact Dynamic Programming for Solow--Polasky Diversity Subset Selection on Lines and Staircases,"We study exact fixed-cardinality Solow--Polasky diversity subset selection on ordered finite $\ell_1$ sets, with monotone biobjective Pareto fronts and their higher-dimensional staircase analogues as central applications. Solow--Polasky diversity was introduced in biodiversity conservation, whereas the same inverse-matrix expression appears in metric geometry as magnitude: for a finite metric space $(X,d)$ with exponential similarity matrix $Z_{ij}=e^{-q d(x_i,x_j)}$, the quantity $\1^\top Z^{-1}\1$ is the magnitude of the scaled finite metric space $(X,qd)$ whenever the weighting is defined by the inverse matrix. Thus, in this finite exponential-kernel setting, Solow--Polasky diversity and magnitude are mathematically the same object viewed through different motivations. Building on the linear-chain magnitude formula of Leinster and Willerton, we provide a detailed proof of the scaled consecutive-gap identity $ \SP(X)=1+\sum_r \tanh(qg_r/2), $ where the $g_r$ are the gaps between consecutive selected points. We then prove an exact Bellman-recursion theorem for maximizing this value over all subsets of a prescribed cardinality, yielding an $O(kn^2)$ dynamic program for an ordered $n$-point candidate set and subset size $k$. Finally, we prove ordered $\ell_1$ reductions showing that the same algorithm applies to monotone biobjective Pareto-front approximations and, more generally, to finite coordinatewise monotone $\ell_1$ staircases in $\R^d$. These are precisely the ordered $\ell_1$ chains for which the Manhattan metric becomes a line metric along the chosen order, so the one-dimensional dynamic program applies without modification.
  Keywords: Dynamic Programming, Solow--Polasky Diversity, Complexity Theory, Multiobjective Optimization, Pareto front, Magnitude","['cs.CG', 'cs.DS', 'math.OC']",http://arxiv.org/abs/2604.26929v1,https://arxiv.org/pdf/2604.26929v1,29/04/2026-17:42:53,['Michael T. M. Emmerich'],cs.CG
A proof of Jordan curve theorem based on the sweepline algorithm for trapezoidal decomposition of a polygon,"We prove the Jordan curve theorem by generalizing the sweepline algorithm for trapezoidal decomposition of a polygon. Our proof uses Zorn's lemma (or, equivalently the axiom of choice). Though several proofs have been given for the Jordan curve theorem by various authors, ours is the {\bf first algorithmic proof} of Jordan curve theorem using computational geometry. Further, with some preparation, the proof can be taught as part of an undergraduate discrete mathematics course, where till now the proof of this theorem was considered inaccessible.",['cs.CG'],http://arxiv.org/abs/2604.26812v1,https://arxiv.org/pdf/2604.26812v1,29/04/2026-15:42:07,['Apurva Mudgal'],cs.CG
The Nesting Bird Box Problem is ER-complete: Sharp Hardness Results for the Hidden Set Problem,"In the (Nesting) Bird Box Problem we are given a polygonal domain P and a number k and we want to know if there is a set B of k points inside P such that no two points in B can see each other. The underlying idea is that each point represents a birdhouse and many birds only use a birdhouse if there is no other occupied birdhouse in its vicinity. We say two points a,b see each other if the open segment ab intersects neither the exterior of P nor any vertex of P.
  We show that the Nesting Bird Box problem is ER-complete. The complexity class ER can be defined by the set of problems that are polynomial time equivalent to finding a solution to the equation $p(x) = 0$, with $x\in R^n$ and $p\in $Z[X_1,...,X_n]$. The proof builds on the techniques developed in the original ER-completeness proof of the Art Gallery problem. However our proof is significantly shorter for two reasons. First, we can use recently developed tools that were not available at the time. Second, we consider polygonal domains with holes instead of simple polygons.",['cs.CG'],http://arxiv.org/abs/2604.26749v1,https://arxiv.org/pdf/2604.26749v1,29/04/2026-14:47:22,"['Lucas Meijer', 'Till Miltzow', 'Johanna Ockenfels', 'Miloš Stojaković']",cs.CG
Small Independent Sets versus Small Separator in Geometric Intersection Graphs,"While most classical NP-hard graph problems cannot be solved in time $2^{o(n)}$ on general graphs under the Exponential Time Hypothesis (ETH), many exhibit the square-root phenomenon and admit optimal algorithms running in time $2^{O(\sqrt{n})}$ on certain geometric intersection graphs, such as planar graphs or unit disk graphs. In 2018, de Berg et al. developed a general algorithmic framework for such problems on intersection graphs of similarly sized fat objects in $\mathbb{R}^d$, achieving running times of the form $2^{O(n^{1-1/d})}$, along with matching lower bounds under ETH. In this paper, we identify problems that do not exhibit the square-root phenomenon, yet still admit subexponential algorithms on intersection graphs of similarly sized fat objects in $\mathbb{R}^d$, for every fixed dimension $d \geqslant 2$. We introduce the notion of a weak square-root phenomenon: problems that can be solved in time $2^{\tilde{O}(n^{1-1/(d+1)})}$, and for which matching lower bounds hold under ETH. We develop both an algorithmic framework and a corresponding lower bound framework. As concrete examples, we show that the problems 2-Subcoloring and Two Sets Cut-Uncut exhibit this behavior. Our algorithms rely on a new win-win structural theorem, which can be informally stated as follows: every such graph admits a sublinear separator whose removal leaves connected components with sublinear independence number. To facilitate the design of these algorithms, we introduce a new graph parameter, the $α$-modulator number, which generalizes both the independence number and the vertex cover number.","['cs.DS', 'cs.CG']",http://arxiv.org/abs/2604.26533v1,https://arxiv.org/pdf/2604.26533v1,29/04/2026-11:00:30,"['Malory Marin', 'Rémi Watrigant']",cs.DS
A stellated tetrahedron that is probably not Rupert,"A convex polyhedron is Rupert if a hole can be cut into it (making its genus $1$) such that an identical copy of the polyhedron can pass through the hole. Resolving a conjecture of Jerrard-Wetzel-Yuan, Steininger and Yurkevich recently constructed a convex polyhedron which is not Rupert. We propose a search for the simplest possible non-Rupert polyhedron and provide numerical evidence suggesting that a particular stellated tetrahedron is not Rupert. The computational techniques utilize linear program solvers to compute the largest possible scalings of polygons that can be translated to fit in other polygons. The relative simplicity of the stellated tetrahedron as compared to other polyhedra allows this more rudimentary check to be computationally tractable. In particular, we show that over 88% of a particular encoding of $\text{SO}(3) \times \text{SO}(3)$ equipped with the standard measure does not yield a Rupert passage.","['math.MG', 'cs.CG', 'math.CO']",http://arxiv.org/abs/2604.26531v1,https://arxiv.org/pdf/2604.26531v1,29/04/2026-10:55:53,['Tony Zeng'],math.MG
An Overview of Minimum Convex Cover and Maximum Hidden Set,"We give a review of results on the minimum convex cover and maximum hidden set problems. In addition, we give some new results. First we show that it is NP-hard to determine whether a polygon has the same convex cover number as its hidden set number. We then give some important examples in which these quantities don't always coincide. Finally, We present some consequences of insights from Browne, Kasthurirangan, Mitchell and Polishchuk [FOCS, 2023] on other classes of simple polygons.",['cs.CG'],http://arxiv.org/abs/2403.01354v2,https://arxiv.org/pdf/2403.01354v2,03/03/2024-00:56:05,['Reilly Browne'],cs.CG
Calibrated Persistent Homology Tests for High-dimensional Collapse Detection,"We study detection of collapse in high-dimensional point clouds, where mass concentrates near a lower-dimensional set relative to a non-collapsed geometry. We propose persistent homology-based test statistics under two well-studied filtrations, with cutoffs calibrated under a broad set of non-collapsed reference models. We benchmark power across three alternative collapse mechanisms (linear/spectral, nonlinear-support, and contamination/heterogeneity) and distill the results into a mechanism map guiding the choice of filtration and statistic.",['cs.CG'],http://arxiv.org/abs/2604.26068v1,https://arxiv.org/pdf/2604.26068v1,28/04/2026-19:09:27,['Alexander Kalinowski'],cs.CG
The Walk-Length Filtration for Persistent Homology on Weighted Directed Graphs,"Directed graphs arise in many applications where computing persistent homology helps to encode the shape and structure of the input information. However, there are only a few ways to turn the directed graph information into an undirected simplicial complex filtration required by the standard persistent homology framework. In this paper, we present a new filtration constructed from a directed graph, called the walk-length filtration. This filtration mirrors the behavior of small walks visiting certain collections of vertices in the directed graph. We show that, while the persistence is not stable under the usual $L_\infty$-style network distance, a generalized $L_1$-style distance is, indeed, stable. We further provide an algorithm for its computation, and investigate the behavior of this filtration in examples, including cycle networks and synthetic hippocampal networks with a focus on comparison to the often used Dowker filtration.","['cs.CG', 'math.AT']",http://arxiv.org/abs/2506.22263v2,https://arxiv.org/pdf/2506.22263v2,27/06/2025-14:30:51,"['David E. Muñoz', 'Elizabeth Munch', 'Firas A. Khasawneh']",cs.CG
Conic locus of inversive Poncelet circumcenter and two points of invariant circle power,"We prove that over a generic Poncelet triangle family, the locus of the circumcenter of an inversive triangle is a conic. Additionally, we prove an earlier conjecture: over generic Poncelet triangles, two unique points exist which maintain constant power with respect to the circumcircle and Euler's circle of the family, respectively.","['math.MG', 'cs.CG']",http://arxiv.org/abs/2604.26035v1,https://arxiv.org/pdf/2604.26035v1,28/04/2026-18:16:16,"['Ronaldo Garcia', 'Shmuel', 'Helman', 'Dan Reznik']",math.MG
Point Group Symmetry of Polyhedral Diagrams in Graphic Statics,"Symmetry is an implicit objective in structural form-finding that often reconciles efficiency and aesthetics. This paper identifies the symmetry of polyhedral diagrams in three-dimensional graphic statics (3DGS) as point groups and formulates them as constraints, enabling the optimization and manipulation of polyhedral diagrams that preserve such symmetry. 3DGS has been an efficient and effective tool for the form-finding of funicular structures. However, when modifying complex diagrams for design exploration or optimization, one can easily break the symmetry of the reciprocal design input, rendering the result undesirable for practical use. To address this problem, this paper investigates symmetry transformations and introduces point groups, an abstract algebra tool commonly used in crystallography to represent the symmetry and equivalence between a network of atoms (points with labels). It then discusses the hierarchy of symmetry in the geometry types of a polyhedral diagram, and proposes the constraint of symmetry through edge lengths. Based on the crystal symmetry search algorithm by spglib and pymatgen, a fast fingerprinting algorithm is developed to identify the point group of a polyhedral diagram and sort equivalent edges into sets. Finally, the paper shows that the necessary and sufficient condition for preserving the point group symmetry is that each set of edges has the same length. This constraint is compatible with the algebraic formulation of 3DGS and effectively preserves symmetry while reducing the dimension of the solution space. The method is implemented in the PolyFrame 2 plug-in for Rhino and Grasshopper.",['cs.CG'],http://arxiv.org/abs/2604.25695v1,https://arxiv.org/pdf/2604.25695v1,28/04/2026-14:22:38,"['Yefan Zhi', 'Yao Lu', 'Masoud Akbarzadeh']",cs.CG
