titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
Adaptive Self-Organization in Anonymous Dynamic Networks,"We introduce the problem of adaptive self-organization in which the nodes of an anonymous, synchronous dynamic network must distributively change the collective distribution of their responses (or ""colors"") as a function of time-varying environmental signals, even when these signals are only perceived locally and the network topology changes adversarially. Specifically, a signal adversary may change the type of signal and which node(s) witness that signal arbitrarily between rounds. If a signal (or lack thereof) $s$ persists in the system for sufficiently long, the dynamic network must stabilize such that nodes' colors reach and remain in a distribution closely approximating $r(s)$, a goal distribution defined by the problem instance. We first prove that if nodes are deterministic, the only solvable instances of adaptive-self organization are those with homogeneous goal distributions, i.e., those where all nodes must stabilize with the same color. We then present a linear-time, logarithmic-memory, deterministic algorithm for this subclass of instances that works even when the multiplicity and location of signal witnesses change arbitrarily. When nodes know $n$, the number of nodes in the network, a small adaptation of this algorithm achieves a stronger convergence property in which adversarial edge and signal dynamics are entirely unable to disturb stabilized configurations. Finally, we present a randomized extension of these algorithms that solves arbitrary (i.e., not necessarily homogeneous) instances of adaptive self-organization with high probability when nodes know the goal distributions.",['cs.DC'],http://arxiv.org/abs/2604.26931v1,https://arxiv.org/pdf/2604.26931v1,29/04/2026-17:45:22,"['Garrett Parzych', 'Joshua J. Daymude']",cs.DC
Color-Encoded Illumination for High-Speed Volumetric Scene Reconstruction,"The task of capturing and rendering 3D dynamic scenes from 2D images has become increasingly popular in recent years. However, most conventional cameras are bandwidth-limited to 30-60 FPS, restricting these methods to static or slowly evolving scenes. While overcoming bandwidth limitations is difficult for general scenes, recent years have seen a flurry of computational imaging methods that yield high-speed videos using conventional cameras for specific applications (e.g., motion capture and particle image velocimetry). However, most of these methods require modifications to a camera's optics or the addition of mechanically moving components, limiting them to a single-view high-speed capture. Consequently, these methods cannot be readily used to capture a 3D representation of rapid scene motion. In this paper, we propose a novel method to capture and reconstruct a volumetric representation of a high-speed scene using only unaugmented low-speed cameras. Instead of modifying the hardware or optics of each individual camera, we encode high-speed scene dynamics by illuminating the scene with a rapid, sequential color-coded sequence. This results in simultaneous multi-view capture of the scene, where high-speed temporal information is encoded in the spatial intensity and color variations of the captured images. To construct a high-speed volumetric representation of the dynamic scene, we develop a novel dynamic Gaussian Splatting-based approach that decodes the temporal information from the images. We evaluate our approach on simulated scenes and real-world experiments using a multi-camera imaging setup, showing first-of-a-kind high-speed volumetric scene reconstructions.",['cs.CV'],http://arxiv.org/abs/2604.26920v1,https://arxiv.org/pdf/2604.26920v1,29/04/2026-17:38:11,"['David Novikov', 'Eilon Vaknin', 'Narek Tumanyan', 'Mark Sheinin']",cs.CV
"Optimal, Qubit-Efficient Quantum Vehicle Routing via Colored-Permutations","We formulate a global-position colored-permutation encoding for the capacitated vehicle routing problem. Each of the $K$ vehicles selects a disjoint partial permutation, and the sum of these $K$ color layers forms a full $n\times n$ permutation matrix that assigns every customer to exactly one visit position. This representation uses $n^2K$ binary decision variables arranged as $K$ color layers over a common permutation structure, while vehicle capacities are enforced by weighted sums over the entries of each color class, requiring no explicit load register and hence no extra logical qubits beyond the routing variables. In contrast, many prior quantum encodings introduce an explicit capacity or load representation with additional qubits. Our construction is designed to exploit the Constraint-Enhanced QAOA framework together with its encoded-manifold analyses. Building on a requirements-based view of quantum utility in CVRP, we develop a routing optimization formulation that directly targets one of the main near-term bottlenecks, namely the additional logical-qubit cost of vehicle labels and explicit capacity constraints. Our proposal shows strong algorithmic performance in addition to qubit efficiency. On a standard benchmark suite, our end-to-end pipeline recovers the independently verified optima. The feasibility oracle may also be of independent interest as a reusable polynomial-time decoding and certification primitive for quantum and quantum-inspired routing pipelines.","['quant-ph', 'cs.CC', 'cs.DM', 'cs.IT', 'math-ph']",http://arxiv.org/abs/2604.04570v2,https://arxiv.org/pdf/2604.04570v2,06/04/2026-10:08:41,"['Chinonso Onah', 'Kristel Michielsen']",quant-ph
Electromagnetic form factors and structure of the $T_{bb}$ tetraquark from lattice QCD,"We present the first lattice QCD determination of the electromagnetic form factors of the exotic tetraquark $T_{bb} \ (bb \bar u \bar d)$ with quantum numbers $I( J^P ) = 0( 1^+ )$. The extracted form factors encode information about its internal structure, including the charge distribution and the magnetic dipole moments, determined separately for the light and heavy quarks. Our results provide evidence in favor of it being a bound state consisting of a compact heavy diquark $[bb]$ in a color-antitriplet with spin one, and a light antidiquark $[\bar u \bar d]$ in a color-triplet with spin zero. The charge radius of $T_{bb}$ is found to be significantly smaller than the combined charge radii of $B$ and $B^*$ mesons. These two comprise the lowest-lying threshold $BB^*$ in the channel we are considering, and their electric charge form factors are also determined. The computations were performed on a single CLS ensemble with $N_f = 2+1$ dynamical quarks and a lattice spacing of approximately $a \approx0.064 \ \mathrm{fm}$ at the pion mass $m_π\approx 290 \ \mathrm{MeV}$.","['hep-lat', 'hep-ph']",http://arxiv.org/abs/2510.17549v4,https://arxiv.org/pdf/2510.17549v4,20/10/2025-13:58:04,"['Ivan Vujmilovic', 'Sara Collins', 'Luka Leskovec', 'Sasa Prelovsek']",hep-lat
Spectrum of $J^{PC} = 0^{\pm\pm}$ Gluonic Hidden-Charm Tetraquark States,"We investigate gluonic hidden-charm tetraquark states composed of two valence quarks, two valence antiquarks and an explicit valence gluon. In the color configuration $[\bar{3}_c]_{c q}\otimes[8_c]_{G}\otimes[3_c]_{\bar{c}\bar{q}}$, a complete set of eight interpolating currents is constructed for states with quantum numbers $^{PC}=0^{++}$, $0^{-+},$ $0^{--}$, and $0^{+-}$. The corresponding mass spectra are systematically analysed within the QCD sum rule framework, including nonperturbative condensate contributions up to dimension eight. Our numerical analysis indicates the possible existence of six gluonic hidden-charm tetraquark states exhibiting stable behaviour in the adopted Borel windows. By replacing the charm quark with the bottom quark, masses for the corresponding hidden-bottom partners are also estimated. Possible production mechanisms and dominant decay channels are discussed, providing phenomenological guidance for experimental searches. These predicted states may be accessible at current and forthcoming facilities, including Belle II, PANDA, SuperB and LHCb, and thus offer an opportunity to probe explicit gluonic degrees of freedom in multiquark systems and deepen our understanding of nonperturbative QCD.",['hep-ph'],http://arxiv.org/abs/2512.12310v2,https://arxiv.org/pdf/2512.12310v2,13/12/2025-12:48:31,"['Bing-Dong Wan', 'Ming-Yang Yuan', 'Jun-Hao Zhang', 'Yan Zhang']",hep-ph
"The Lovász Local Lemma: Fundamentals, Applications, and Perspectives","The Lovász Local Lemma is a central tool in probabilistic combinatorics, providing a sufficient condition under which a finite collection of undesirable events with limited dependencies can be simultaneously avoided with positive probability. This paper offers a self-contained expository treatment of the lemma, with an emphasis on conceptual clarity and accessibility. In particular, we present a pedagogically motivated reformulation of its proof, based solely on unconditional probability inequalities. The symmetric case is considered in detail, and several classical applications in graph theory are revisited, including bounds on diagonal Ramsey numbers, hypergraph coloring, and structural results on directed graphs. The presentation of these applications is accompanied by additional observations and insights. We further discuss the algorithmic framework of Moser and Tardos, highlighting its constructive proof of the lemma. We also present the cluster expansion refinement of the Lovász Local Lemma and outline its implications. The paper concludes with a discussion of open directions for further research.","['math.CO', 'math.PR']",http://arxiv.org/abs/2603.07245v4,https://arxiv.org/pdf/2603.07245v4,07/03/2026-14:55:00,['Igal Sason'],math.CO
Delta Score Matters! Spatial Adaptive Multi Guidance in Diffusion Models,"Diffusion models have achieved remarkable success in synthesizing complex static and temporal visuals, a breakthrough largely driven by Classifier-Free Guidance (CFG). However, despite its pivotal role in aligning generated content with textual prompts, standard CFG relies on a globally uniform scalar. This homogeneous amplification traps models in a well-documented ""detail-artifact dilemma"": low guidance scales fail to inject intricate semantics, while high scales inevitably cause structural degradation, color over-saturation, and temporal inconsistencies in videos. In this paper, we expose the physical root of this flaw through the lens of differential geometry. By analyzing Tweedie's Formula, we reveal that CFG intrinsically performs a tangential linear extrapolation. Because the natural data manifold is highly curved, this uniform linear step introduces a severe orthogonal deviation. To keep the generation trajectory safely bounded, we formulate a theoretical upper bound for spatial and adaptive guidance. Based on these geometric insights, we propose Spatial Adaptive Multi Guidance (SAMG), a training-free and virtually zero-cost sampling algorithm. SAMG dynamically computes point-wise conditional guidance energy, applying a conservative minimum scale to high-energy boundary regions to preserve delicate micro-textures, while deploying an aggressive maximum scale in low-energy regions to maximize semantic injection. Extensive experiments across diverse image (SD 1.5, SDXL, SD3.5 Medium) and video (CogVideoX, ModelScope) architectures demonstrate that SAMG effectively resolves the detail-artifact dilemma, achieving superior semantic alignment, structural integrity, and temporal smoothness without any computational overhead.",['cs.CV'],http://arxiv.org/abs/2604.26503v1,https://arxiv.org/pdf/2604.26503v1,29/04/2026-10:08:08,"['Haosen Li', 'Wenshuo Chen', 'Lei Wang', 'Shaofeng Liang', 'Bowen Tian', 'Soning Lai', 'Yutao Yue']",cs.CV
Ramsey-like theorems for the Schreier barrier,"The family of finite subsets $s$ of the natural numbers such that $|s|=1+\min s$ is known as the Schreier barrier in combinatorics and Banach Space theory, and as the family of exactly $ω$-large sets in Logic. We formulate and prove the generalizations of Friedman's Free Set and Thin Set theorems and of Rainbow Ramsey's theorem to colorings of the Schreier barrier. We analyze the strength of these theorems from the point of view of Computability Theory and Reverse Mathematics. Surprisingly, the exactly $ω$-large counterparts of the Thin Set and Free Set theorems can code $\emptyset^{(ω)}$, while the exactly $ω$-large Rainbow Ramsey theorem does not code the halting set.","['math.LO', 'math.CO']",http://arxiv.org/abs/2412.11598v3,https://arxiv.org/pdf/2412.11598v3,16/12/2024-09:36:26,"['Lorenzo Carlucci', 'Oriola Gjetaj', 'Quentin Le Houérou', 'Ludovic Levy Patey']",math.LO
Structure Preserving Algorithms for Quaternion Outer Inverses with Applications,"This study investigates the theoretical and computational aspects of quaternion generalized inverses, focusing on outer inverses and {1,2}-inverses with prescribed range and/or null space constraints. In view of the non-commutative nature of quaternions, a detailed characterization of the left and right range and null spaces of quaternion matrices is presented. Explicit representations for these inverses are derived, including full rank decomposition-based formulations. We design two efficient algorithms: one leveraging the Quaternion Toolbox for MATLAB (QTFM), and the other employing a complex structure preserving approach based on the complex representation of quaternion matrices. With suitable choices of subspace constraints, these outer inverses unify and generalize several classical inverses, including the Moore-Penrose inverse, the group inverse, and the Drazin inverse. The proposed methods are validated through numerical examples and applied to two real-world tasks: quaternion-based color image deblurring, which preserves inter-channel correlations, and robust filtering of chaotic 3D signals, demonstrating their effectiveness in high-dimensional settings.",['math.RA'],http://arxiv.org/abs/2506.19308v2,https://arxiv.org/pdf/2506.19308v2,24/06/2025-04:45:56,"['Neha Bhadala', 'Ratikanta Behera']",math.RA
FASH-iCNN: Making Editorial Fashion Identity Inspectable Through Multimodal CNN Probing,"Fashion AI systems routinely encode the aesthetic logic of specific houses, editors, and historical moments without disclosing it. We present FASH-iCNN, a multimodal system trained on 87,547 Vogue runway images across 15 fashion houses spanning 1991-2024 that makes this cultural logic inspectable. Given a photograph of a garment, the system recovers which house produced it, which era it belongs to, and which color tradition it reflects. A clothing-only model identifies the fashion house at 78.2% top-1 across 14 houses, the decade at 88.6% top-1, and the specific year at 58.3% top-1 across 34 years with a mean error of just 2.2 years. Probing which visual channels carry this signal reveals a sharp dissociation: removing color costs only 10.6pp of house identity accuracy, while removing texture costs 37.6pp, establishing texture and luminance as the primary carriers of editorial identity. FASH-iCNN treats editorial culture as the signal rather than background noise, identifying which houses, eras, and color traditions shaped each output so that users can see not just what the system predicts but which houses, editors, and historical moments are encoded in that prediction.","['cs.CV', 'cs.HC', 'cs.IR', 'cs.MM']",http://arxiv.org/abs/2604.26186v1,https://arxiv.org/pdf/2604.26186v1,29/04/2026-00:20:01,"['Morayo Danielle Adeyemi', 'Ryan A. Rossi', 'Franck Dernoncourt']",cs.CV
