titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
Beyond Hagedorn: A Harmonic Approach to $T\bar{T}$-deformation,"We apply harmonic analysis to study the $T\bar{T}$-deformed torus partition function. We first express the CFT partition functions in terms of Maass waveforms, including the Eisenstein series and cusp forms. These basis functions turn out to deform in a very simple way under the $T\bar{T}$-deformation. The spectral decomposition provides a numerically stable and efficient method to compute the partition function at finite values of the deformation parameter $λ$, allowing us to clearly resolve the analytic structure of the partition function as a function of $λ$. The resulting deformed partition function exhibits a Hagedorn singularity. Building on harmonic analysis approach, we propose a natural analytic continuation beyond the Hagedorn singularity, which enables us to compute the full partition function for any value of $λ$.","['hep-th', 'math-ph']",http://arxiv.org/abs/2604.20839v1,https://arxiv.org/pdf/2604.20839v1,22/04/2026-17:59:09,"['Jie Gu', 'Jue Hou', 'Yunfeng Jiang']",hep-th
Dynamic Construction of the Lovász Local Lemma,"This paper proves that a wide class of local search algorithms extend as is to the fully dynamic setting with an adaptive adversary, achieving an amortized $\tilde{O}(1)$ number of local-search steps per update.
  A breakthrough by Moser (2009) introduced the witness-tree and entropy compression techniques for analyzing local resampling processes for the Lovász Local Lemma. These methods have since been generalized and expanded to analyze a wide variety of local search algorithms that can efficiently find solutions to many important local constraint satisfaction problems. These algorithms either extend a partial valid assignment and backtrack by unassigning variables when constraints become violated, or they iteratively fix violated constraints by resampling their variables. These local resampling or backtracking procedures are incredibly flexible, practical, and simple to specify and implement. Yet, they can be shown to be extremely efficient on static instances, typically performing only (sub)-linear number of fixing steps. The main technical challenge lies in proving conditions that guarantee such rapid convergence.
  This paper extends these convergence results to fully dynamic settings, where an adaptive adversary may add or remove constraints. We prove that applying the same simple local search procedures to fix old or newly introduced violations leads to a total number of resampling steps near-linear in the number of adversarial updates.
  Our result is very general and yields several immediate corollaries. For example, letting $Δ$ denote the maximum degree, for a constant $ε$ and $Δ= \text{poly}(\log n)$, we can maintain a $(1+ε) Δ$-edge coloring in $\text{poly}(\log n)$ amortized update time against an adaptive adversary. The prior work for this regime has exponential running time in $\sqrt{\log n}$ [Christiansen, SODA '26].",['cs.DS'],http://arxiv.org/abs/2604.20836v1,https://arxiv.org/pdf/2604.20836v1,22/04/2026-17:58:40,"['Bernhard Haeupler', 'Slobodan Mitrović', 'Srikkanth Ramachandran', 'Wen-Horng Sheu', 'Robert Tarjan']",cs.DS
Network exploration by random walks: A large deviation perspective,"We study exploration properties of a random walk on a network. For a fully connected network we find that the problem can be mapped to the well known coupon collector problem, thus allowing us to estimate form of $P(S,t)$: the distribution of number of distinct nodes $S$ visited by the random walk upto time $t$. From a practical point of view, however, both the fully connected network and hops taking place after fixed intervals are an idealization. We solve this problem by introducing the formalism of continuous time random walks wherein the random walk spends a random amount of time a node before hopping to its neighboring node. The formalism allows us to study the large deviation limit of $P(S,t)$ under very mild conditions that the distribution of waiting times $ψ(τ)$ exhibits analyticity at small times. Furthermore, we find that at small times, the properties of $P(S,t)$ are largely independent of the network topology, and are governed solely by the waiting time characteristics.",['physics.soc-ph'],http://arxiv.org/abs/2604.20829v1,https://arxiv.org/pdf/2604.20829v1,22/04/2026-17:56:26,"['Sarvesh K. Upadhyay', 'Trifce Sandev', 'Sanjay Kumar', 'R. K. Singh']",physics.soc-ph
Arrow of Time as an indicator of Measurement-Induced Phase Transitions,"Measurement-induced phase transitions (MIPTs) in monitored quantum systems are typically diagnosed using entanglement-based measures. Here, we develop a complementary thermodynamic perspective based on the arrow of time (AoT), which arises from the intrinsic irreversibility of the quantum measurements driving these transitions. We study the AoT - defined as the logarithmic ratio of forward and backward trajectory probabilities - across a family of models exhibiting MIPTs. We find that, like entanglement entropy, the AoT is a nonlinear functional of the averaged density matrix; however, in contrast to entanglement, it is associated with a local operator. To determine whether the AoT exhibits critical behavior, we formulate and exactly solve a model of a random quantum circuit with non-projective measurements. This allows us to analytically demonstrate that the AoT displays nonanalytic behavior and identify its critical exponent. Our results establish the AoT as a novel diagnostic for phase transitions in monitored quantum systems.","['cond-mat.stat-mech', 'quant-ph']",http://arxiv.org/abs/2604.20828v1,https://arxiv.org/pdf/2604.20828v1,22/04/2026-17:56:25,"['Nitay Hurvitz', 'Alon Kochol', 'Victor Fleurov', 'Eran Sela']",cond-mat.stat-mech
Spatial deformation in a Bayesian spatiotemporal model for incomplete matrix-variate responses,"In this paper, we propose a Bayesian matrix-variate spatiotemporal modeling framework for jointly analyzing multiple response variables observed at spatial locations over time. The approach relaxes the standard assumption of spatial isotropy by incorporating a deformation-based mechanism, allowing the covariance structure to capture directional effects and nonstationary spatial dependence. Temporal dynamics are modeled through dynamic linear models, enabling coherent uncertainty propagation within a state-space formulation. Missing observations are handled via a data augmentation strategy that preserves the joint structure of the multivariate responses. The proposed methodology is evaluated through simulation studies and an application to air quality data. Results indicate that accounting for spatial deformation leads to substantial gains in predictive performance in anisotropic settings, while cross-variable dependence plays a secondary role in improving overall fit. The framework is computationally tractable for moderate numbers of spatial locations and responses, and provides a flexible basis for modeling multivariate spatiotemporal processes under incomplete data.",['stat.ME'],http://arxiv.org/abs/2511.18201v2,https://arxiv.org/pdf/2511.18201v2,22/11/2025-22:05:59,"['Rodrigo de Souza Bulhões', 'Marina Silva Paez', 'Dani Gamerman']",stat.ME
Global Offshore Wind Infrastructure: Deployment and Operational Dynamics from Dense Sentinel-1 Time Series,"The offshore wind energy sector is expanding rapidly, increasing the need for independent, high-temporal-resolution monitoring of infrastructure deployment and operation at global scale. While Earth Observation based offshore wind infrastructure mapping has matured for spatial localization, existing open datasets lack temporally dense and semantically fine-grained information on construction and operational dynamics. We introduce a global Sentinel-1 synthetic aperture radar (SAR) time series data corpus that resolves deployment and operational phases of offshore wind infrastructure from 2016Q1 to 2025Q1. Building on an updated object detection workflow, we compile 15,606 time series at detected infrastructure locations, with overall 14,840,637 events as analysis-ready 1D SAR backscatter profiles, one profile per Sentinel-1 acquisition and location. To enable direct use and benchmarking, we release (i) the analysis ready 1D SAR profiles, (ii) event-level baseline semantic labels generated by a rule-based classifier, and (iii) an expert-annotated benchmark dataset of 553 time series with 328,657 event labels. The baseline classifier achieves a macro F1 score of 0.84 in event-wise evaluation and an area under the collapsed edit similarity-quality threshold curve (AUC) of 0.785, indicating temporal coherence. We demonstrate that the resulting corpus supports global-scale analyses of deployment dynamics, the identification of differences in regional deployment patterns, vessel interactions, and operational events, and provides a reference for developing and comparing time series classification methods for offshore wind infrastructure monitoring.","['cs.CV', 'cs.LG']",http://arxiv.org/abs/2604.20822v1,https://arxiv.org/pdf/2604.20822v1,22/04/2026-17:47:33,"['Thorsten Hoeser', 'Felix Bachofer', 'Claudia Kuenzer']",cs.CV
ParetoSlider: Diffusion Models Post-Training for Continuous Reward Control,"Reinforcement Learning (RL) post-training has become the standard for aligning generative models with human preferences, yet most methods rely on a single scalar reward. When multiple criteria matter, the prevailing practice of ``early scalarization'' collapses rewards into a fixed weighted sum. This commits the model to a single trade-off point at training time, providing no inference-time control over inherently conflicting goals -- such as prompt adherence versus source fidelity in image editing. We introduce ParetoSlider, a multi-objective RL (MORL) framework that trains a single diffusion model to approximate the entire Pareto front. By training the model with continuously varying preference weights as a conditioning signal, we enable users to navigate optimal trade-offs at inference time without retraining or maintaining multiple checkpoints. We evaluate ParetoSlider across three state-of-the-art flow-matching backbones: SD3.5, FluxKontext, and LTX-2. Our single preference-conditioned model matches or exceeds the performance of baselines trained separately for fixed reward trade-offs, while uniquely providing fine-grained control over competing generative goals.","['cs.LG', 'cs.CV']",http://arxiv.org/abs/2604.20816v1,https://arxiv.org/pdf/2604.20816v1,22/04/2026-17:44:56,"['Shelly Golan', 'Michael Finkelson', 'Ariel Bereslavsky', 'Yotam Nitzan', 'Or Patashnik']",cs.LG
Survival of the Cheapest: Cost-Aware Hardware Adaptation for Adversarial Robustness,"Deploying adversarially robust machine learning systems requires continuous trade-offs between robustness, cost, and latency. We present an autonomic decision-support framework providing a quantitative foundation for adaptive hardware selection and hyper-parameter tuning in cloud-native deep learning. The framework applies accelerated failure time (AFT) models to quantify the effect of hardware choice, batch size, epochs, and validation accuracy on model survival time. This framework can be naturally integrated into an autonomic control loop (monitor--analyse--plan--execute, MAPE-K), where system metrics such as cost, robustness, and latency are continuously evaluated and used to adapt model configurations and hardware selection. Experiments across three GPU architectures confirm the framework is both sound and cost-effective: the Nvidia L4 yields a 20% increase in adversarial survival time while costing 75% less than the V100, demonstrating that expensive hardware does not necessarily improve robustness. The analysis further reveals that model inference latency is a stronger predictor of adversarial robustness than training time or hardware configuration.","['cs.CR', 'cs.CV', 'cs.LG', 'stat.AP']",http://arxiv.org/abs/2409.07609v2,https://arxiv.org/pdf/2409.07609v2,11/09/2024-20:43:59,"['Charles Meyers', 'Mohammad Reza Saleh Sedghpour', 'Tommy Löfstedt', 'Erik Elmroth']",cs.CR
Autonomous LLM-generated Feedback for Student Exercises in Introductory Software Engineering Courses,"Introductory Software Engineering (SE) courses face rapidly increasing student enrollment numbers, participants with diverse backgrounds and the influence of Generative AI (GenAI) solutions. High teacher-to-student ratios often challenge providing timely, high-quality, and personalized feedback a significant challenge for educators. To address these challenges, we introduce NAILA, a tool that provides 24/7 autonomous feedback for student exercises. Utilizing GenAI in the form of modern LLMs, NAILA processes student solutions provided in open document formats, evaluating them against teacher-defined model solutions through specialized prompt templates. We conducted an empirical study involving 900+ active students at the University of Duisburg-Essen to assess four main research questions investigating (1) the underlying motivations that drive students to either adopt or reject NAILA, (2) user acceptance by measuring perceived usefulness and ease of use alongside subjective learning progress, (3) how often and how consistently students engage with NAILA, and (4) how using NAILA to receive AI feedback impacts on academic performance compared to human feedback.",['cs.SE'],http://arxiv.org/abs/2604.20803v1,https://arxiv.org/pdf/2604.20803v1,22/04/2026-17:34:58,['Andreas Metzger'],cs.SE
Machine Learning-Based Characterization of Solar p-Mode Frequency Shifts during Solar Cycle 25,"The solar interior is probed by the properties of the Sun's acoustic oscillations (p-modes) observed on the solar surface. The frequencies of these p-modes measured in the last three decades show long term variation similar to the 11 year cyclic behaviour exhibited by 10.7 cm radio flux, sunspot numbers and other solar activity indices. It is also now established that the cyclic behavior of some of the solar proxies are connected with geomagnetic activities and have implications for space weather. Hence, in recent years efforts have been made using machine-learning methods to forecast these solar proxies with a view to improve our understanding of space weather. Developing a comparable method for forecasting p-mode frequency shifts is therefore of interest for two reasons. Firstly, it will facilitate future investigations into its potential role in tracing energy drivers from the Sun's interior to the geospace response by improving models of solar interior dynamics to coronal and heliospheric plasma conditions. In other words, it will help establish a more robust and quantitative link between the Sun's interior and its exterior. Secondly, it may provide us with an independent indicator or an early indicator of ascending and descending phase of solar activity which might be useful for space weather forecasting.
  In this article, we develop and apply the standard time-series analysis and machine-learning based methods to characterise p-mode frequency shifts for the remaining solar cycle 25.",['astro-ph.SR'],http://arxiv.org/abs/2604.20802v1,https://arxiv.org/pdf/2604.20802v1,22/04/2026-17:33:03,"['Rekha Jain', 'Akash Kumar', 'Sushanta C. Tripathy']",astro-ph.SR
