titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
A MEC-Based Optimization Framework for Dynamic Inductive Charging,"Range anxiety and long recharging times remain critical barriers to electric vehicle adoption. Dynamic Inductive Charging (DIC) offers a compelling solution by enabling wireless power transfer while driving, potentially reducing battery size requirements and thus vehicle costs. However, DIC infrastructures are expensive and power-constrained, requiring intelligent resource allocation to maximize user satisfaction and economic viability. We propose a Model Predictive Control framework for optimal power allocation in DIC systems, using edge computing and vehicular communications to prioritize vehicles with critical battery states. The framework is implemented and evaluated through SUMO-based simulations on a realistic 10 km urban scenario in Istanbul, Turkey, under varying traffic intensities. Results demonstrate two critical limitations of uncoordinated allocation. First, resource utilization remains suboptimal despite available power when demand saturates system capacity. Second, when demand exceeds capacity, uniform distribution of power leaves a heavy tail of critically unsatisfied vehicles that may require emergency stops. Our MPC-based strategy addresses both regimes -- maximizing power utilization during saturation through dynamic stripe rebalancing, and improving satisfaction fairness under scarcity by aggressively prioritizing depleted batteries at the expense of well-charged vehicles. The framework and simulation tools are released as open-source to support further research in this emerging domain.","['eess.SY', 'cs.NI']",http://arxiv.org/abs/2604.28069v1,https://arxiv.org/pdf/2604.28069v1,30/04/2026-16:17:51,"['Emre Akıskalıoğlu', 'Mustafa Atmaca', 'Lorenzo Ghiro', 'Giovanni Perin', 'Renato Lo Cigno']",eess.SY
NetSatBench: A Distributed LEO Constellation Emulator with an SRv6 Case Study,"NetSatBench is a distributed emulation platform for evaluating communication protocols and application workloads over large-scale LEO satellite systems. Satellites, gateways, and user terminals are implemented as Linux containers distributed across a cluster of bare-metal or virtual machines, while emulated links are realized through a Layer-2 VXLAN overlay. The system state is maintained in an Etcd key-value store and updated through epoch files, which propagate link and task changes to local control agents running inside the emulated nodes. In contrast to library-oriented tools that require users to write control programs, NetSatBench adopts a higher-level declarative workflow based on JSON ""scenario files"" and a command-line interface. The platform decouples physical-layer and routing modeling from the emulator core through external plug-ins, while providing built-in support for IPv4 and IPv6 routing, including IS-IS and ideal time-varying routing. Rather than focusing on emulator micro-performance alone, we illustrate what NetSatBench enables through an SRv6-based LEO architecture in which control procedures manage data tunnels between users and gateways under different handover policies. This case study shows how NetSatBench can support protocol-level experimentation under time-varying LEO dynamics and highlights the importance of end-to-end handover strategies that jointly account for the satellites serving both the user and the gateway.",['cs.NI'],http://arxiv.org/abs/2604.27854v1,https://arxiv.org/pdf/2604.27854v1,30/04/2026-13:39:34,"['Andrea Detti', 'Shahram Dadras', 'Giuseppe Tropea']",cs.NI
Enabling Reconfiguration-Communication Overlap for Collective Communication in Optical Networks,"Collective communication (CC) is critical for scaling distributed machine learning (DML). The predictable traffic patterns of DML present a great opportunity for applying optical network technologies. Optical networks with reconfigurable topologies promise high bandwidth and low latency for collective communications. However, existing approaches face inherent limitations: static topologies are inefficient for dynamic communication patterns within CC algorithm, while frequent topology reconfiguration matching every step of the algorithm incurs significant overhead. In this paper, we propose SWOT, a demand-aware optical network framework that employs ``intra-collective reconfiguration'' to dynamically align network resources with CC traffic patterns. SWOT hides reconfiguration latency by overlapping it with data transmission through three key techniques: \textit{Heterogeneous Message Splitting}, \textit{Asynchronous Overlapping}, and \textit{Topology Bypassing}. Extensive simulations demonstrate that SWOT reduces communication completion time up to 89.7% across diverse CC algorithm compared to static baselines, demonstrating strong robustness to varying optical resources and reconfiguration delay.","['cs.NI', 'cs.AI', 'cs.DC']",http://arxiv.org/abs/2510.19322v3,https://arxiv.org/pdf/2510.19322v3,22/10/2025-07:34:04,"['Changbo Wu', 'Zhuolong Yu', 'Gongming Zhao', 'Hongli Xu']",cs.NI
Libra: Accelerating Socket I/O via Programmable Selective Data Copying,"Layer-7 (L7) proxies are critical to modern cloud-native systems, yet their performance is increasingly bottlenecked by copying entire payloads across the kernel-user boundary. Existing approaches reduce this overhead but typically sacrifice compatibility with unmodified POSIX applications, introduce new APIs, or require specialized environments. We show that, under conventional OS abstractions, fully eliminating kernel-user copies while preserving standard socket semantics for unmodified proxies is fundamentally impossible. This leads to a practical insight: in common L7 workloads, proxies inspect only small metadata (e.g., HTTP headers) for routing, while forwarding the bulk payload unchanged. Based on this insight, we present Libra, an OS-level selective-copy framework that copies only metadata to the user space and retains the bulk payload in the kernel for forwarding, reducing data movement without breaking compatibility. Libra uses eBPF to identify protocol-specific metadata boundaries and coordinate selective copy and payload reuse across receive and transmit paths, all without modifying the socket API. Implemented in Linux and evaluated with unmodified Nginx and HAProxy, Libra improves plaintext throughput by up to 4.2x and reduces P99 tail latency by over 90%. With hardware-offloaded kTLS, it boosts encrypted throughput by 2.0x and cuts tail latency by 65%.",['cs.NI'],http://arxiv.org/abs/2604.27686v1,https://arxiv.org/pdf/2604.27686v1,30/04/2026-10:22:04,"['Kairui Zhou', 'Shengkai Lin', 'Wei Zhang', 'Shizhen Zhao']",cs.NI
LZn : Robust LoRa Frame Synchronization Under Frame Collisions and Ultra-Low SNR Conditions,"LoRa has become a widely adopted wireless modulation scheme in LPWANs due to its low cost, long range, and minimal transmission power. However, collisions between frames of the same spreading factor -- common in dense LoRa deployments -- prevent conventional LoRa receivers from detecting and correctly decoding frames. Recent work has introduced methods to improve recovery, yet their detection stage degrades sharply under low signal-to-noise ratio (SNR) and high collision rates. In this work, we introduce LZn, a low-complexity synchronization scheme driven by a spectral intersection operation. Our method enables robust frame synchronization even under multiple packet overlaps or extremely low SNR conditions. We evaluate LZn on simulations and three independent, real-world LoRa datasets. LZn improves detection sensitivity by up to 10dB and increases detection probability by up to 1.54x. In real-world datasets, LZn improves decoding by 3.46x in the most challenging single-user scenario and up to 1.22x in collision scenarios compared to the second best collision-tolerant scheme (TnB). These results demonstrate that LZn substantially improves the frame recovery of LoRa receivers, while remaining compatible with real-time requirements.","['cs.NI', 'eess.SY']",http://arxiv.org/abs/2604.27672v1,https://arxiv.org/pdf/2604.27672v1,30/04/2026-10:07:37,"['José Álamos', 'Thomas C. Schmidt', 'Matthias Wählisch']",cs.NI
"Multi-Connectivity for UAVs: A Measurement Study of Integrating Cellular, Aerial Mesh, and LEO Satellite Links","Future uncrewed aerial vehicle (UAV) systems increasingly combine heterogeneous communication technologies, such as low-latency aerial mesh, terrestrial cellular, and satellite links, to improve robustness and coverage. Multipath transport is a natural mechanism for aggregating these links, yet its ability to support real-time UAV services in highly heterogeneous environments remains insufficiently characterized. We present a measurement-driven study based on UAV flight experiments in an integrated network comprising UAV-to-UAV aerial mesh, private cellular, and low Earth orbit (LEO) satellite connectivity. Using Multipath TCP (MPTCP) as a representative lossless, in-order multipath transport framework, we find that aggregation can preserve end-to-end connectivity under severe link outages. However, large round-trip time (RTT) heterogeneity amplifies packet reordering, leading to substantial receiver-side buffering and bursty delivery. In addition, when the available links do not provide sufficient capacity for the offered load, pronounced sender-side buffering emerges. These effects cause real-time streaming to violate delay constraints, including cases where aggregate capacity is sufficient. To interpret these results, we formalize the distinction between connectivity continuity and service continuity and show empirically that maintaining connectivity is necessary but not sufficient for timely real-time delivery in multi-technology UAV networks. The findings motivate multipath designs that explicitly account for delay constraints, rather than optimizing for connectivity alone.","['cs.NI', 'eess.SY']",http://arxiv.org/abs/2604.27640v1,https://arxiv.org/pdf/2604.27640v1,30/04/2026-09:33:36,"['Aygun Baltaci', 'Irshad A. Meer', 'Mustafa Ozger', 'Cicek Cavdar', 'Dominic Schupke']",cs.NI
Unified 5G-IoT Framework with CAMARA Gateways and SDN Federation,"The convergence of 5G and IoT enables fully connected, intelligent environments, but it faces challenges from the fragmentation of public/private 5G networks and the heterogeneity of IoT networks. We propose a unified framework using CAMARA open gateways, which provide standardized, open APIs to expose network capabilities, reducing fragmentation and simplifying interoperability, supported by a federated SDN architecture that ensures scalable cross-domain control. We further demonstrate 5G-based remote control of KNX devices, extending industrial and building automation. These contributions lay the foundation for a secure, dynamic ""network of networks"" supporting next-generation applications.",['cs.NI'],http://arxiv.org/abs/2604.27589v1,https://arxiv.org/pdf/2604.27589v1,30/04/2026-08:41:10,"['Zihan Jia', 'Ze Wang', 'Chen Chen', 'Ziren Xiao', 'Fung Po Tso']",cs.NI
Transformer-Empowered Actor-Critic Reinforcement Learning for Sequence-Aware Service Function Chain Partitioning,"In the forthcoming era of 6G networks, characterized by unprecedented data rates, ultra-low latency, and ubiquitous connectivity, effective management of Virtualized Network Functions (VNFs) is essential. VNFs are software-based counterparts of traditional hardware devices that facilitate flexible and scalable service provisioning. Service Function Chains (SFCs), structured as ordered sequences of VNFs, are pivotal in delivering complex network services. Nevertheless, splitting an SFC into multiple segments that are deployed across different network domains or infrastructure locations presents substantial challenges due to the potential heterogeneity of domain characteristic along with quality of service (QoS) constraints and limited visibility of network state. Conventional optimization methods have limited scalability, while existing data-driven approaches struggle to balance efficiency with capturing VNF inter-dependencies in SFCs. To overcome these limitations, we introduce a Transformer-empowered actor-critic framework specifically designed for sequence-aware SFC partitioning. By utilizing the self-attention mechanism, our approach effectively models complex inter-dependencies between VNFs, facilitating coordinated and parallel decision-making processes. Furthermore, to improve training stability and convergence we introduce an $ε$-LoPe exploration strategy as well as Asymptotic Return Normalization. Comprehensive simulation results demonstrate that the proposed methodology outperforms existing state-of-the-art solutions in terms of long-term service acceptance rates, resource utilization, and scalability while achieving fast inference.","['cs.NI', 'cs.AI', 'cs.LG', 'cs.NE']",http://arxiv.org/abs/2504.18902v2,https://arxiv.org/pdf/2504.18902v2,26/04/2025-12:18:57,"['Cyril Shih-Huan Hsu', 'Anestis Dalgkitsis', 'Chrysa Papagianni', 'Paola Grosso']",cs.NI
ReVo: A Cross-Layer Reliable Volumetric Videoconferencing System,"Volumetric videoconferencing enables immersive six Degrees of Freedom interactions by jointly transmitting visual appearance and 3D geometry. However, delivering volumetric video over today's networks remains challenging due to high bandwidth demands, strict real-time latency constraints, and frequent packet loss. Packet loss not only degrades visual quality but also corrupts geometric structure, leading to severe artifacts and video freezes that significantly degrade Quality of Experience. Existing solutions either optimize volumetric videos assuming reliable networks or focus on loss recovery for 2D video, and are insufficient for volumetric videoconferencing. In this paper, we present ReVo, a loss-resilient volumetric videoconferencing system that jointly recovers RGB and depth content under packet loss while meeting real-time constraints on desktop-grade hardware. ReVo leverages the insight that effective recovery requires a cross-layer, modality-aware design. It decouples volumetric video into RGB and depth streams, selectively protects critical content using network-layer FEC, and reconstructs corrupted non-critical frames using a post-decode neural recovery module. ReVo is implemented end-to-end over WebRTC and supports both traditional and neural video codecs. Our evaluations using real-world loss traces show that ReVo improves median SSIM by up to 32% (resp. 13%) for RGB (resp. depth) content and reduces video freezes by up to 95.7% compared to existing techniques.","['cs.NI', 'cs.MM']",http://arxiv.org/abs/2604.27441v1,https://arxiv.org/pdf/2604.27441v1,30/04/2026-05:27:15,"['Ankur Aditya', 'Diptyaroop Maji', 'Lingdong Wang', 'Bhavya Ramakrishna', 'Ramesh Sitaraman', 'Prashant Shenoy']",cs.NI
Why Network Segmentation Projects Fail,"Network segmentation is a foundational enterprise security control. Despite its recognized benefits, segmentation initiatives frequently fail in practice, and the field lacks a systematic empirical explanation for why these projects do not achieve their intended outcomes. This paper presents an empirical study of failed segmentation projects based on a survey of 400 U.S.-based\ network security practitioners. The survey was grounded in a two-part failure framework that separately measures general IT project failure factors and segmentation-specific technical and operational barriers. Clustering analysis of the responses reveals four distinct failure archetypes. Surprisingly, practitioners across all four archetypes propose general IT project management fixes over segmentation-specific fixes in the same ratio.","['cs.CR', 'cs.NI', 'stat.AP']",http://arxiv.org/abs/2604.08632v2,https://arxiv.org/pdf/2604.08632v2,09/04/2026-17:00:23,['Rohit Dube'],cs.CR
