titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
Approximating the Network Design Problem for Potential-Based Flows,"We develop efficient algorithms for a fundamental network design problem arising in potential-based flow models, which are central to many energy transport networks (e.g., hydrogen and electricity). In contrast to classical network flow problems, the nonlinearities inherent in potential-based networks introduce significant new challenges. We address these challenges through intricate reductions to classical combinatorial optimization problems, such as (constrained) shortest path problems, enabling the application of well-established algorithmic techniques to compute exact and approximate solutions efficiently. Finally, we complement these algorithmic results with matching complexity results concerning the hardness and non-approximability of the considered problem variants.","['cs.DM', 'math.CO']",http://arxiv.org/abs/2604.26882v1,https://arxiv.org/pdf/2604.26882v1,29/04/2026-16:52:35,"['Max Klimm', 'Marc E. Pfetsch', 'Martin Skutella', 'Lea Strubberg']",cs.DM
"Optimal, Qubit-Efficient Quantum Vehicle Routing via Colored-Permutations","We formulate a global-position colored-permutation encoding for the capacitated vehicle routing problem. Each of the $K$ vehicles selects a disjoint partial permutation, and the sum of these $K$ color layers forms a full $n\times n$ permutation matrix that assigns every customer to exactly one visit position. This representation uses $n^2K$ binary decision variables arranged as $K$ color layers over a common permutation structure, while vehicle capacities are enforced by weighted sums over the entries of each color class, requiring no explicit load register and hence no extra logical qubits beyond the routing variables. In contrast, many prior quantum encodings introduce an explicit capacity or load representation with additional qubits. Our construction is designed to exploit the Constraint-Enhanced QAOA framework together with its encoded-manifold analyses. Building on a requirements-based view of quantum utility in CVRP, we develop a routing optimization formulation that directly targets one of the main near-term bottlenecks, namely the additional logical-qubit cost of vehicle labels and explicit capacity constraints. Our proposal shows strong algorithmic performance in addition to qubit efficiency. On a standard benchmark suite, our end-to-end pipeline recovers the independently verified optima. The feasibility oracle may also be of independent interest as a reusable polynomial-time decoding and certification primitive for quantum and quantum-inspired routing pipelines.","['quant-ph', 'cs.CC', 'cs.DM', 'cs.IT', 'math-ph']",http://arxiv.org/abs/2604.04570v2,https://arxiv.org/pdf/2604.04570v2,06/04/2026-10:08:41,"['Chinonso Onah', 'Kristel Michielsen']",quant-ph
Fundamental Limitations of QAOA on Constrained Problems and a Route to Exponential Enhancement,"We study fundamental limitations of the generic Quantum Approximate Optimization Algorithm (QAOA) on constrained problems where valid solutions form a low dimensional manifold inside the Boolean hypercube, and we present a provable route to exponential improvements via constraint embedding. Focusing on permutation constrained objectives, we show that the standard generic QAOA ansatz, with a transverse field mixer and diagonal r local cost, faces an intrinsic feasibility bottleneck: even after angle optimization, circuits whose depth grows at most sublinearly with n cannot raise the total probability mass on the feasible manifold much above the uniform baseline suppressed by the size of the full Hilber space. Against this envelope we introduce a minimal constraint enhanced kernel (CE QAOA) that operates directly inside a product one hot subspace and mixes with a block local XY Hamiltonian. For permutation constrained problems, we prove an angle robust, depth matched exponential enhancement where the ratio between the feasible mass from CE QAOA and generic QAOA grows exponentially in $n^2$ for all depths up to a linear fraction of n, under a mild polynomial growth condition on the interaction hypergraph. Thanks to the problem algorithm co design in the kernel construction, the techniques and guarantees extend beyond permutations to a broad class of NP-Hard constrained optimization problems.","['quant-ph', 'cs.CC', 'cs.CE', 'cs.DM', 'math-ph']",http://arxiv.org/abs/2511.17259v3,https://arxiv.org/pdf/2511.17259v3,21/11/2025-14:04:01,"['Chinonso Onah', 'Kristel Michielsen']",quant-ph
Counterexamples to an Extremal Conjecture for Random Cycle-Factors,"Christoph, Draganić, Girão, Hurley, Michel, and Müyesser conjectured that, when $d\mid n$, the expected number of cycles in a uniformly random cycle-factor of a directed $d$-regular graph on $n$ vertices is uniquely maximised by the disjoint union of $n/d$ copies of the complete looped digraph $K_d^\circ$, with value $(n/d)H_d$ [FOCS 2025]. We disprove this conjecture in the strongest possible range. For every $d\ge 3$ and every multiple $n=kd$ with $k\ge 2$, we construct a directed $d$-regular graph on $n$ vertices whose uniformly random cycle-factor has expected cycle count strictly larger than $kH_d$. We also show that the conjectured extremal picture is correct in degree $d=2$, giving a sharp dichotomy between degree two and all higher degrees.","['math.CO', 'cs.DM', 'math.PR']",http://arxiv.org/abs/2604.26101v1,https://arxiv.org/pdf/2604.26101v1,28/04/2026-20:31:39,['Rishikesh Gajjala'],math.CO
End-to-End Speedup for Quantum Simulation-Based Optimization in Power Grid Management,"Quantum Simulation-based Optimization (QuSO) is a recently proposed class of optimization problems that entails industrially relevant problems characterized by cost functions or constraints that depend on summary statistic information about the simulation of a physical system or process. This work extends initial theoretical results that proved an up-to-exponential speedup for the simulation component of the QAOA-based QuSO solver for the unit commitment problem to an end-to-end speedup, explicitly including the outer optimization component. The numerical experiments were conducted using randomly generated power grid instances of varying sizes and loads that adhere to the physical properties of real world power grids. Exploiting clever classical pre-computation, we develop a very efficient classical quantum circuit simulation that bypasses costly ancillary qubit requirements of the original algorithm, allowing for large-scale experiments. We show that 16 QAOA layers suffice to outperform a strong classical baseline for problems involving up to 14 qubits in scenarios of high load and perform on par otherwise. In summary, our results thus extend previous partial quantum speedup results for QuSO problems to an end-to-end setting that encompasses the runtime of the complete algorithm for a problem of industrial relevance.","['quant-ph', 'cs.DM']",http://arxiv.org/abs/2505.16444v2,https://arxiv.org/pdf/2505.16444v2,22/05/2025-09:33:29,"['Jonas Stein', 'Jannis Lutz', 'Moritz Sölderer', 'Maximilian Adler', 'Michael Lachner', 'David Bucher', 'Claudia Linnhoff-Popien']",quant-ph
On the Parameterized Complexity of Grundy Domination and Zero Forcing Problems,"We consider two different problem families that deal with domination in graphs. On the one hand, we focus on dominating sequences. In such a sequence, every vertex dominates some vertex of the graph that was not dominated by any earlier vertex in the sequence. The problem of finding the longest dominating sequence is known as $\mathsf{Grundy~Domination}$. Depending on whether the closed or the open neighborhoods are used for domination, there are three other versions of this problem: $\mathsf{Grundy~Total~Domination}$, $\mathsf{L\text{-}Grundy~Domination}$, and $\mathsf{Z\text{-}Grundy~Domination}$. We show that all four problem variants are $\mathsf{W[1]}$-complete when parameterized by the solution size.
  On the other hand, we consider the family of zero forcing problems which form the parametric duals of the Grundy domination problems. In these problems, one looks for the smallest set of vertices initially colored blue such that certain color change rules are able to color all other vertices blue. Bhyravarapu et al. [IWOCA 2025] showed that the dual of $\mathsf{Z\text{-}Grundy~Domination}$, known as $\mathsf{Zero~Forcing~Set}$, is in $\mathsf{FPT}$ when parameterized by the treewidth or the solution size. We extend their treewidth result to the other three variants of zero forcing and their respective Grundy domination problems. Our algorithm also implies an $\mathsf{FPT}$ algorithm for $\mathsf{Grundy~Domination}$ when parameterized by the number of vertices that are not in the dominating sequence. In contrast, we show that $\mathsf{L\text{-}Grundy~Domination}$ is $\mathsf{W[1]}$-hard for that parameter.","['cs.CC', 'cs.DM', 'cs.DS', 'math.CO']",http://arxiv.org/abs/2508.18104v4,https://arxiv.org/pdf/2508.18104v4,25/08/2025-15:08:35,['Robert Scheffler'],cs.CC
Edge-coloring problems with forbidden patterns and planted colors,"Edge-coloring problems with forbidden patterns are decision problems asking to find an edge-coloring of the input graph which avoids a homomorphism from a fixed forbidden family of edge-colored graphs. In the precolored version of these problems, some of the edges of the input graph are already colored, and the goal is to find an extension of this coloring which omits a homomorphism from a forbidden graph. The existence of a complexity classification for such problems is an open question of Bienvenu, ten Cate, Lutz, and Wolter (ACM TODS'14) and we answer it for certain forbidden families consisting of odd cycles and cliques. The proof consists of two main stages. First, we combine the techniques from infinite constraint satisfaction and finite Ramsey theory in order to show that the edge-coloring problem is poly-time equivalent to its precolored version. After that, we show that the precolored version is poly-time equivalent to a finite constraint satisfaction problem, which has a P vs.\ NP-complete dichotomy by the seminal results of Bulatov (FOCS'17) and Zhuk (FOCS'17).","['cs.CC', 'cs.DM']",http://arxiv.org/abs/2507.19000v2,https://arxiv.org/pdf/2507.19000v2,25/07/2025-06:59:35,"['Alexey Barsukov', 'Antoine Mottet', 'Davide Perinti']",cs.CC
Robustness of Boolean networks to update modes: an application to hereditary angioedema,"Many familial diseases are caused by genetic accidents, which affect both the genome and its epigenetic environment, expressed as an interaction graph between the genes as that involved in one familial disease we shall study, the hereditary angioedema. The update of the gene states at the vertices of this graph (1 if a gene is activated, 0 if it is inhibited) can be done in multiple ways, well studied over the last two decades: Parallel, sequential, block-sequential, block-parallel, random, etc. We will study a particular graph, related to the familial disease proposed as an example, which has subgraphs which activate in an intricate manner (\emph{i.e.}, in an alternating block-parallel mode, with one core constantly updated and two complementary subsets of genes alternating their updating), of which we will study the structural aspects, robust or unstable, in relation to some classical periodic update modes.",['cs.DM'],http://arxiv.org/abs/2505.14923v2,https://arxiv.org/pdf/2505.14923v2,20/05/2025-21:15:50,"['Jacques Demongeot', 'Eric Goles', 'Houssem ben Khalfallah', 'Marco Montalva-Medel', 'Sylvain Sené']",cs.DM
Size-4 Counterexamples to the Sidon-Extension Conjecture,"A finite set $S \subset \mathbb{Z}$ is a \emph{Sidon set} if its pairwise differences are distinct. A \emph{perfect difference set} (PDS) of order $n$ is a set $B \subset \mathbb{Z}_v$ ($v = n^2 - n + 1$) of size $n$ such that every nonzero residue arises exactly once as a difference of two elements of $B$. Erdős's \$1000 conjecture -- that every finite Sidon set extends to a finite PDS -- was disproved by Alexeev and Mixon (arXiv:2510.19804, October 2025) via the size-5 counterexamples $\{1,2,4,8,13\}$ and Hall's earlier $\{1,3,9,10,13\}$; they raised the question of the smallest size $s$ of a non-extending Sidon set, with $3 \le s \le 5$. We present strong empirical evidence that $s = 4$. Specifically we exhibit two integer Sidon sets, \[
  A = \{0, 1, 3, 11\}, \qquad B = \{0, 1, 4, 11\}, \] together with the apparent infinite family of dilations $kA$, $kB$ and their reflections, all of which fail to extend for every prime power $q \le 317$ via the Singer affine-orbit check (rigorous under Hall's 1947 uniqueness for Desarguesian cyclic planes through $q \le 40$ and under the prime-power conjecture beyond that), and unconditionally for every modulus $v \le 133$ via brute-force depth-first search. We give the exact density formula $N_{\text{ne}}(N) = 4 \lfloor N / 11 \rfloor$ of non-extending size-4 Sidon sets in $[0, N]$ for $N \le 50$, an exact match suggesting the $kA, kB$ family is complete in this range. A complete proof, in the spirit of Alexeev--Mixon's polarity argument or via a multiplier descent, remains the central open problem.","['math.CO', 'cs.DM']",http://arxiv.org/abs/2604.25214v1,https://arxiv.org/pdf/2604.25214v1,28/04/2026-04:34:44,['Tong Niu'],math.CO
Word-representability of minimal non-comparability graphs and covering word-representable graphs by comparability graphs,"Word-representable graphs, characterized by the existence of a semi-transitive orientation, form a well-studied class in graph theory. Comparability graphs form a subclass of word-representable graphs. Both classes are hereditary and hence admit characterizations in terms of forbidden induced subgraphs. While the minimal forbidden induced subgraphs for comparability graphs are known, a complete characterization for word-representable graphs remains open. In this paper, we investigate which minimal non-comparability graphs are also minimal non-word-representable graphs. To this end, we classify minimal non-comparability graphs according to whether they are word-representable or not, and thereby determine exactly which of them belong to the class of minimal non-word-representable graphs. As a consequence, we obtain a complete description of minimal non-word-representable graphs containing an all-adjacent vertex.
  We also consider an open problem posed by Kenkireth et al.\ concerning the cover number of word-representable graphs by comparability graphs. We show that there exist triangle-free word-representable graphs whose cover number by comparability graphs is at least $Ω(\log\log n)$. For triangle-free circle graphs, we prove that the cover number by comparability graphs is at most $3$, and that this bound is tight. More generally, we show that every circle graph $G$ with clique number $ω(G) \ge 24$ has cover number at most $2$. Finally, we identify four subclasses of word-representable graphs in which every graph has cover number at most $2$.",['cs.DM'],http://arxiv.org/abs/2502.06979v2,https://arxiv.org/pdf/2502.06979v2,10/02/2025-19:18:42,"['Benny George Kenkireth', 'Gopalan Sajith', 'Sreyas Sasidharan']",cs.DM
