term,full_name
ai,Artificial Intelligence
ao-ph,Atmospheric and Oceanic Physics
ce,"Computational Engineering, Finance, and Science"
cg,Computational Geometry
cl,Computation and Language (NLP)
co,Computational Complexity
comp-ph,Computational Physics
cond-mat,Condensed Matter
cr,Cryptography and Security
cs,Computer Science
cv,Computer Vision and Pattern Recognition
cy,Computers and Society
data-an,"Data Analysis, Statistics and Probability"
db,Databases
ds,Data Structures and Algorithms
econ,Economics
eess,Electrical Engineering and Systems Science
em,Econometrics
et,Emerging Technologies
geo-ph,Geophysics
gn,Genomics
gr,Graphics
hc,Human-Computer Interaction
it,Information Theory
iv,Image and Video Processing
lg,Machine Learning
math,Mathematics
me,Methodology (Statistics)
ml,Machine Learning
mm,Multimedia
na,Numerical Analysis
nc,Neural and Evolutionary Computing
ne,Neural and Evolutionary Computing
physics,Physics
pr,Probability
q-bio,Quantitative Biology
qm,Quantitative Methods (Biology)
ro,Robotics
se,Software Engineering
st,Statistics Theory
stat,Statistics
stat-mech,Statistical Mechanics
sy,Systems and Control
