titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
Finding irrelevant vertices in linear time on bounded-genus graphs,"The irrelevant vertex technique provides a powerful tool for the design of parameterized algorithms for a wide variety of problems on graphs. A common characteristic of these problems, permitting the application of this technique on surface-embedded graphs, is the fact that every graph of large enough treewidth contains a vertex that is irrelevant, in the sense that its removal yields an equivalent instance of the problem. The straightforward application of this technique yields algorithms with running time that is quadratic in the size of the input graph. This running time is due to the fact that it takes linear time to detect one irrelevant vertex and the total number of irrelevant vertices to be detected is linear as well. Using advanced techniques, sub-quadratic algorithms have been designed for particular problems, even in general graphs. However, designing a general framework for linear-time algorithms has been open, even for the bounded-genus case. In this paper we introduce a general framework that enables finding in linear time an entire set of irrelevant vertices whose removal yields a bounded-treewidth graph, provided that the input graph has bounded genus. Our technique consists of decomposing any surface-embedded graph into a tree-structured collection of bounded-treewidth subgraphs where detecting globally irrelevant vertices can be done locally and independently. Our method is applicable to a wide variety of known graph containment or graph modification problems where the irrelevant vertex technique applies. Examples include the (Induced) Minor Folio problem, the (Induced) Disjoint Paths problem, and the $\mathcal{F}$-Minor-Deletion problem.","['cs.DS', 'math.CO']",http://arxiv.org/abs/1907.05940v7,https://arxiv.org/pdf/1907.05940v7,12/07/2019-20:27:46,"['Petr A. Golovach', 'Stavros G. Kolliopoulos', 'Giannos Stamoulis', 'Dimitrios M. Thilikos']",cs.DS
Log-concavity from enumerative geometry of planar curve singularities,"We propose a log-concavity conjecture for BPS invariants arising in the enumerative geometry of planar curve singularities, identified with the local Euler obstructions of Severi strata in their versal deformations. We further extend this conjecture to ruling polynomials of Legendrian links and to E-polynomials of character varieties. We establish these conjectures for irreducible weighted-homogeneous singularities (torus knots) and for ADE singularities, and prove a multiplicative property for ruling polynomials compatible with log-concavity.","['math.AG', 'math.CO', 'math.SG']",http://arxiv.org/abs/2603.27888v2,https://arxiv.org/pdf/2603.27888v2,29/03/2026-22:01:12,"['Tao Su', 'Baiting Xie', 'Chenglong Yu']",math.AG
Nearly-polynomial inverse theorem for the U^d norm in degree d+1,"We prove a nearly polynomial inverse theorem for the Gowers $U^d$ norm, over finite fields of non-small characteristic, for polynomials of degree $d+1$. The case of degree $d$ was very recently settled by Milićević and Randelović with a fully polynomial bound. We moreover provide a nearly polynomial inverse theorem for homogeneous polynomials of any degree smaller than $2d$.
  Our methods may be of independent interest, and include a refined notion of polynomial decomposition that captures correlation with polynomials of lower degree than classical notions do, and a new correlation lemma that improves upon similar lemmas in the literature. Additionally, we illustrate the usefulness of the new correlation lemma by using it to give an alternative proof for the aforementioned result of Milićević and Randelović.","['math.CO', 'cs.DM']",http://arxiv.org/abs/2603.16836v2,https://arxiv.org/pdf/2603.16836v2,17/03/2026-17:40:38,"['Tomer Milo', 'Guy Moshkovitz']",math.CO
Quadratic Embedding Constants of Cartesian Products and Joins of Graphs,"The quadratic embedding constant (QEC) of a finite, simple, connected graph originated from the classical work of Schoenberg [Ann. of Math., 1935] and [Trans. Amer. Math. Soc., 1938] on Euclidean distance geometry. In this article, we study the QEC of graphs in terms of two graph operations: the Cartesian product and the join of graphs. We derive a general formula for the QEC of the join of an arbitrary graph with a regular graph and with a complete multipartite graph. As an application of these results, we explicitly compute the QEC for several classes of graphs and provide new examples of graphs of QE class. We also establish a lower bound for the quadratic embedding constant of the Cartesian product of two arbitrary connected graphs. Furthermore, as an extremal case, we derive concise formulas for the quadratic embedding constants of the Cartesian product of an arbitrary graph G with a complete graph and with a complete bipartite graph, expressed in terms of $\qec(G)$.",['math.CO'],http://arxiv.org/abs/2508.10834v2,https://arxiv.org/pdf/2508.10834v2,14/08/2025-16:58:28,"['Projesh Nath Choudhury', 'Raju Nandi']",math.CO
Perfect Fractional Matchings in Bipartite Graphs Via Proportional Allocations,"Given a bipartite graph that has a perfect matching, a prefect proportional allocation is an assignment of positive weights to the nodes of the right partition so that every left node is fractionally assigned to its neighbors in proportion to their weights, and these assignments define a fractional perfect matching. We prove that a bipartite graph has a perfect proportional allocation if and only if it is matching covered, by using a classical result on matrix scaling. We also present an extension of this result to provide a simple allocation strategy in non-matching covered bipartite graphs.","['cs.DS', 'math.CO']",http://arxiv.org/abs/2510.01107v2,https://arxiv.org/pdf/2510.01107v2,01/10/2025-16:53:59,"['Daniel Hathcock', 'R. Ravi']",cs.DS
The proportion of permutations fixing a $k$-set,"Denote by $p(k)$ the limit, as $n \rightarrow \infty$, of the probability that a random permutation on a set of size $n$ has an invariant set of size $k$. We give an asymptotic formula for $p(k)$, showing that it is asymptotically $f(\{\log_2 k\}) k^{-δ} (\log k)^{-3/2}$ where $δ= 1 - \frac{1 + \log \log 2}{\log 2} \approx 0.086$ and $f$ is a smooth, positive, function on $\mathbb{R}/\mathbb{Z}$, which we will describe explicitly. The function $f$ satisfies $\frac{\max f}{\min f} < 1 + 2 \times 10^{-7}$ and we conjecture that it is not constant.
  Estimating $p(k)$ is a model for the more well-known question which asks for an estimation of $M(n)$, the number of distinct elements in the $n$-by-$n$ multiplication table. By elaborating on the techniques in this paper, we will give an asymptotic for $M(n)$ in forthcoming work.","['math.CO', 'math.NT', 'math.PR']",http://arxiv.org/abs/2604.28116v1,https://arxiv.org/pdf/2604.28116v1,30/04/2026-17:06:07,"['Ben Green', 'Mehtaab Sawhney']",math.CO
The Bottleneck Birthday Problem,"We introduce a fun problem that can be considered as a variant of the classic birthday problem, the Bottleneck Birthday Problem (BBP). It is stated as: what is the maximum number of people we have to choose so that no day of the year has more than r >= 1 birthdays incident on it with probability at least 1/2? We provide a survey of techniques used in the literature on occupancy and load balancing problems to derive recurrence relations for exact computation of the probability, and the number of people keeping probability fixed at a threshold. Further, we show that restricted Stirling numbers of the second kind can be used to derive an additional recurrence, in a novel way. We provide complexity comparisons and numerical results from an implementation of the recurrences.","['cs.DM', 'math.CO']",http://arxiv.org/abs/2512.00101v2,https://arxiv.org/pdf/2512.00101v2,27/11/2025-07:59:30,['Chijul B. Tripathy'],cs.DM
Turán-Type Extremal Results for Distance-$k$ Graphs,"We study Turán-type extremal problems for distance graphs, motivated by work of Csikvári, Bollobás, Tyomkyn, and Uzzell. We determine the maximum number of vertex pairs at distance three in an $n$-vertex graph with no triangle formed by these pairs, resolving the first case of a conjecture of Tyomkyn and Uzzell. We also determine the maximum number of vertex pairs at distance two in an $n$-vertex graph with no triangle formed by these pairs and give a complete characterization of the extremal graphs, settling another problem of Tyomkyn and Uzzell.",['math.CO'],http://arxiv.org/abs/2604.28060v1,https://arxiv.org/pdf/2604.28060v1,30/04/2026-16:07:42,"['Zhen He', 'Nika Salia', 'Casey Tompkins', 'Xiutao Zhu']",math.CO
Hypergraph independence bounds: from maximum degree to average degree,"We prove a transfer theorem for hereditary classes of $(r+1)$-uniform hypergraphs. Let $\mathcal G$ be such a class, and for $H\in\mathcal G$ write $Δ(H)$ and $d(H)$ for the maximum degree and average degree of $H$, respectively. We show that, for every nearly logarithmic function $f$ in the sense defined below, a maximum-degree lower bound for the independence number of the form \[ α(H)\ge (1-o(1))\frac{f(Δ(H))}{Δ(H)^{1/r}}|V(H)| \qquad\text{as }Δ(H)\to\infty \] for all $H\in\mathcal G$ implies the corresponding average-degree lower bound \[ α(H)\ge (1-o(1))\frac{f(d(H))}{d(H)^{1/r}}|V(H)| \qquad\text{as }d(H)\to\infty . \] We combine this transfer theorem with known coloring and fractional-coloring bounds to obtain consequences for graphs excluding a fixed cycle, graphs with bounded clique number, locally $q$-colorable graphs, and locally sparse uniform hypergraphs.",['math.CO'],http://arxiv.org/abs/2604.28046v1,https://arxiv.org/pdf/2604.28046v1,30/04/2026-15:58:27,"['Jing Yu', 'Junchi Zhang']",math.CO
Extremal graphs for average size of maximal matchings in bicyclic graphs,"For a graph \(G\), let $avm(G)$ denote the average size of its maximal matchings. This parameter was introduced by Engbers and Erey in the study of extremal problems for maximal matchings, and they asked for extensions from trees and unicyclic graphs to \(k\)-cyclic graphs. In this paper, we solve the first non-unicyclic case by determining the minimum value of $avm(G)$ over all connected bicyclic graphs with \(n\) vertices and \(n+1\) edges. We prove that, for every connected bicyclic graph \(G\) of order \(n\ge 5\), \[ \operatorname{avm}(G)\ge \frac{4n-11}{2n-5}. \] Moreover, equality holds uniquely for the graph obtained from two triangles sharing a common edge by attaching all remaining \(n-4\) pendant edges to one of the two vertices of degree \(3\). The key point is to translate the minimization of \(\operatorname{avm}(G)\) into structural restrictions on small maximal matchings, which are then analyzed through the three possible bicyclic core types.",['math.CO'],http://arxiv.org/abs/2604.28033v1,https://arxiv.org/pdf/2604.28033v1,30/04/2026-15:47:44,['Kai Zhang'],math.CO
