titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
Faster 3D Gaussian Splatting Convergence via Structure-Aware Densification,"3D Gaussian Splatting has emerged as a powerful scene representation for real-time novel-view synthesis. However, its standard adaptive density control relies on screen-space positional gradients, which do not distinguish between geometric misplacement and frequency aliasing, often leading to either over-blurred high-frequency textures or inefficient over-densification. We present a structure-aware densification framework. Our key insight is that the decision to subdivide a Gaussian should be driven by an explicit comparison between its projected screen-space extent and the local structure of the texture it seeks to represent. We introduce a multi-scale frequency analysis combining structure tensors with Laplacian scale space analysis to estimate the dominant frequency at each pixel, enabling robust supervision across varying texture scales. Based on this analysis, we define $η$, a per-Gaussian, per-axis frequency violation metric that indicates when a primitive may be under-resolving local texture details. Unlike methods that perform isotropic splitting (e.g., splitting each Gaussian into two smaller ones with uniform shape), our approach performs anisotropic splitting. For each axis with high $η$, we compute a split factor to better resolve the local frequency content. We further introduce a multiview consistency criterion that aggregates $η$ observations across multiple views. By performing densification early and faster, we skip the lengthy iterative densification phases required by baseline methods and achieve significantly faster convergence. Experiments on standard benchmarks demonstrate that our method also achieves superior reconstruction quality, particularly in high-frequency regions.","['cs.CV', 'cs.GR', 'cs.LG']",http://arxiv.org/abs/2604.28016v1,https://arxiv.org/pdf/2604.28016v1,30/04/2026-15:37:20,"['Linjie Lyu', 'Ayush Tewari', 'Jianchun Chen', 'Thomas Leimkühler', 'Christian Theobalt']",cs.CV
Exploring Interaction Paradigms for LLM Agents in Scientific Visualization,"This paper examines how different types of large language model (LLM) agents perform on scientific visualization (SciVis) tasks, where users generate visualization workflows from natural-language instructions. We compare three primary interaction paradigms, including domain-specific agents with structured tool use, computer-use agents, and general-purpose coding agents, by evaluating eight representative agents across 15 benchmark tasks and measuring visualization quality, efficiency, robustness, and computational cost. We further analyze interaction modalities, including code scripts and model context protocol (MCP) or API calls for structured tool use, as well as command-line interfaces (CLI) and graphical user interfaces (GUI) for more general interaction, while additionally studying the effect of persistent memory in selected agents. The results reveal clear tradeoffs across paradigms and modalities. General-purpose coding agents achieve the highest task success rates but are computationally expensive, while domain-specific agents are more efficient and stable but less flexible. Computer-use agents perform well on individual steps but struggle with longer multi-step workflows, indicating that long-horizon planning is their primary limitation. Across both CLI- and GUI-based settings, persistent memory improves performance over repeated trials, although its benefits depend on the underlying interaction mode and the quality of feedback. These findings suggest that no single approach is sufficient, and future SciVis systems should combine structured tool use, interactive capabilities, and adaptive memory mechanisms to balance performance, robustness, and flexibility.","['cs.AI', 'cs.GR', 'cs.HC']",http://arxiv.org/abs/2604.27996v1,https://arxiv.org/pdf/2604.27996v1,30/04/2026-15:22:28,"['Jackson Vonderhorst', 'Kuangshi Ai', 'Haichao Miao', 'Shusen Liu', 'Chaoli Wang']",cs.AI
D-Rex : Diffusion Rendering for Relightable Expressive Avatars,"We present D-Rex, a person-specific framework for photorealistic, relightable, expressive, and animatable full-body human avatars with free-viewpoint rendering. Existing methods for relightable full-body avatars rely on explicit 3D intrinsic decomposition with analytic reflectance models, which require accurate geometry registration and careful optimization to capture realistic light transport effects. This tight coupling of relighting with avatar modeling has hindered expressiveness: to our knowledge, no existing method demonstrates strong facial animation alongside relighting, limiting applicability in telepresence, gaming, and virtual production. We propose to decouple relighting entirely from avatar modeling by treating it as an image-space post-process: a learned translation from flat-lit, albedo-like renderings to a target HDR illumination. To this end, we leverage the strong generative prior of a pre-trained video diffusion relighting model, fine-tuned via LoRA on paired flat-lit and relit frames captured in a light stage. The flat-lit driving frames are produced by an independent expressive full-body avatar framework trained under white-light conditions, requiring no modification to support relighting, making D-Rex directly applicable to any white-light avatar system. We demonstrate that D-Rex enables view- and temporally consistent relighting while faithfully preserving expressive motion and fine-grained facial detail, outperforming physically-based relightable avatar baselines. Project page is https://vcai.mpi-inf.mpg.de/projects/DRex/",['cs.GR'],http://arxiv.org/abs/2604.27871v1,https://arxiv.org/pdf/2604.27871v1,30/04/2026-13:53:03,"['Timo Teufel', 'Xilong Zhou', 'Umar Iqbal', 'Jan Kautz', 'Marc Habermann', 'Vladislav Golyanik', 'Christian Theobalt']",cs.GR
Line Segment Clipping using Quadrilateral Concavity and Convexity,"This paper proposes an algorithm for clipping line segment against an axis-aligned rectangular window. The conventional algorithms for line segment clipping treat the clipping boundary and/or the line segment to be clipped as line. The present algorithm treats the clipping boundary and the line segment to be clipped as line segment and using this strategy, it succeeds to avoid computation of false intersection points. A quadrilateral is constructed using the end points of a clipping boundary segment and the end points of the line segment to be clipped as its vertices. The concavity and convexity of the quadrilateral dictates whether a line segment actually intersects the clipping boundary. If the quadrilateral is found to be concave then the line segment is rejected, otherwise the point of intersection of the line segment with the clipping boundary is computed. Since a 'test & intersect' approach is used instead of a 'intersect & test', hence the proposed algorithm does not compute false intersection point thereby reducing the number of divisions required to obtain a clipped line segment. Only one routine can process line segments at any position. Improved performance is observed with respect to the Nicholl-Lee-Nicholl, Liang-Barsky, Cohen-Sutherland and Skala's algorithm through experiments with random line segments using a metric based on execution time.",['cs.GR'],http://arxiv.org/abs/2604.27701v1,https://arxiv.org/pdf/2604.27701v1,30/04/2026-10:47:54,['Bimal Kumar Ray'],cs.GR
Fast subdivision of Bézier curves,"It is well-known that a $d$-dimensional polynomial Bézier curve of degree $n$ can be subdivided into two segments using the famous de Casteljau algorithm in $O(dn^2)$ time. Can this problem be solved more efficiently? In this paper, we show that it is possible to do this in $O(dn\log{n})$ time using the fast Fourier transform and its inverse. Experiments show that the direct application of the new method performs well only for small values of $n$, as the algorithm is numerically unstable. However, a slightly modified version -- which still has $O(dn\log{n})$ computational complexity -- offers good numerical quality, which is confirmed by numerical experiments conducted in \textsf{Python}. Moreover, the new method has a nice property: if a Bézier curve is extended by an additional control point, the subdivision can be updated in $O(d)$ time.
  A similar idea can be applied to speed up the subdivision of rational Bézier curves and rectangular Bézier surfaces, as well as to compute the derivatives of Bézier curves more efficiently.","['cs.GR', 'math.NA']",http://arxiv.org/abs/2509.15691v2,https://arxiv.org/pdf/2509.15691v2,19/09/2025-07:11:58,"['Paweł Woźny', 'Filip Chudy']",cs.GR
SandSim: Curve-Guided Gaussian Splatting for Reconstructing Sand Painting Processes,"Sand painting is a process-driven art where visual appearance emerges from granular accumulation. Given a single image, reconstructing a plausible sand painting process requires modeling coherent stroke structures and material-dependent effects. Existing methods, including stroke-based optimization and diffusion-based video synthesis, often lack structural coherence and material consistency, leading to unrealistic drawing sequences. We present SandSim, a framework that reconstructs a sand painting process from a single image. We introduce a curve-guided Gaussian representation that models strokes as sequences of anisotropic primitives along continuous trajectories, whose smooth kernels capture the soft boundaries of sand strokes and enable coherent stroke formation. We further adopt a subtractive compositing scheme to model light attenuation during sand accumulation. We incorporate a semantic-guided planning module for scene decomposition and drawing order inference. Our framework jointly optimizes stroke geometry and appearance and can be integrated with a physics-based simulator for interactive sand dynamics and editing. Experiments show that our method produces temporally coherent and visually realistic results, achieving improved reconstruction quality and perceptual fidelity compared to existing approaches.",['cs.GR'],http://arxiv.org/abs/2604.27572v1,https://arxiv.org/pdf/2604.27572v1,30/04/2026-08:27:48,"['Yilin Wang', 'Haojie Huang', 'Chen Li', 'Yang Li', 'Changbo Wang', 'Chenhui Li']",cs.GR
Twisted Edges: A Unified Framework for Designing Linked Knot (LK) Structures Using Labeled Non-Manifold Surface Meshes,"We present Twisted Edges, a unified framework for designing Linked Knot (LK) structures using labeled non-manifold surface meshes. While the concept of edge twists, originating in topological graph theory, is foundational to these designs, prior approaches have been strictly limited to binary states. We identify this restriction as a critical barrier; binary twisting fails to capture the full spectrum of topological possibilities, rendering a vast class of structural and dynamic behaviors inaccessible.
  To overcome this limitation, we generalize the twist formulation to support arbitrary integer twist labels. This expansion reveals that while zero twists may introduce disconnections, applying even twists to 2-manifold meshes robustly preserves connectivity, transforming surfaces into fully connected, chainmail-like structures where faces form consistently linked cycles. Furthermore, we extend this framework to non-manifold meshes, where specific integer assignments prevent cycle merging. This capability, unattainable with binary methods, enables the design of partial connectivity and functional hinges, supporting dynamic folding and articulation. Theoretically, we show that these integer-twisted meshes correspond to knotted surfaces in four dimensions, with LK structures arising as their immersions into $\mathbb{R}^3$. By breaking the binary constraint, this work establishes a coherent paradigm for the systematic exploration of previously unstudied woven and articulated structures.","['cs.GR', 'math.GT']",http://arxiv.org/abs/2604.12023v2,https://arxiv.org/pdf/2604.12023v2,13/04/2026-20:06:51,"['Tolga Talha Yıldız', 'Uğur Önal', 'Ergun Akleman', 'Vinayak Krishnamurthy']",cs.GR
EAG-PT: Emission-Aware Gaussians and Path Tracing for Diffuse Indoor Scene Reconstruction and Editing,"Recent radiance-field-based reconstruction methods, such as NeRF and 3DGS, achieve high visual fidelity for indoor scenes, but often break down under scene editing due to baked illumination and the lack of explicit light transport. In contrast, inverse path tracing methods based on mesh representations enforce correct light transport but require highly accurate geometry, making them difficult to apply robustly to real indoor scenes. We present Emission-Aware Gaussians and Path Tracing (EAG-PT), a method for physically based reconstruction and rendering of indoor scenes using a unified 2D Gaussian representation, targeting editable diffuse global illumination. Our approach consists of three key ideas: (1) representing indoor scenes with 2D Gaussians as a transport-friendly geometric proxy that avoids explicit mesh reconstruction; (2) explicitly separating emissive and non-emissive components during reconstruction to support editing; and (3) decoupling reconstruction from final rendering by using efficient single-bounce optimization and high-quality multi-bounce path tracing, respectively. Experiments on synthetic and real indoor scenes show that EAG-PT produces more natural and physically consistent edited renderings than radiance-field reconstructions, while preserving finer geometric detail and avoiding mesh-induced artifacts compared with mesh-based inverse path tracing. These results highlight the potential of our approach for applications such as interior design, XR content creation, and embodied AI.","['cs.GR', 'cs.CV']",http://arxiv.org/abs/2601.23065v2,https://arxiv.org/pdf/2601.23065v2,30/01/2026-15:16:37,"['Xijie Yang', 'Mulin Yu', 'Changjian Jiang', 'Kerui Ren', 'Tao Lu', 'Jiangmiao Pang', 'Dahua Lin', 'Bo Dai', 'Linning Xu']",cs.GR
DOT-Sim: Differentiable Optical Tactile Simulation with Precise Real-to-Sim Physical Calibration,"Simulating optical tactile sensors presents significant challenges due to their high deformability and intricate optical properties. To address these issues and enable a physically accurate simulation, we propose DOT-Sim: Differentiable Optical Tactile Simulation. Unlike prior simulators that rely on simplified models of deformable sensors, DOT-Sim accurately captures the physical behavior of soft sensors by modeling them as elastic materials using the Material Point Method (MPM). DOT-Sim enables rapid calibration of optical tactile sensor simulation using a small number of demonstrations within minutes, which is substantially faster than existing methods. Compared to current baselines, our approach supports much larger and non-linear deformations. To handle the optical aspect, we propose a novel approach to simulating optical responses by learning a residual image relative to the real-world idle state. We validate the physical and visual realism of our method through a series of zero-shot sim-to-real tasks. Our experiments show that DOT-Sim (1) accurately replicates the physical dynamics of a DenseTact optical tactile sensor in reality, (2) generates realistic optical outputs in contact-rich scenarios, (3) enables direct deployment of simulation-trained classifiers in the real world, achieving 85% classification accuracy on challenging objects and 90% accuracy in embedded tumor-type detection, and (4) allows precise trajectory following with a policy trained from demonstrations in simulation, with an average error of less than 0.9 mm.","['cs.RO', 'cs.CV', 'cs.GR']",http://arxiv.org/abs/2604.27367v1,https://arxiv.org/pdf/2604.27367v1,30/04/2026-03:27:09,"['Yang You', 'Won Kyung Do', 'Aiden Swann', 'Rika Antonova', 'Monroe Kennedy', 'Leonidas Guibas']",cs.RO
CasLayout: Cascaded 3D Layout Diffusion for Indoor Scene Synthesis with Implicit Relation Modeling,"Synthesizing realistic 3D indoor scenes remains challenging due to data scarcity and the difficulty of simultaneously enforcing global architectural constraints and local semantic consistency. Existing approaches often overlook structural boundaries or rely on fully connected relation graphs that introduce redundant generation errors. Inspired by human design cognition, we present CasLayout, a cascaded diffusion framework that decomposes the joint scene generation task into four conditional sub-stages with explicit physical and semantic roles: (1) predicting furniture quantity and categories, (2) refining object sizes and feature embeddings, (3) modeling spatial relationships in a latent space, and (4) generating Oriented Bounding Boxes (OBBs). This decoupled architecture reduces data requirements and enables flexible integration of Large Language Models (LLMs) and Vision Language Models (VLMs) for zero-shot tasks such as image-to-scene generation. To maintain physical validity within complex floor plans, we explicitly model building elements (e.g., walls, doors, and windows) as conditional constraints. Furthermore, to address the high entropy of dense relation graphs, we introduce a sparse relation graph formulation aligned with human spatial descriptions. By encoding these sparse graphs into a compact latent space using a bidirectional Variational Autoencoder (VAE), the proposed framework provides enhanced relational controllability, allowing generated layouts to better respect functional organization. Experiments demonstrate that CasLayout achieves state-of-the-art performance in fidelity and diversity while enabling improved controllability in practical applications.","['cs.CV', 'cs.GR']",http://arxiv.org/abs/2604.27361v1,https://arxiv.org/pdf/2604.27361v1,30/04/2026-03:18:26,"['Yingrui Wu', 'Youkang Kong', 'Mingyang Zhao', 'Weize Quan', 'Dong-Ming Yan', 'Yang Liu']",cs.CV
